canonical_id,raw_variants,n_variants,total_count,median_unit_price_by_variant,max_variant_price_gap,warning
kartepe_konutlari_2,kartepe konutlari 2. etap,1,3,"{""kartepe konutlari 2. etap"": 37500.0}",0.0,
empire_house,empire house sitesi,1,1,"{""empire house sitesi"": 44474.03}",0.0,
butik,butik site | satilik butik site,2,3,"{""satilik butik site"": 41190.48, ""butik site"": 35987.744999999995}",5202.735000000008,
zeray_esil,zeray esil,1,12,"{""zeray esil"": 46788.72}",0.0,
tuana_evleri_1,tuana evleri 1 sitesi,1,2,"{""tuana evleri 1 sitesi"": 37096.155}",0.0,
yagmur_dan,yagmur dan satilik site,1,1,"{""yagmur dan satilik site"": 46551.72}",0.0,
ena_gayrimenkulden_kartepe_s_royal2,ena gayrimenkulden kartepe s.royal2 sit,1,1,"{""ena gayrimenkulden kartepe s.royal2 sit"": 48000.0}",0.0,
kafkas_dostluk,kafkas dostluk konutlari,1,1,"{""kafkas dostluk konutlari"": 25384.62}",0.0,
meridyen_elite,meridyen elite sitesi,1,1,"{""meridyen elite sitesi"": 38141.03}",0.0,
kartepe_dumlupinar_ritim_naz,kartepe dumlupinar ritim naz residence,1,1,"{""kartepe dumlupinar ritim naz residence"": 49324.32}",0.0,
capediem_kartepe,capediem kartepe evleri,1,1,"{""capediem kartepe evleri"": 42500.0}",0.0,
karcity,karcity,1,2,"{""karcity"": 56628.205}",0.0,
vefakent_saklibahce,vefakent saklibahce konutlari,1,2,"{""vefakent saklibahce konutlari"": 41666.665}",0.0,
mahal_kartepe,mahal kartepe,1,15,"{""mahal kartepe"": 48333.33}",0.0,
doga_kent,doga kent sitesi,1,2,"{""doga kent sitesi"": 22357.145}",0.0,
beykent_konaklari,beykent konaklari sitesi,1,1,"{""beykent konaklari sitesi"": 43548.39}",0.0,
480,480 residence sitesi,1,10,"{""480 residence sitesi"": 47083.335}",0.0,
dorukpark,dorukpark evleri,1,3,"{""dorukpark evleri"": 40588.24}",0.0,
garden_kartepe_2,garden kartepe 2 sitesi,1,1,"{""garden kartepe 2 sitesi"": 36875.0}",0.0,
my_life_kartepe,my life kartepe,1,1,"{""my life kartepe"": 51058.2}",0.0,
zeray_mahal_kartepe,zeray mahal kartepe sitesi,1,4,"{""zeray mahal kartepe sitesi"": 51123.435}",0.0,
kartepe_kent,kartepe kent,1,3,"{""kartepe kent"": 52812.5}",0.0,
hursoy_behcelievler,hursoy behcelievler sitesi,1,1,"{""hursoy behcelievler sitesi"": 35227.27}",0.0,
tuana,tuana evleri,1,3,"{""tuana evleri"": 32307.69}",0.0,
dubleks,satilik dubleks site,1,1,"{""satilik dubleks site"": 33125.0}",0.0,
cinar,cinar sitesi,1,1,"{""cinar sitesi"": 34677.42}",0.0,
forum_anatolia,forum anatolia,1,8,"{""forum anatolia"": 32528.83}",0.0,
saglik_kent,saglik kent konutlari sitesi,1,2,"{""saglik kent konutlari sitesi"": 44992.854999999996}",0.0,
guckat_life,guckat life sitesi,1,1,"{""guckat life sitesi"": 46875.0}",0.0,
kartepe_serender_park,kartepe serender park,1,1,"{""kartepe serender park"": 30937.5}",0.0,
atakoy,atakoy sitesi,1,1,"{""atakoy sitesi"": 31120.0}",0.0,
modern_2,modern 2 sitesi,1,3,"{""modern 2 sitesi"": 33928.57}",0.0,
my_world_kartepe,my world kartepe sitesi,1,1,"{""my world kartepe sitesi"": 57692.31}",0.0,
1_69_kredi_icon,1.69 kredi icon residence,1,1,"{""1.69 kredi icon residence"": 57600.0}",0.0,
beykoz_evleri_1,beykoz evleri 1,1,4,"{""beykoz evleri 1"": 31288.095}",0.0,
a_plus,a plus residence,1,1,"{""a plus residence"": 38043.48}",0.0,
kamelya,kamelya sitesi,1,1,"{""kamelya sitesi"": 26071.43}",0.0,
on_cephe,on cephe site,1,1,"{""on cephe site"": 40625.0}",0.0,
konak,konak evleri,1,3,"{""konak evleri"": 33812.95}",0.0,
eksioglu_kardelen,eksioglu izmit kardelen evleri,1,3,"{""eksioglu izmit kardelen evleri"": 24500.0}",0.0,
kartepe,kartepe site,1,1,"{""kartepe site"": 29200.0}",0.0,
marmara_34,marmara 34 sitesi,1,3,"{""marmara 34 sitesi"": 51886.79}",0.0,
son_kartepe_fsm_akev,son firsat kartepe fsm akev sitesi,1,2,"{""son firsat kartepe fsm akev sitesi"": 47472.22}",0.0,
ertugrul_gazi_de,ertugrul gazi'de site,1,1,"{""ertugrul gazi'de site"": 52500.0}",0.0,
emar_delux,emar delux sitesi,1,2,"{""emar delux sitesi"": 39024.015}",0.0,
yelkent_vaha,yelkent vaha sitesi,1,5,"{""yelkent vaha sitesi"": 43115.94}",0.0,
gate_41_masukiye,gate 41 masukiye,1,5,"{""gate 41 masukiye"": 47961.54}",0.0,
dubleks_kent,dubleks kent,1,1,"{""dubleks kent"": 37458.33}",0.0,
acill_deallife_dan_ataevlerde,acill deallife'dan ataevlerde site,1,1,"{""acill deallife'dan ataevlerde site"": 26821.43}",0.0,
hasanpasa_butik,hasanpasa butik site,1,1,"{""hasanpasa butik site"": 39473.68}",0.0,
sudeks_dorukkent_sitesi_2,sudeks dorukkent sitesi 2,1,1,"{""sudeks dorukkent sitesi 2"": 35416.67}",0.0,
son_kartepe_fsm,son firsat kartepe fsm site,1,1,"{""son firsat kartepe fsm site"": 46842.11}",0.0,
kartepe_kosekoy,kocaeli kartepe kosekoy site,1,1,"{""kocaeli kartepe kosekoy site"": 36000.0}",0.0,
sudeks_dorukkent_sitesi_1,sudeks dorukkent sitesi 1,1,1,"{""sudeks dorukkent sitesi 1"": 28000.0}",0.0,
hursoy_nefes_kartepe,hursoy nefes kartepe sitesi,1,1,"{""hursoy nefes kartepe sitesi"": 64516.13}",0.0,
atakent_evleri_142_ada,atakent evleri 142. ada,1,1,"{""atakent evleri 142. ada"": 34444.44}",0.0,
boutique_kartepe,boutique kartepe,1,1,"{""boutique kartepe"": 38541.67}",0.0,
kartepe_atakent,kartepe atakent konutlari,1,1,"{""kartepe atakent konutlari"": 34944.44}",0.0,
kartepe_cadde_life,kartepe cadde life sitesi,1,1,"{""kartepe cadde life sitesi"": 35344.83}",0.0,
pakmaya_deprem,pakmaya deprem konutlari,1,1,"{""pakmaya deprem konutlari"": 45500.0}",0.0,
kartepe_konaklari,kartepe konaklari,1,3,"{""kartepe konaklari"": 31250.0}",0.0,
casaba,casaba residence,1,1,"{""casaba residence"": 73181.82}",0.0,
ozdilek_atakent,ozdilek atakent konutlari,1,1,"{""ozdilek atakent konutlari"": 26923.08}",0.0,
mk_elegance,mk elegance sitesi,1,1,"{""mk elegance sitesi"": 45428.57}",0.0,
atakent_evleri_131_ada,atakent evleri 131. ada,1,1,"{""atakent evleri 131. ada"": 35416.67}",0.0,
sudeks_busekent,sudeks busekent sitesi,1,2,"{""sudeks busekent sitesi"": 37142.86}",0.0,
