building_age_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
31 ve üzeri,788,5.199238578680203,0.0,3,0,0.8396412387090983,29716.317538071064
26-30 arası,737,4.853459972862958,0.0,6,0,0.8362842852734838,31798.56373134328
21-25 arası,425,3.2541176470588233,0.0,1,0,0.8866465290566037,33747.51087058823
16-20 arası,419,2.873508353221957,0.0,0,0,0.9548023286913769,37303.36071599046
11-15 arası,1573,2.6853146853146854,0.0,1,0,0.9661953185533003,40069.45248569612
5,678,2.6430678466076696,0.0,1,0,0.9939722284709285,42954.69601769911
6-10 arası,2488,2.3983118971061095,0.0,0,0,0.9750820604049956,41231.21918810289
2,370,2.389189189189189,0.0,0,0,1.002370925118583,43400.00497297297
4,316,2.240506329113924,0.0,0,0,1.0356570136291046,44082.23851265822
3,359,2.2284122562674096,0.0,1,0,1.0125782858864765,42907.044038997214
1,453,2.2207505518763795,0.0,1,0,1.0139126876950373,43004.458079470205
0 (Yapım Aşamasında),194,2.118556701030928,0.0,0,0,1.0449519108245646,44721.63845360825
0 (Oturuma Hazır),5533,1.8767395626242545,0.0,1,0,1.0216622136327815,46311.06868425809
missing,30,1.7666666666666666,0.0,0,0,1.1626055125240171,49576.808666666664
