decile,n,mean_actual,mean_pred,mean_bias
0,177,27788.773389830505,32794.32908686911,5005.5556970386015
1,174,31543.124942528735,34532.67725930564,2989.5523167769
2,176,33617.061534090906,35974.61206197687,2357.550527885961
3,174,35227.52902298851,36468.68190249763,1241.152879509121
4,176,36766.70914772727,37569.94432672365,803.2351789963751
5,175,38721.52542857143,38708.90320588558,-12.622222685846832
6,175,41049.114285714284,40008.690214415714,-1040.4240712985638
7,175,43378.922857142854,41306.41293227114,-2072.5099248717206
8,175,46825.67697142858,43447.098678845294,-3378.578292583275
9,176,55005.39056818183,45543.61003579532,-9461.780532386501
