room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
2+0,2,0.275101558020493,0.275101558020493,11116.808418693585,11116.808418693585,42615.130000000005,42728.658967594354
3+3,1,0.2309792859446179,0.2309792859446179,6876.883916021903,6876.883916021903,29772.73,36649.6139160219
6+3,1,0.22747313122198778,0.22747313122198778,5859.157375300849,5859.157375300849,25757.58,31616.73737530085
3+0,2,0.19741265122872118,0.19741265122872118,5625.959519542881,5625.959519542881,32567.31,34370.410571736415
3.5+1,27,0.19256909653865223,0.1441610093851184,9073.110830445441,5629.9758045293565,46792.30740740741,42216.22683473514
2+2,6,0.18588443251987763,0.21738020647920686,7004.358290928288,6500.877031756585,39490.04833333333,40613.418008795205
6+1,35,0.17857320238092783,0.13369537583363025,5888.443455633499,4654.82778092548,33829.135714285716,34946.55834382794
3+2,35,0.1745253432242544,0.1534101667825153,7145.163716797538,6182.240923255176,39661.83257142857,38584.078310660036
4+2,91,0.17421321894767744,0.13287711223144363,6112.19402975197,4116.038677183144,35144.72483516484,35283.690901983
4.5+1,21,0.16644278106677599,0.12926949510324845,6349.416972193412,4173.879359363193,36395.701428571425,35950.046985432295
5+2,51,0.16252467046090813,0.14317960007007402,5498.824234664367,4082.7995115289123,33532.12235294117,33780.62945667303
7+1,5,0.15729839787172412,0.19961836388729803,7685.304739878708,6342.4203788328705,42496.554,37901.49090293025
4+3,1,0.1400508794004176,0.1400508794004176,3901.416954580549,3901.416954580549,27857.14,31758.55695458055
5+1,275,0.1342159643536793,0.11221294768165548,4599.195657870279,3583.42140370957,35009.11469090909,35256.12455920203
2.5+1,29,0.13348651708499068,0.11016176191610988,6211.292893416288,4411.964960037119,44384.783793103445,41701.22275844474
Stüdyo (1+0),26,0.12672822329988231,0.09675238357204574,8917.156232108013,7080.025508251143,69347.43923076923,66055.46856110803
4+1,1563,0.12459654519688203,0.09807911182747303,4829.753104823501,3567.7125812708764,38500.29806142034,37952.151024210085
1+1,550,0.12135622777555012,0.09795231991445826,6011.037668299338,4726.032538459032,49900.5216,49205.940119158615
3+1,5783,0.11335146380875896,0.08741628422054745,4410.425130345659,3267.140245826835,39859.204184679234,39371.733201395444
4+0,1,0.11110398962065442,0.11110398962065442,7631.909702386249,7631.909702386249,68691.59,61059.68029761375
6+2,11,0.1103258226193192,0.08140119266756031,3904.1215078221576,3913.5186277828834,36762.729090909095,37102.80183052666
5.5+1,5,0.09645693940493419,0.0848863477642893,3785.8203088004157,2676.596421120121,36271.652,35835.925164821696
2+1,5833,0.09304091955529764,0.06860848192065779,4029.5713627662694,2944.068115137503,44699.870886336364,44340.26215241368
5+3,1,0.08237506463931422,0.08237506463931422,3295.002585572569,3295.002585572569,40000.0,36704.99741442743
1.5+1,8,0.06907202012643177,0.03088495021370146,3051.037439349442,1375.5389278768598,46350.39125,46253.14513404676
