feature,importance,rank
num__location_baseline_log,0.009512334170428892,1
num__location_baseline_m2,0.009159328606542089,2
num__bearing_from_district_centroid_cos,0.007092407102140071,3
num__location_baseline_vs_trend,0.007051166589949788,4
num__bearing_from_district_centroid_sin,0.006537911652948102,5
num__attr_quality_x_location_baseline,0.005978714703128745,6
num__lat_centered_county,0.00555006521803319,7
num__distance_to_geo_cluster_center_m,0.005467672485671206,8
num__distance_to_district_centroid_m,0.005382224813652061,9
num__distance_to_county_centroid_m,0.005027046612821199,10
num__bearing_from_county_centroid_sin,0.00487729699015995,11
num__bearing_from_county_centroid_cos,0.004857041934888645,12
num__lon_centered_county,0.004052087916148249,13
num__location_baseline_count,0.004005090425143371,14
num__distance_to_karamursel_center_m,0.0039040821185390992,15
num__distance_to_coast_x_view_sea,0.0029790168516683284,16
num__lat_centered_city,0.0027065908988507816,17
num__lat,0.0026084029225358794,18
num__detail_effect_view_x_location_baseline,0.0025871629184839083,19
num__distance_to_golcuk_center_m,0.002564836380783918,20
num__distance_to_coast_x_site_inside,0.0024381975068351685,21
num__distance_to_izmit_center_m,0.002248750104853368,22
num__distance_to_coastline_inv,0.002245597051298963,23
num__distance_to_coastline_m,0.002238196810841345,24
num__location_baseline_level_code,0.0021893633526956007,25
num__demo_population_density,0.0020004600942879662,26
num__distance_to_coast_x_large_home,0.0016974005310178137,27
num__transport_score,0.0016611562516986576,28
num__distance_to_kullar_m,0.0016594121129763428,29
num__location_quality_x_detail_effect_total,0.0016537016557290562,30
num__demo_pharmacy_per_10k,0.0016476699577379927,31
num__distance_to_sahil_m,0.0016301658131421348,32
num__demo_high_school_diff_county,0.001624102683669549,33
num__distance_to_basiskele_coast_m,0.0016140654232303779,34
num__lon_centered_city,0.0016111788939846764,35
num__lon,0.001602575936937618,36
num__distance_to_bahcecik_m,0.001579941247404618,37
num__distance_to_yuvacik_m,0.00147561840756475,38
num__is_small_flat,0.0013038292010034054,39
num__demo_education_high_school_ratio,0.0011512509858367626,40
num__distance_to_coast_x_near_sea_zero,0.0009796072750714155,41
num__demo_pharmacy_count,0.0008941714725641588,42
num__is_large_flat,0.0007710541985958511,43
num__demo_education_primary_school_ratio,0.0007690414028016202,44
num__demo_education_middle_school_count,0.0007342469105197344,45
num__demo_education_primary_school_count,0.0006773339304690734,46
cat__geo_cluster_x_room_count_city_2||3+1,0.0006051123559003989,47
num__demo_education_high_school_count,0.0005767450398869468,48
cat__geo_cluster_x_room_count_city_0||3+1,0.0005667106139938362,49
cat__coast_distance_bucket_1000_3000,0.0005459118505449535,50
num__demo_education_middle_school_ratio,0.0005447010120434241,51
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||200+,0.0005346911157705643,52
cat__geo_cluster_city_city_1,0.000531107795269948,53
cat__geo_cluster_x_room_count_city_1||3+1,0.0005294501869150815,54
cat__coast_distance_bucket_3000_plus,0.0005280505104427801,55
cat__geo_cluster_x_room_count_city_6||3+1,0.0005253749493748458,56
num__demo_population_female,0.0004921059496343082,57
cat__geo_cluster_x_room_count_city_0||4+1,0.00044411237165462155,58
cat__coast_distance_bucket_500_1000,0.00043516192180950274,59
num__demo_population_total,0.000414550109493217,60
cat__geo_cluster_x_room_count_city_10||3+1,0.0003838655356012297,61
cat__geo_cluster_x_room_count_city_6||4+1,0.000378665569518894,62
num__demo_population_male,0.00036180737605210006,63
cat__geo_cluster_city_city_6,0.0003597495680559155,64
cat__geo_cluster_x_room_count_city_0||2+1,0.0003581326757467587,65
cat__geo_cluster_city_city_10,0.00030300491958463885,66
cat__geo_cluster_x_room_count_city_9||3+1,0.0003029848685950526,67
cat__geo_cluster_city_city_2,0.0002909486030578808,68
num__county_demo_education_high_school_ratio_mean,0.00029056555545969973,69
cat__geo_cluster_county_other,0.00028850900306654186,70
cat__geo_cluster_x_room_count_missing||3+1,0.0002882067158340271,71
cat__geo_cluster_x_room_count_city_6||2+1,0.00026153058580721263,72
cat__geo_cluster_county_İzmit_1,0.00024212892817212557,73
cat__geo_cluster_x_room_count_city_2||2+1,0.00023921763222836838,74
cat__coast_distance_bucket_0_500,0.0002379554669219325,75
cat__geo_cluster_x_room_count_city_1||2+1,0.00023604318099325211,76
cat__geo_cluster_city_city_0,0.00023556299580610091,77
cat__geo_cluster_x_room_count_city_2||4+1,0.0002349463438772126,78
cat__geo_cluster_county_İzmit_2,0.00023343523489305934,79
num__county_demo_population_density_median,0.00023136759159933935,80
cat__geo_cluster_x_room_count_city_9||2+1,0.0002306550029066167,81
cat__geo_cluster_x_room_count_city_4||3+1,0.00022829895319806702,82
cat__geo_cluster_county_İzmit_3,0.0002258143648065055,83
num__basiskele_distance_to_coast_x_large_home,0.00022507443655794598,84
num__basiskele_lat_lon_interaction,0.00022070636633917263,85
num__basiskele_premium_x_location_baseline,0.00021519871596467765,86
cat__geo_cluster_x_room_count_city_7||2+1,0.00021161896400138407,87
cat__geo_cluster_x_room_count_city_10||2+1,0.0002110019610968718,88
cat__geo_cluster_x_room_count_city_7||3+1,0.00021008847746519513,89
