county,site_project_id,n_listings,known_premium
Darıca,missing,3030,0
İzmit,missing,1659,0
Gebze,missing,1520,0
Başiskele,missing,1231,0
Çayırova,missing,1048,0
Gölcük,missing,931,0
Kartepe,missing,664,0
Körfez,missing,623,0
Derince,missing,545,0
İzmit,izmit::toki_arizli,52,0
Gebze,gebze::gebze_emlak_konutlari_3,32,0
İzmit,izmit::kavanya_koru_sitesi,32,0
Başiskele,basiskele::zeray_gunesi,28,1
Darıca,darica::g_marin_managed_by_divan,20,0
Başiskele,basiskele::bahcekent_konutlari,20,0
İzmit,izmit::yildiz_konutlari,18,0
Darıca,darica::rams_denizkent_bayramoglu,18,0
Kartepe,kartepe::mahal_kartepe,17,0
İzmit,izmit::izmitkent_konutlari_3,17,0
Çayırova,cayirova::meva_anadolu,16,0
İzmit,izmit::sekbanli_toki,16,0
İzmit,izmit::yildizlar_tepesi,16,0
Başiskele,basiskele::altin_vadi,16,0
Başiskele,basiskele::zeray_perla,16,1
İzmit,izmit::tuana_evleri_2,15,0
İzmit,izmit::jasmine_country,15,0
Gölcük,golcuk::mavi_sehir,15,0
Kartepe,kartepe::zeray_esil,14,0
Kartepe,kartepe::480,14,0
Çayırova,cayirova::mopas_bahce_evler,13,0
Kartepe,kartepe::forum_anatolia,12,0
İzmit,izmit::diamond_prestige_2,12,0
Başiskele,basiskele::yuvana_evleri,12,0
İzmit,izmit::yuvam_akarca,12,0
İzmit,izmit::kavanium_833_ada,12,0
Gebze,gebze::toki_gebze,11,0
İzmit,izmit::tuana_evleri_3,11,0
İzmit,izmit::izmitkent_konutlari_5,11,0
Başiskele,basiskele::royal_country,11,0
İzmit,izmit::yahya_kaptan,11,0
İzmit,izmit::kavanya_koru,11,0
Körfez,korfez::emlak_korfezkent_2,11,0
Başiskele,basiskele::royal_city_akkurt,11,0
Çayırova,cayirova::aksu_yasam,11,0
Darıca,darica::es_marin_konaklari,11,0
Başiskele,basiskele::ustpark_afraze,10,0
Başiskele,basiskele::evimiz_kocaeli_sitesi,10,0
Gebze,gebze::gebze_kirazpinar_emlak_konutlari_3_etap,10,0
Gebze,gebze::emlak_gebze_2,10,0
