district,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
Hürriyet Mh.,2,15.5,15.5,0,0,1.0337156840878503,37572.490000000005
Zabıtan Mh.,2,14.0,14.0,0,0,0.7486771275873202,25170.455
Ömerağa Mh.,5,12.4,18.0,0,0,0.6309152634258296,24393.670000000002
Merkez Mah.,7,10.571428571428571,13.0,0,0,0.7675301482883526,25395.50857142857
Tavşantepe Mh.,3,10.333333333333334,8.0,0,0,0.6341663685137415,24379.85666666667
17 Ağustos Mh.,4,9.75,13.0,0,0,0.7102067705116714,26610.2825
Çukurbağ Mh.,4,9.0,9.0,0,0,0.7205136530076239,25724.8875
Kemalpaşa Mh.,2,9.0,9.0,0,0,0.6938145798207753,24230.769999999997
Zincirlikuyu Mah.,2,9.0,9.0,0,0,0.7229586564865527,34184.49
Karabaş Mh.,7,8.285714285714286,10.0,0,0,0.752018914131756,28009.788571428573
Deniz Mah.,1,8.0,8.0,0,0,0.7024925313485488,22633.33
Hacıhasan Mh.,1,8.0,8.0,0,0,0.6764569187966686,26923.08
Karşıyaka Mh.,1,8.0,8.0,0,0,1.6786967168271594,65454.55
Yavuz Selim Mah.,1,8.0,8.0,0,0,0.6630223830895176,29444.44
Kocatepe Mah.,4,7.75,6.5,0,0,0.7065189169754935,27410.7925
Alikahya Fatih Mah.,11,7.545454545454546,5.0,0,0,1.001708407486084,44758.15818181818
Değirmendere Yalı Mh.,12,7.5,5.0,0,0,1.0301198050965639,39940.88166666667
Kozluk Mah.,16,6.6875,7.5,0,0,0.9354428237886785,24433.10625
Akpınar Mh.,9,6.333333333333333,5.0,0,0,0.7987974076399226,32881.066666666666
Ulus Mah.,3,6.0,5.0,0,0,0.8063366257403136,34633.333333333336
Beylikbağı Mh.,5,5.6,5.0,0,0,0.9037166470633478,39409.828
Mevlana Mah.,7,5.428571428571429,5.0,0,0,0.8988364653977732,37897.724285714285
Şirintepe Mh.,10,5.4,5.0,0,0,0.9776913832621212,35825.656
Yüzbaşılar Mh.,17,5.0588235294117645,0.0,0,0,0.9946742408686609,23194.17882352941
Hacı Akif Mh.,3,5.0,5.0,0,0,1.0462777010825919,40534.66
Kabaoğlu Mh.,1,5.0,5.0,0,0,0.9564159616287445,43000.0
Yuvacık Yakacık Mh.,1,5.0,5.0,0,0,0.7397816891152665,32692.31
Donanma Mah.,11,4.909090909090909,5.0,0,0,0.85266891402903,27907.903636363637
Çamlıtepe Mh.,8,4.875,2.5,0,0,1.1116787998653896,40603.61875
Adem Yavuz Mah.,15,4.8,5.0,0,0,1.002891368007081,38133.045999999995
Çiftlik Mh.,19,4.7894736842105265,0.0,0,0,1.0329347093266836,41054.40894736842
Cedit Mah.,6,4.666666666666667,5.0,0,0,1.0604047584380984,39607.67333333333
Yeniyalı Mh.,17,4.529411764705882,0.0,0,0,1.0196203174200014,35266.88647058824
Bekirdere Mah.,3,4.333333333333333,5.0,0,0,0.8533124624557062,33645.67
Akse Mah.,58,4.310344827586207,5.0,0,0,0.9648478913070491,47585.689310344824
Esentepe Mah.,10,4.2,5.0,0,0,0.9359226053558567,32637.314000000002
Yeni Mah.,46,4.086956521739131,0.0,1,0,1.0023525978670662,37345.97956521739
Osman Yılmaz Mh.,36,4.055555555555555,0.0,0,0,1.0100829319590559,46008.71
Seymen Mah.,5,4.0,0.0,0,0,0.8880445253916819,39203.454
Kuruçeşme Fatih Mh.,2,4.0,4.0,0,0,1.0009722981760258,37960.369999999995
Veliahmet Mah.,2,4.0,4.0,0,0,0.8850316291198999,32392.31
Köşklü Çeşme Mh.,28,3.892857142857143,5.0,0,0,0.9665720954825168,43967.305
Yavuz Sultan Selim Mah.,58,3.8448275862068964,5.0,0,0,0.9561304909313054,47307.85413793103
Hacı Osman Mh.,32,3.8125,2.5,0,0,0.9747690729508552,32531.753125
Hacıhalil Mh.,4,3.75,3.5,0,0,0.9767672568084875,41320.8625
Cumhuriyet Mah.,50,3.7,0.0,0,0,0.9916256649706925,37879.007000000005
Yukarı Mh.,5,3.6,5.0,0,0,1.2520150505709637,41887.744
Güzeller Mh.,10,3.5,0.0,0,0,0.8782345505987709,41897.131
Mustafapaşa Mh.,21,3.4761904761904763,0.0,0,0,0.9739842474470833,41537.43095238096
Yazlık Yeni Mh.,15,3.466666666666667,5.0,0,0,0.987477693360868,35449.44933333333
Körfez Mh.,13,3.3846153846153846,0.0,0,0,0.8339523742031625,32919.89
Yavuz Sultan Mah.,64,3.34375,0.0,0,0,1.0173896622128256,37589.085
Arslanbey Mh.,4,3.25,2.5,0,0,0.7561721290351098,29118.055
Yazlık Merkez Mh.,14,3.2142857142857144,5.0,0,0,0.9815290503034358,35251.28928571429
Piyalepaşa Mh.,20,3.2,0.0,0,0,1.0002024036097827,30698.201
İhsaniye Merkez Mh.,8,3.125,5.0,0,0,1.308721527310005,44904.76625
Emek Mah.,96,3.0833333333333335,2.5,0,0,0.9963331587963972,44978.584062500006
Çınarlı Mh.,48,3.0833333333333335,0.0,0,0,0.9765119800019053,36724.63145833334
Nenehatun Mh.,28,3.0714285714285716,0.0,0,0,0.9845256596658196,45197.16714285714
Kavaklı Mh.,14,3.0714285714285716,0.0,0,0,1.0230768213778383,25894.399999999998
Tatlıkuyu Mh.,27,3.0,0.0,0,0,0.9901010305463404,50410.503333333334
Halıdere Yalı Mh.,6,3.0,2.5,0,0,0.7681961676504983,26297.653333333332
M. Alipaşa Mh.,5,3.0,0.0,0,0,0.9386028376897768,37513.178
Örcün Mh.,5,3.0,5.0,0,0,0.9403168315502237,33813.182
Emekevler Mh.,24,2.9583333333333335,5.0,0,0,0.9694176456976734,34412.36875
Değirmendere Merkez Mh.,14,2.9285714285714284,0.0,0,0,1.0018887646427979,29958.33285714286
İnönü Mh.,46,2.9130434782608696,2.5,0,0,1.003734754026893,40988.684565217394
Kazım Karabekir Mh.,44,2.909090909090909,0.0,0,0,0.9603471784111786,47302.464545454546
Abdi İpekçi Mh.,10,2.9,0.0,0,0,0.9248268630076036,44976.467
Kuzey Mah.,17,2.8823529411764706,0.0,0,0,0.932601797401717,30529.001764705885
Topçular Mh.,38,2.8684210526315788,0.0,0,0,1.016028382185375,41519.69894736842
Yenikent Mah.,68,2.838235294117647,0.0,0,0,0.9852188014376425,46667.221617647054
Yeşilova Mh.,6,2.8333333333333335,0.0,0,0,1.0617724692323742,47943.38999999999
Gaziler Mah.,16,2.8125,5.0,0,0,1.0223049886658122,47905.493125
Yenişehir Mh.,15,2.7333333333333334,0.0,0,0,0.9924717255584707,36619.901333333335
İstasyon Mh.,44,2.727272727272727,0.0,0,0,0.9786641692906641,39132.876590909094
Barış Mh.,40,2.725,0.0,0,0,0.9839039780156735,49001.840000000004
Döngel Mh.,14,2.7142857142857144,2.5,0,0,0.9803061728948255,38985.049999999996
Serdar Mah.,15,2.6666666666666665,0.0,0,0,0.8712276044281894,34197.939333333336
Akçakoca Mh.,3,2.6666666666666665,0.0,0,0,1.1226758821171319,35960.12
Tepecik Mah.,3,2.6666666666666665,0.0,0,0,0.9063775592400073,29033.83666666667
Dumlupınar Mh.,56,2.625,0.0,0,0,0.9683094812152951,34680.31982142857
Osman Gazi Mah.,31,2.6129032258064515,0.0,0,0,0.9410618225933848,48598.100967741935
Özgürlük Mh.,76,2.6052631578947367,0.0,0,0,0.9861319739620704,40748.42394736842
Bahçecik Kılıçaslan Mh.,5,2.6,0.0,0,0,0.9011629934708875,37655.088
Yalı Mh.,5,2.6,0.0,0,0,0.9916580140236514,48923.486
Sırasöğütler Mh.,41,2.5853658536585367,0.0,0,0,0.9717605632089603,48729.16609756098
Tepeköy Mh.,7,2.5714285714285716,0.0,0,0,1.1146609769616658,40424.061428571425
Kadıköy Mh.,9,2.5555555555555554,0.0,0,0,0.8582750390582411,33079.432222222225
Uzunçiftlik Mh.,16,2.5,2.5,0,0,0.9940530963177492,37211.665625
Atalar Mah.,14,2.5,0.0,0,0,1.0048083249506485,35038.23071428571
Agah Ateş Mh.,4,2.5,2.5,0,0,0.9009096658234423,31464.637499999997
Kullar Merkez Mh.,4,2.5,2.5,0,0,0.9269876911629427,37796.095
Eskihisar Mh.,2,2.5,2.5,0,0,0.8866610251222176,36206.520000000004
