county,feature,rows,non_null,coverage,mean
Başiskele,attr_has_elevator,334,334,1.0,0.4550898203592814
Başiskele,attr_has_parking,334,331,0.9910179640718563,0.9848942598187311
Başiskele,attr_has_balcony,334,334,1.0,0.9850299401197605
Başiskele,attr_is_site_inside,334,330,0.9880239520958084,0.37272727272727274
Başiskele,attr_credit_eligible,334,0,0.0,
Başiskele,attr_building_age_score,334,334,1.0,0.8871257485029941
Başiskele,attr_heating_quality_score,334,334,1.0,0.9183532934131737
Başiskele,attr_total_quality_score,334,334,1.0,0.7952980321408465
Darıca,attr_has_elevator,330,330,1.0,0.6060606060606061
Darıca,attr_has_parking,330,330,1.0,0.9515151515151515
Darıca,attr_has_balcony,330,330,1.0,0.9606060606060606
Darıca,attr_is_site_inside,330,330,1.0,0.12727272727272726
Darıca,attr_credit_eligible,330,0,0.0,
Darıca,attr_building_age_score,330,330,1.0,0.886060606060606
Darıca,attr_heating_quality_score,330,330,1.0,0.9238181818181819
Darıca,attr_total_quality_score,330,330,1.0,0.8100213804713807
Derince,attr_has_elevator,333,333,1.0,0.24624624624624625
Derince,attr_has_parking,333,333,1.0,0.8648648648648649
Derince,attr_has_balcony,333,333,1.0,0.990990990990991
Derince,attr_is_site_inside,333,333,1.0,0.23723723723723725
Derince,attr_credit_eligible,333,0,0.0,
Derince,attr_building_age_score,333,333,1.0,0.7142642642642641
Derince,attr_heating_quality_score,333,333,1.0,0.8797897897897895
Derince,attr_total_quality_score,333,333,1.0,0.7202625959292626
Gebze,attr_has_elevator,337,337,1.0,0.7359050445103857
Gebze,attr_has_parking,337,336,0.9970326409495549,0.9136904761904762
Gebze,attr_has_balcony,337,337,1.0,0.884272997032641
Gebze,attr_is_site_inside,337,336,0.9970326409495549,0.17261904761904762
Gebze,attr_credit_eligible,337,0,0.0,
Gebze,attr_building_age_score,337,337,1.0,0.7396142433234422
Gebze,attr_heating_quality_score,337,337,1.0,0.8591988130563797
Gebze,attr_total_quality_score,337,337,1.0,0.749013353115727
Gölcük,attr_has_elevator,336,336,1.0,0.20535714285714285
Gölcük,attr_has_parking,336,336,1.0,0.9285714285714286
Gölcük,attr_has_balcony,336,336,1.0,0.9732142857142857
Gölcük,attr_is_site_inside,336,336,1.0,0.23214285714285715
Gölcük,attr_credit_eligible,336,0,0.0,
Gölcük,attr_building_age_score,336,336,1.0,0.6587797619047618
Gölcük,attr_heating_quality_score,336,336,1.0,0.8797619047619046
Gölcük,attr_total_quality_score,336,336,1.0,0.7065252976190477
Kartepe,attr_has_elevator,330,330,1.0,0.2909090909090909
Kartepe,attr_has_parking,330,330,1.0,0.9696969696969697
Kartepe,attr_has_balcony,330,330,1.0,0.990909090909091
Kartepe,attr_is_site_inside,330,330,1.0,0.3575757575757576
Kartepe,attr_credit_eligible,330,0,0.0,
Kartepe,attr_building_age_score,330,330,1.0,0.9089393939393939
Kartepe,attr_heating_quality_score,330,330,1.0,0.9294545454545455
Kartepe,attr_total_quality_score,330,330,1.0,0.7886808080808082
Körfez,attr_has_elevator,338,338,1.0,0.21597633136094674
Körfez,attr_has_parking,338,338,1.0,0.8017751479289941
Körfez,attr_has_balcony,338,338,1.0,0.9733727810650887
Körfez,attr_is_site_inside,338,338,1.0,0.20118343195266272
Körfez,attr_credit_eligible,338,0,0.0,
Körfez,attr_building_age_score,338,338,1.0,0.6457100591715976
Körfez,attr_heating_quality_score,338,338,1.0,0.8665384615384615
Körfez,attr_total_quality_score,338,338,1.0,0.6896939513477975
Çayırova,attr_has_elevator,329,329,1.0,0.6139817629179332
Çayırova,attr_has_parking,329,327,0.993920972644377,0.9602446483180428
Çayırova,attr_has_balcony,329,329,1.0,0.9544072948328267
Çayırova,attr_is_site_inside,329,327,0.993920972644377,0.1559633027522936
Çayırova,attr_credit_eligible,329,0,0.0,
Çayırova,attr_building_age_score,329,329,1.0,0.8592705167173252
Çayırova,attr_heating_quality_score,329,329,1.0,0.8703951367781154
Çayırova,attr_total_quality_score,329,329,1.0,0.7920477879094902
İzmit,attr_has_elevator,333,333,1.0,0.4804804804804805
İzmit,attr_has_parking,333,331,0.993993993993994,0.851963746223565
İzmit,attr_has_balcony,333,333,1.0,0.918918918918919
İzmit,attr_is_site_inside,333,330,0.990990990990991,0.41818181818181815
İzmit,attr_credit_eligible,333,0,0.0,
İzmit,attr_building_age_score,333,333,1.0,0.6154654654654654
İzmit,attr_heating_quality_score,333,333,1.0,0.8711711711711709
İzmit,attr_total_quality_score,333,333,1.0,0.7171631246631246
