detail_konut_tipi_raw,title_raw,duplex_type,is_duplex,is_roof_duplex,is_garden_duplex,is_middle_floor_duplex,is_standard_duplex,duplex_match_source,duplex_source_conflict,extraction_notes,classified_id
Ara Kat,İZMİT YILDIZ KONUTLARINDA ARAKAT SATILIK 2+1,none,0,0,0,0,0,none,0,,1304343046
,ANA CADDE ÜSTÜNDE,none,0,0,0,0,0,none,0,,1219924161
Ara Kat,İZMİT MERKEZ MARS AVM YANI HAVUZLU SİTE İÇİ 3+1 ARA KAT,none,0,0,0,0,0,none,0,,1318219964
Ara Kat,ARAÇ TAKASI DÜŞÜNÜLÜR SAHİBNDN ARAKAT GÜNEYCEPHESİ ORMANMANZARAL,none,0,0,0,0,0,none,0,,1312298351
Ara Kat,END'DEN İZMİT Y.AKARCA KONUTLARINDA SATILIK 3+1 DAİRE,none,0,0,0,0,0,none,0,,1295065556
Ara Kat,İzmit Satılık 1+1 Daire - Myra-3 Sitesi Otogar Yakını,none,0,0,0,0,0,none,0,,1303405939
,AÇIKLAMAYI OKU!!!KENTKONUT AKARCA EVLERİ'NDE ARA KAT DAİRE,none,0,0,0,0,0,none,0,,1314821294
Ara Kat,EVEDİN YENİ PROJE TERRACE SUITE 1+1 70 M2 DAİRE,none,0,0,0,0,0,none,0,,1317974409
En Üst Kat,İZMİT YUVAM AKARCA'DA ORMAN MANZARALI 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1290676348
En Üst Kat,YUVAM AKARCA TEMİZ 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1305720102
,TANYILDIZ'DAN TERRACE YAHYAKAPTAN SİTESİNDE 3+1 ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1311192742
,YUVAM AKARCA A2 BLOKLARDA SATILIK DAİRE,none,0,0,0,0,0,none,0,,1305429064
,MERKEZ EMLAKDAN JASMIN COUNTRY SATILIK 3+1 ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1296805145
Ara Kat,RE/MAX Effectten Yuvam Akarcada Tramvay Durağı Yanında 3+1,none,0,0,0,0,0,none,0,,1305011889
Ara Kat,REMAX EFFECT DEN İZMİT YILDIZ KONUTLARINDA SATILIK 4+1 DAİRE,none,0,0,0,0,0,none,0,,1304110086
En Üst Kat,İzmit Kavanium 819. Adada Satılık 1+1 | Kiraya Vermeye Hazır,none,0,0,0,0,0,none,0,,1308719952
Ara Kat,ASAYRADAN İZMİT YILDIZ KONUTLARINDA GENİŞ 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1314099986
,İzmit kavaniumda 3+1 satılık daire,none,0,0,0,0,0,none,0,,1308463408
Ara Kat,SAHIBINDEN Yildiz Konutlari Kısa Bloklarda/ Büyük Tip 2+1,none,0,0,0,0,0,none,0,,1288006624
Çatı Dubleksi,Kocaeli İzmit Şehir Hastanesi Bölgesi Satılık Daire,roof,1,1,0,0,0,detail,0,,1298263150
Ara Kat,BOĞAZOVA ARMONİA REZİDANS'TA SATILIK 1+0 ARA KAT DAİRE,none,0,0,0,0,0,none,0,,1303704692
Ara Kat,"ASAYRA EMLAK'TAN GÜNDOĞDU, YESİLOVADA 3+1 SATILIK ARAKAT",none,0,0,0,0,0,none,0,,1299869337
Ara Kat,BOĞAZOVA CADDESİNE ÇOK YAKIN KONUMDA SATILIK 3+1 ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1317524420
,YEŞILOVA BOĞAZOVADA ASANSÖRLÜ 3+1 ARAKAT,none,0,0,0,0,0,none,0,,1314420319
Bahçe Dubleksi,Kavanya Koru Sitesinin En İyi Daire,garden,1,0,1,0,0,detail,0,,1318879644
En Üst Kat,İzmit TOKİ'de Manzaralı Satılık 2+1 Daire (Kiracılı),none,0,0,0,0,0,none,0,,1298255247
Ara Kat,Kavanya Koru Projesi 2+1 Satılık Daire,none,0,0,0,0,0,none,0,,1312911153
,Sahibinden satılık arakat güney cephe,none,0,0,0,0,0,none,0,,1312809777
En Üst Kat,Sekbanlı TOKİ de doğayla iç içe,none,0,0,0,0,0,none,0,,1318360640
Ara Kat Dubleks,SEPETÇI TOKİ KONUTLARI'NDA 2 + 1 GÖL MANZARALI SATILIK DAİRE,middle_floor,1,0,0,1,0,detail,0,,1309509711
Ara Kat,SEPETÇİ TOKİ MAHALLESİNDE 2+1 İÇİ YAPILI TEK KURUŞ MASRAFSIZ,none,0,0,0,0,0,none,0,,1309463445
,KARLIKAYA'DAN TURKUAZ'DA MANZARALI KİRACILI SÜPER FIRSAT DAİRE,none,0,0,0,0,0,none,0,,1290141910
Ara Kat,KOCAELİ İZMİT ÇAYIRKÖY GÖLKENT YATIRIMLIK TAKASLI SATILIK DAİRE,none,0,0,0,0,0,none,0,,1314578330
Çatı Dubleksi,İZMİT KAVANYA KORU SİTESİNDE GÖL VE DOĞA MANZARALI 3+1 DAİRE,roof,1,1,0,0,0,detail,0,,1304801529
Ara Kat,İZMİT SEPETÇİ TOKİ KONUTLARI 3+1 ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1304815647
Bahçe Dubleksi,İzmit Çayırköy Satılık Site İçi 2+1 Daire,garden,1,0,1,0,0,detail,0,,1310062907
