district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Ulaşlı Yavuz Sultan Selim Mh.,2,0.33537481336377406,0.33537481336377406,13112.884168910823,13112.884168910823,36275.86,29412.803305663125
Bekirdere Mah.,3,0.33047896534352017,0.22057762914550924,10061.556409481584,8761.261815936843,33645.67,37866.385198857024
Akçakoca Mh.,3,0.3281401067355389,0.17207675828299993,9721.6005130446,7681.998629281807,35960.12,36885.33631268235
Tavşantepe Mh.,3,0.3218211544222895,0.3129219562223716,7454.582027579173,6423.136208446391,24379.85666666667,31834.43869424584
Karşıyaka Mh.,1,0.3198686666994118,0.3198686666994118,20936.859637909984,20936.859637909984,65454.55,44517.69036209002
Hacıhalil Mh.,4,0.31441514426759426,0.327201398700667,12942.041694875777,11124.035830083021,41320.8625,34322.54456339788
Güzeller Mh.,10,0.2943546422315055,0.24479129756268525,12020.292851903496,10364.022828153458,41897.131,42221.68748937505
Kemalpaşa Mh.,2,0.27934244952705284,0.27934244952705284,6019.152698236081,6019.152698236081,24230.769999999997,30249.922698236078
Kozluk Mah.,16,0.2769570680477034,0.2638976994916014,6548.451304623907,7881.158026309122,24433.10625,24520.561234309695
Arslanbey Mh.,4,0.26716583649171466,0.2949791020797933,7100.525194105288,7876.858554765429,29118.055,34454.27331178606
Erenler Mah.,4,0.25958205768471104,0.21578960902995659,10110.697063507736,9602.889234274975,41362.5125,37247.05708182258
Yavuz Selim Mah.,1,0.25701985003668426,0.25701985003668426,7567.805553214148,7567.805553214148,29444.44,37012.24555321415
Hürriyet Mh.,2,0.2569155633923577,0.2569155633923577,10673.662685920657,10673.662685920657,37572.490000000005,30617.97190562207
Uzuntarla Mh.,2,0.2534240592599677,0.2534240592599677,7709.976674180731,7709.976674180731,30490.775,38200.751674180734
Kocatepe Mah.,4,0.24123235509692215,0.2346023866799571,5902.85983101091,5444.85494042239,27410.7925,32631.18288573767
Şirinyalı Mh.,3,0.23235463491268812,0.22683040443611757,11461.545220057422,14326.129732031826,44739.5,34544.72399049125
Atakent Mah.,2,0.232172434912871,0.232172434912871,7463.468497638531,7463.468497638531,32668.309999999998,40131.77849763853
Mustafapaşa Mh.,21,0.22691712283212565,0.18613716281086748,8826.52619893858,9111.801989235024,41537.43095238096,41167.993605556185
Kuruçeşme Fatih Mh.,2,0.20659437301764844,0.20659437301764844,8040.630297977854,8040.630297977854,37960.369999999995,34983.10072454937
Yüzbaşılar Mh.,17,0.20484582303977192,0.16535465060926285,4951.391309154538,3509.078758921176,23194.17882352941,22008.212878431117
Maşukiye Mh.,3,0.20433721693351625,0.2722227210242369,11027.916790290277,11940.679434827558,53326.42333333334,50258.95949959476
Atalar Mah.,14,0.2031426079064915,0.19061572054799653,6247.635717452059,5875.09337899783,35038.23071428571,33982.58594874884
Hacıhızır Mh.,6,0.2018988949187628,0.1973683995474974,7399.3707526878425,6776.071607226817,36830.47666666666,33948.486985463365
Veliahmet Mah.,2,0.20085004447866667,0.20085004447866667,5551.486682868042,5551.486682868042,32392.31,37943.796682868044
Tepeköy Mh.,7,0.2000872334346551,0.07449568004357313,7169.107825252356,3259.1860019063242,40424.061428571425,38846.301873289514
Yalı Mh.,5,0.1990319288221763,0.1675800958365403,8942.470840488773,8022.897088174366,48923.486,49151.564132508465
Alikahya Fatih Mah.,11,0.1968182632284335,0.13751718110684918,9364.013906829718,5292.837309777606,44758.15818181818,43815.850594547876
Değirmendere Yalı Mh.,12,0.19492628565828193,0.2143337531575251,8601.245977689709,6343.839304929828,39940.88166666667,33890.69379137046
Akse Mah.,58,0.18760556569915945,0.16390899745462073,9073.497401284289,7973.0075832815455,47585.689310344824,45925.26966721494
Çamlıtepe Mh.,8,0.185593000734776,0.16248728278667976,8200.746140153358,5518.856537224525,40603.61875,36586.985726786996
Merkez Mah.,7,0.18527384062673904,0.1868664172410771,4671.53973891393,4130.730738382492,25395.50857142857,25562.995728972677
Agah Ateş Mh.,4,0.18061792001718568,0.18527412392647846,5551.3635560438815,6155.546780263921,31464.637499999997,30261.868377711624
Derbent Mh.,7,0.17196264229034153,0.1666906353566067,5758.998388516452,5307.13645423613,33980.09428571429,34632.86626262783
Sırrıpaşa Mh.,38,0.17167304330513442,0.13515402798202436,5368.100507225849,5255.102157231253,34268.92868421053,33457.41624711869
