room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Stüdyo (1+0),4,0.3128175423975038,0.23381234491879652,15906.475233232346,15832.449986188392,60120.0,54610.901903203674
6+2,1,0.291652903379474,0.291652903379474,9999.526865926666,9999.526865926666,34285.71,44285.236865926665
4.5+1,9,0.2902936961187991,0.2417495959126813,10440.168085097392,7993.854110677981,38221.78222222222,40913.4070446997
3.5+1,6,0.212742021678907,0.19395409248464657,8239.407737873424,6098.449709777777,39141.07166666666,37924.149520266365
2.5+1,10,0.21243367774477875,0.17049913244998677,10512.390399016693,5358.2007721337595,44290.429,40867.9951366388
4+2,19,0.20315683033279713,0.2145406402210358,7359.157555387766,7275.639284231893,36580.69157894737,35700.94271115333
5+2,8,0.17223551419413446,0.19860943952618934,6276.085396443892,6054.051039384563,36766.02625,35911.87849978227
6+1,6,0.16809835034322348,0.12276463320004946,4765.343959917425,3474.768559797165,31801.156666666666,36566.500626584086
1+1,100,0.15526940397538,0.12489427116489318,7431.0474740441,5542.436765223993,47164.5924,44987.91142084127
4+1,300,0.15509002235971303,0.12688784989307084,5730.332835590961,4195.380014372942,36922.23356666667,36347.73535517298
5+1,53,0.1482990499190053,0.15691105608583228,5465.3223010456,4852.95028850044,36163.31226415095,36388.54312644159
2+0,1,0.148267506579424,0.148267506579424,7725.516979872598,7725.516979872598,52105.26,44379.743020127404
3+2,5,0.14573377770455748,0.11215859464848855,7206.816452526185,5301.017119307478,42454.65,39311.08476735031
3+1,1263,0.13059023500113326,0.10183537922561202,4926.311271148572,3739.1592192762437,38036.82557403009,37520.318267292416
2+1,1209,0.10794063428481133,0.08205812118035916,4446.171343126744,3393.576089143731,42285.369999999995,41831.793312718364
4+3,1,0.08887741712952493,0.08887741712952493,2475.870651815574,2475.870651815574,27857.14,30333.010651815574
7+1,1,0.08073042661571053,0.08073042661571053,3229.217064628421,3229.217064628421,40000.0,43229.21706462842
1.5+1,2,0.060316907270876026,0.060316907270876026,2534.145287683601,2534.145287683601,42175.925,39641.7797123164
5.5+1,2,0.031364451368701536,0.031364451368701536,1046.4362770759926,1046.4362770759926,37765.765,37124.920437649314
