feature,importance
num__district_m2_group_target_median,0.24242173146978868
num__district_room_count_target_median,0.07658523062779427
num__attr_total_quality_score,0.06281784957332238
num__attr_effect_building_age_bucket,0.02931565533875275
num__is_old_building,0.02827344689915845
num__building_age,0.013012123524459004
num__attr_m2_per_room,0.007900611880329433
num__detail_effect_total_mean,0.006716899405691123
cat__duplex_type_none,0.0064392460896270185
num__estimated_monthly_rent_gross,0.006414983874941994
num__is_duplex,0.006244233055291787
num__location_baseline_m2,0.00570141839698847
num__detail_effect_outside_mean,0.005583762874944291
num__attr_building_age_score,0.00555761917325478
num__detail_effect_inside_mean,0.005401128631548473
cat__parking_Açık Otopark,0.005337345114320684
num__location_baseline_log,0.005297483907993701
num__bearing_from_district_centroid_cos,0.005015290752640523
num__net_m2,0.004936257915668864
cat__duplex_match_source_none,0.004677691492036896
num__bearing_from_district_centroid_sin,0.004669030249677325
num__attr_quality_x_county_income,0.0046040924179738376
num__detail_effect_total_x_attr_quality,0.004383597098623087
num__attr_is_old_building,0.004097083498936405
num__attr_net_gross_ratio,0.00409157176484482
num__detail_effect_inside_x_attr_quality,0.003999864821743792
num__attr_effect_elevator,0.003968710003263272
num__attr_building_age_inverse,0.003937229187991465
num__net_gross_ratio,0.003929910916715552
num__distance_to_karamursel_center_m,0.0038373520011731133
num__gross_m2,0.003781905889557442
num__attr_quality_x_location_baseline,0.003750218365608758
num__distance_to_geo_cluster_center_m,0.0037390379227510723
num__detail_effect_inside_sum,0.003708652352817779
num__detail_effect_subtype_sum,0.003628905729627591
num__distance_to_district_centroid_m,0.003619511149158697
num__detail_effect_front_sum,0.0035278859692119834
num__detail_effect_subtype_mean,0.003461604874428122
num__attr_old_building_x_no_elevator,0.00334705273525622
num__total_floors,0.003344216612525276
num__bearing_from_county_centroid_sin,0.00331578741612731
num__dues,0.0033026449445619317
num__distance_to_county_centroid_m,0.0032867107242852377
num__location_baseline_vs_trend,0.0032771190374930714
num__detail_effect_district_total_sum,0.003201481393724376
num__bearing_from_county_centroid_cos,0.0031622470136121934
num__detail_effect_front_mean,0.003114924297996512
num__district_target_mean,0.003110642219064346
num__detail_effect_nearby_mean,0.003072738806019871
num__attr_quality_x_demo_income,0.0029997180234796177
