purpose,county,total_rows,yerden_count,yerden_share,median_unit_price_yerden,median_unit_price_other
sale,Başiskele,341,174,0.5102639296187683,37467.95,36888.89
sale,Darıca,349,172,0.49283667621776506,53207.11,47500.0
sale,Derince,349,59,0.16905444126074498,42272.73,34599.354999999996
sale,Gebze,348,21,0.0603448275862069,50588.24,42613.64
sale,Gölcük,349,84,0.24068767908309455,38319.89,30740.74
sale,Kartepe,341,179,0.5249266862170088,37337.66,36858.555
sale,Körfez,348,57,0.16379310344827586,40816.33,32000.0
sale,Çayırova,347,51,0.14697406340057637,44705.88,40662.395000000004
sale,İzmit,348,34,0.09770114942528736,42584.335,36663.58
sale,__ALL__,3120,831,0.26634615384615384,40750.0,36923.08
rental,Başiskele,189,55,0.291005291005291,,
rental,Darıca,196,12,0.061224489795918366,,
rental,Derince,198,11,0.05555555555555555,,
rental,Gebze,199,5,0.02512562814070352,,
rental,Gölcük,199,14,0.07035175879396985,,
rental,Kartepe,199,57,0.2864321608040201,,
rental,Körfez,195,6,0.03076923076923077,,
rental,Çayırova,198,8,0.04040404040404041,,
rental,İzmit,200,11,0.055,,
rental,__ALL__,1773,179,0.10095882684715173,,
