raw_name,proposed_canonical_id,reason,frequency,mean_residual,needs_manual_review,mean_price,median_price
Green Hill City,green_hill_city,low_freq_kept_separate_review,1,,True,,
myra-3 sitesi,myra_3,low_freq_kept_separate_review,1,,True,,
Yeni Akarca Konutları,akarca,low_freq_kept_separate_review,1,,True,,
Jasmine Country Sitesi,jasmine_country,low_freq_kept_separate_review,1,,True,,
Kavanium 833 Ada,kavanium_833_ada,low_freq_kept_separate_review,1,,True,,
Armonia Rezidans,armonia,low_freq_kept_separate_review,1,,True,,
Gölkent Turkuaz Evleri,golkent_turkuaz,low_freq_kept_separate_review,1,,True,,
Cef City Gölpark,cef_city_golpark,low_freq_kept_separate_review,1,,True,,
Semt Kocaeli Sitesi,semt,low_freq_kept_separate_review,1,,True,,
izmit sea life 41 sitesi,sea_life_41,low_freq_kept_separate_review,1,,True,,
Solin Konutları,solin,low_freq_kept_separate_review,1,,True,,
Vista Evleri,vista,low_freq_kept_separate_review,1,,True,,
Özgür Sitesi,ozgur,low_freq_kept_separate_review,1,,True,,
Türköz Sitesi,turkoz,low_freq_kept_separate_review,1,,True,,
Emniyetçiler Sitesi,emniyetciler,low_freq_kept_separate_review,2,,True,,
plajyolu site,plajyolu,low_freq_kept_separate_review,1,,True,,
Barış Sitesi 2,baris_sitesi_2,low_freq_kept_separate_review,1,,True,,
Şehrin Yıldızı Sitesi,sehrin_yildizi,low_freq_kept_separate_review,1,,True,,
Erenler Cedit Konutları,erenler_cedit,low_freq_kept_separate_review,2,,True,,
İzmitkent Konutları 2. Etap,izmitkent_konutlari_2,low_freq_kept_separate_review,2,,True,,
Bağtepe Evleri,bagtepe,low_freq_kept_separate_review,1,,True,,
Tadu Concept Residence,tadu_concept,low_freq_kept_separate_review,1,,True,,
Dünya Bankası Konutları 27. Ada,dunya_bankasi_konutlari_27_ada,low_freq_kept_separate_review,1,,True,,
İzmitkent Konutları 2. Etap,izmitkent_konutlari_2,low_freq_kept_separate_review,2,,True,,
Diamond Prestige 2,diamond_prestige_2,low_freq_kept_separate_review,1,,True,,
izmit kent,kent,low_freq_kept_separate_review,1,,True,,
izmit kent,panoramakent,near_dict_not_merged_conservative,1,,True,,
izmit kent,bahcekent_konutlari,near_dict_not_merged_conservative,1,,True,,
izmit kent,kirazli_kent,near_dict_not_merged_conservative,1,,True,,
izmit kent,zeraykent_yuvacik,near_dict_not_merged_conservative,1,,True,,
Erenler Cedit Konutları,erenler_cedit,low_freq_kept_separate_review,2,,True,,
Akçakoca Konutları,akcakoca,low_freq_kept_separate_review,1,,True,,
Sudeks Bağçeşme Konutları,sudeks_bagcesme,low_freq_kept_separate_review,1,,True,,
İzmit Tavşantepe TOKİ Konutları,tavsantepe_toki,low_freq_kept_separate_review,1,,True,,
remax dream avenue rezidans,remax_dream_avenue,low_freq_kept_separate_review,1,,True,,
Tuana Evleri 2,tuana_evleri_2,low_freq_kept_separate_review,1,,True,,
Hanzade Evlerı,hanzade,low_freq_kept_separate_review,1,,True,,
Masiva Kozluk,masiva_kozluk,low_freq_kept_separate_review,1,,True,,
Anadolu Evleri,anadolu,low_freq_kept_separate_review,1,,True,,
Akçakent 1 Konutları,akcakent_1,low_freq_kept_separate_review,1,,True,,
Saray Evleri Anemon Sitesi,saray_evleri_anemon,low_freq_kept_separate_review,1,,True,,
Seka Sitesi,seka,low_freq_kept_separate_review,1,,True,,
Asrın Sarayları 2,asrin_saraylari_2,low_freq_kept_separate_review,1,,True,,
basiskele barbaros mh site,barbaros_mh,low_freq_kept_separate_review,1,,True,,
ceneviz adalari projesi,ceneviz_adalari,low_freq_kept_separate_review,2,,True,,
Kolaylı Kullar Sitesi,kolayli_kullar,low_freq_kept_separate_review,1,,True,,
ceneviz adalari projesi,ceneviz_adalari,low_freq_kept_separate_review,2,,True,,
Yağmurkent Sitesi,yagmurkent,low_freq_kept_separate_review,1,,True,,
ara kat daire site,ara,low_freq_kept_separate_review,2,,True,,
ust kat deniz manzarali asansorlu site,ust_deniz_manzarali_asansorlu,low_freq_kept_separate_review,1,,True,,
Üst Park Atakent,ust_park_atakent,low_freq_kept_separate_review,1,,True,,
Armoni 2 Evleri,armoni_2,low_freq_kept_separate_review,1,,True,,
Üstpark Yuvacık Sitesi,ustpark_yuvacik,low_freq_kept_separate_review,2,,True,,
Manar Terrace,manar_terrace,low_freq_kept_separate_review,1,,True,,
yuvacik pasadagi mh. site,yuvacik_pasadagi_mh,low_freq_kept_separate_review,1,,True,,
Üst Park Yuvacık,ust_park_yuvacik,low_freq_kept_separate_review,1,,True,,
Zeray Kent,zeray_kent,low_freq_kept_separate_review,1,,True,,
aydinkent konutlari,aydinkent,low_freq_kept_separate_review,1,,True,,
Secret Garden,secret_garden,low_freq_kept_separate_review,1,,True,,
Üstpark Yuvacık Sitesi,ustpark_yuvacik,low_freq_kept_separate_review,2,,True,,
Aurapark,aurapark,low_freq_kept_separate_review,1,,True,,
basiskele tinaztepede site,tinaztepede,low_freq_kept_separate_review,1,,True,,
Mahall Yuvacık 2,mahall_yuvacik_2,low_freq_kept_separate_review,2,,True,,
Yuvacık Kalıcı Konutları 2 Ada,yuvacik_kalici_konutlari_2_ada,low_freq_kept_separate_review,1,,True,,
basiskele yesilyurt mah.durupark evleri,yesilyurt_mah_durupark,low_freq_kept_separate_review,1,,True,,
Teras Marmara,teras_marmara,low_freq_kept_separate_review,1,,True,,
basiskele yesilyurt mahallesin'de site,yesilyurt_mahallesin_de,low_freq_kept_separate_review,1,,True,,
Terasta Life,terasta_life,low_freq_kept_separate_review,1,,True,,
Ocak Sitesi,ocak,low_freq_kept_separate_review,1,,True,,
Şengün Sitesi,sengun,low_freq_kept_separate_review,2,,True,,
degirmendere ervatan sitesi,degirmendere_ervatan,low_freq_kept_separate_review,1,,True,,
Kurtuluş Sitesi,kurtulus,low_freq_kept_separate_review,1,,True,,
Aylan 1 Sitesi,aylan_1,low_freq_kept_separate_review,1,,True,,
Mercan Bağkent Sitesi,mercan_bagkent,low_freq_kept_separate_review,1,,True,,
Turkuaz Evleri,turkuaz,low_freq_kept_separate_review,1,,True,,
Azra 6 Sitesi,azra_6,low_freq_kept_separate_review,1,,True,,
Vadi Değirmendere,vadi_degirmendere,low_freq_kept_separate_review,2,,True,,
Revna Life,revna_life,low_freq_kept_separate_review,1,,True,,
degirmendere merkezi konum evim kent,degirmendere_merkezi_konum_evim_kent,low_freq_kept_separate_review,1,,True,,
Rakıcıoğlu Sitesi,rakicioglu,low_freq_kept_separate_review,1,,True,,
Hasdayı Sitesi,hasdayi,low_freq_kept_separate_review,2,,True,,
