county,site_project_id,n_listings,known_premium
Darıca,missing,290,0
Gebze,missing,281,0
Körfez,missing,277,0
Çayırova,missing,276,0
Gölcük,missing,268,0
Derince,missing,263,0
Başiskele,missing,234,0
Kartepe,missing,225,0
İzmit,missing,214,0
Derince,derince::cinarlikent,8,0
İzmit,izmit::kavanya_koru,7,0
Başiskele,basiskele::zeray_gunesi,7,1
Çayırova,cayirova::ozgunkent,5,0
Kartepe,kartepe::zeray_esil,5,0
Körfez,korfez::emlak_korfezkent_2,5,0
Çayırova,cayirova::meva_anadolu,5,0
İzmit,izmit::toki_arizli,5,0
Kartepe,kartepe::mahal_kartepe,5,0
Gebze,gebze::gebze_emlak_konutlari_3,5,0
Çayırova,cayirova::mopas_bahce_evler,5,0
Başiskele,basiskele::bahcekent_konutlari,4,0
Kartepe,kartepe::480,4,0
Gölcük,golcuk::toki_sivritepe,4,0
Gölcük,golcuk::kavanium,4,0
İzmit,izmit::izmitkent_konutlari_3,4,0
Başiskele,basiskele::kirazli_kent,4,0
Körfez,korfez::emlak_korfez_kent_3,4,0
İzmit,izmit::yildiz,4,0
Derince,derince::yelkent_korupark,4,0
Derince,derince::safir_konaklari,4,0
Darıca,darica::kastel_tatil_koyu,4,0
İzmit,izmit::sepetci_toki,4,0
Başiskele,basiskele::altin_vadi,4,0
Başiskele,basiskele::royal_country,3,0
Kartepe,kartepe::tuana,3,0
Başiskele,basiskele::esila_park,3,0
Başiskele,basiskele::evimiz_kocaeli,3,1
İzmit,izmit::izmitkent_konutlari_5,3,0
Başiskele,basiskele::emar_delux_yuvacik,3,0
Kartepe,kartepe::saglik_kent,3,0
Körfez,korfez::gizli_bahce_konaklari,3,0
Körfez,korfez::ogretmenler,3,0
Başiskele,basiskele::elitium_trio,3,0
Kartepe,kartepe::beykoz_evleri_1,3,0
Kartepe,kartepe::dorukpark,3,0
Gebze,gebze::emlak_gebze_2,3,0
Gebze,gebze::erengul_yasam,3,0
Gebze,gebze::yildiz,3,0
Kartepe,kartepe::kartepe_kent_meydaninda,3,0
Kartepe,kartepe::emar_delux,3,0
Kartepe,kartepe::forum_anatolia,3,0
Gölcük,golcuk::true_life,3,0
Derince,derince::derince_park,3,0
Derince,derince::bariskent,3,0
Derince,derince::yelkent_safir_konaklari,3,0
Derince,derince::yildirim_park,3,0
İzmit,izmit::yuvam_akarca,3,0
İzmit,izmit::sekbanli_toki,3,0
İzmit,izmit::yuvam_turgut_toplu,3,0
İzmit,izmit::terrace_yahyakaptan,3,0
İzmit,izmit::tuana_evleri_3,3,0
Gölcük,golcuk::mavi_sehir,2,0
Gebze,gebze::efem,2,0
Gölcük,golcuk::sengun,2,0
Gölcük,golcuk::vadi_degirmendere,2,0
Gebze,gebze::toki_gebze,2,0
Derince,derince::inci,2,0
Derince,derince::kalici_konutlar,2,0
Darıca,darica::yelken_kaya_korfez,2,0
Darıca,darica::g_marin_divan,2,0
İzmit,izmit::izmitkent_konutlari_2,2,0
Darıca,darica::green_life,2,0
Kartepe,kartepe::son_kartepe_fsm_akev,2,0
Derince,derince::yelkent_zirve,2,0
Derince,derince::yenikent_toki,2,0
Gölcük,golcuk::olkar_atasehir,2,0
Başiskele,basiskele::ustpark_yuvacik,2,0
Darıca,darica::kayakent_konaklari,2,0
Gebze,gebze::yesilkent,2,0
Başiskele,basiskele::ceneviz_adalari,2,0
Başiskele,basiskele::zeray_perla,2,1
Gebze,gebze::beytepe_konaklari,2,0
Gölcük,golcuk::hasdayi,2,0
Kartepe,kartepe::kartepe_cadde_life,2,0
Kartepe,kartepe::butik,2,0
Kartepe,kartepe::gate_41_masukiye,2,0
Başiskele,basiskele::twinkle_life,2,0
Kartepe,kartepe::kartepe_konaklari,2,0
Kartepe,kartepe::kartepe_konutlari_2,2,0
Kartepe,kartepe::marmara_34,2,0
Kartepe,kartepe::sarimese_konaklari,2,0
Başiskele,basiskele::orka_life_2,2,1
Başiskele,basiskele::royal_city_akkurt,2,0
Körfez,korfez::baris_kent,2,0
Körfez,korfez::emlak_korfez_kent_sitesi_1,2,0
Körfez,korfez::emlak_korfez_kent_sitesi_2,2,0
Körfez,korfez::emlak_korfez_kent_sitesi_4,2,0
Körfez,korfez::emlak_korfezkent_1,2,0
Körfez,korfez::er_ay,2,0
Çayırova,cayirova::aymac,2,0
Körfez,korfez::kavanium_korfez,2,0
Çayırova,cayirova::akse_life,2,0
Çayırova,cayirova::aksu_yasam,2,0
Çayırova,cayirova::cagdaskent_700_ada,2,0
Çayırova,cayirova::gokturk,2,0
Çayırova,cayirova::toki_bloklari,2,0
Başiskele,basiskele::iskar_elit_kent,2,0
Başiskele,basiskele::mahall_yuvacik_2,2,0
İzmit,izmit::cepni_up_town_evleri_2,2,0
İzmit,izmit::erenler_cedit,2,0
Başiskele,basiskele::elitium_park,2,0
İzmit,izmit::kavanium,2,0
İzmit,izmit::kent_konutlari_2,2,0
İzmit,izmit::akkus,2,0
Başiskele,basiskele::doga,2,0
İzmit,izmit::yuvam_akarca_evleri_10_ada,1,0
Darıca,darica::iyigun,1,0
Darıca,darica::kevser_sitesi_5,1,0
Darıca,darica::kiana,1,0
Darıca,darica::manolya,1,0
Darıca,darica::marina,1,0
Darıca,darica::obitas_sahil,1,0
Darıca,darica::ozden_evler,1,0
Darıca,darica::pirlanta,1,0
Darıca,darica::rams_denizkent_bayramoglu,1,0
Darıca,darica::sahra_city,1,0
Darıca,darica::sinirsiz_kredili_bayramoglu_mevki,1,0
