canonical_id,raw_variants,n_variants,total_count,median_unit_price_by_variant,max_variant_price_gap,warning,county
izmit::yildiz,yildiz konutlari,1,4,"{""yildiz konutlari"": 61328.13}",0.0,,izmit
izmit::green_hill_city,green hill city,1,1,"{""green hill city"": 47413.79}",0.0,,izmit
izmit::myra_3,myra-3 sitesi,1,1,"{""myra-3 sitesi"": 51866.67}",0.0,,izmit
izmit::akarca,yeni akarca konutlari,1,1,"{""yeni akarca konutlari"": 38266.67}",0.0,,izmit
izmit::terrace_yahyakaptan,terrace yahyakaptan,1,3,"{""terrace yahyakaptan"": 57225.81}",0.0,,izmit
izmit::yuvam_akarca,yuvam akarca evleri | yuvam izmit akarca evleri,2,3,"{""yuvam izmit akarca evleri"": 36203.705, ""yuvam akarca evleri"": 36956.52}",752.814999999995,,izmit
izmit::jasmine_country,jasmine country sitesi,1,1,"{""jasmine country sitesi"": 42000.0}",0.0,,izmit
izmit::kavanium,izmit kavanium sitesi | kavanium,2,2,"{""kavanium"": 50342.47, ""izmit kavanium sitesi"": 46842.11}",3500.3600000000006,,izmit
izmit::kavanium_833_ada,kavanium 833 ada,1,1,"{""kavanium 833 ada"": 54471.54}",0.0,,izmit
izmit::armonia,armonia rezidans,1,1,"{""armonia rezidans"": 76785.71}",0.0,,izmit
izmit::kavanya_koru,kavanya koru | kavanya koru sitesi,2,7,"{""kavanya koru"": 46088.32, ""kavanya koru sitesi"": 45217.39}",870.9300000000003,,izmit
izmit::sekbanli_toki,sekbanli toki konutlari,1,3,"{""sekbanli toki konutlari"": 30454.55}",0.0,,izmit
izmit::sepetci_toki,izmit sepetci toki konutlari | sepetci toki konutlari,2,4,"{""sepetci toki konutlari"": 41500.0, ""izmit sepetci toki konutlari"": 41401.87}",98.12999999999738,,izmit
izmit::golkent_turkuaz,golkent turkuaz evleri,1,1,"{""golkent turkuaz evleri"": 42405.06}",0.0,,izmit
izmit::cef_city_golpark,cef city golpark,1,1,"{""cef city golpark"": 38181.82}",0.0,,izmit
izmit::semt,semt kocaeli sitesi,1,1,"{""semt kocaeli sitesi"": 58116.88}",0.0,,izmit
izmit::sea_life_41,izmit sea life 41 sitesi,1,1,"{""izmit sea life 41 sitesi"": 48333.33}",0.0,,izmit
izmit::solin,solin konutlari,1,1,"{""solin konutlari"": 36923.08}",0.0,,izmit
izmit::vista,vista evleri,1,1,"{""vista evleri"": 37575.76}",0.0,,izmit
izmit::ozgur,ozgur sitesi,1,1,"{""ozgur sitesi"": 23703.7}",0.0,,izmit
izmit::turkoz,turkoz sitesi,1,1,"{""turkoz sitesi"": 56818.18}",0.0,,izmit
izmit::ogretmenler,ogretmenler sitesi,1,1,"{""ogretmenler sitesi"": 21818.18}",0.0,,izmit
