site_project_id,n,mean_actual,mean_pred,mean_residual
cayirova::alb_akse_life,1,74333.33,38745.91548926898,-35587.414510731025
cayirova::guzeltepe,1,70576.92,39587.17999110504,-30989.740008894958
darica::g_marin_divan,2,82894.32999999999,53758.865984835356,-29135.464015164634
basiskele::panorama_3,1,68780.49,42038.827549956135,-26741.66245004387
darica::bayramoglu_zen,1,88571.43,63774.0827952587,-24797.347204741294
basiskele::yuvacik_pasadagi_mh,1,57241.38,33152.952945523786,-24088.42705447621
gebze::beytepe_konaklari,2,68333.33499999999,44320.8850302885,-24012.4499697115
basiskele::orka_life,1,63636.36,41708.002087331646,-21928.357912668354
izmit::yahya_kaptan,1,56842.11,35212.99099771055,-21629.11900228945
korfez::turkoz_ata,1,65677.97,44585.80368660951,-21092.166313390488
darica::yelkenkaya_deniz_evler,1,64615.38,43673.0751517766,-20942.3048482234
derince::gada_panorama_park,1,73093.2,52316.94579121101,-20776.25420878899
izmit::sunrise_yesilova,1,60000.0,39269.419292495186,-20730.580707504814
darica::g_marin_managed_by_divan,1,70000.0,51513.53477657266,-18486.465223427338
korfez::yalikent_sahil,1,46060.61,27902.257887682565,-18158.352112317436
darica::yelken_kaya_korfez,2,65083.335,47119.49026050707,-17963.844739492928
gebze::emlak,1,67857.14,50087.28417826468,-17769.85582173532
kartepe::gate_41,1,64634.15,46949.35242342531,-17684.79757657469
izmit::semt,1,58116.88,40910.86402197059,-17206.015978029405
gebze::gavize_park,1,71038.25,54426.78700821984,-16611.462991780158
izmit::hanzade,1,50588.24,34170.475112920314,-16417.764887079684
kartepe::ertugrul_gazi_de,1,57727.27,41351.51864904679,-16375.751350953207
darica::cami_mah_manolya,1,80434.78,64227.464910790804,-16207.315089209194
cayirova::mopas_bahce_evler,5,65291.793999999994,49120.03984409131,-16171.754155908688
derince::yelkent_korupark,4,66988.235,51050.88699240126,-15937.348007598737
gebze::yenikent_bogazici,1,54800.0,39325.68568623685,-15474.314313763149
gebze::ruzgar,1,55357.14,39901.44184404001,-15455.698155959988
izmit::terrace_yahyakaptan,3,65474.079999999994,50118.2785888545,-15355.801411145505
golcuk::golcuk_kavanium_2,1,60833.33,45556.495918500914,-15276.834081499088
gebze::imza_residence_2,1,71428.57,56283.469934581095,-15145.100065418912
golcuk::dan,1,64375.0,49238.717636894595,-15136.282363105405
izmit::saray_evleri_anemon,1,61250.0,46133.46102899096,-15116.538971009039
izmit::kavanium_833_ada,1,54471.54,39875.75869116033,-14595.781308839672
cayirova::butik,1,63636.36,49368.95063834617,-14267.40936165383
korfez::tugra_konaklari,1,44642.86,30377.04552050792,-14265.81447949208
izmit::tuana_evleri_2,1,57547.17,43303.12793196433,-14244.04206803567
korfez::ata,1,56800.0,42890.13905837032,-13909.860941629682
cayirova::arpalist,1,62500.0,48634.85737808996,-13865.14262191004
darica::rams_denizkent_bayramoglu,1,69444.44,56146.98168041822,-13297.458319581783
kartepe::my_life_kartepe,1,51058.2,37858.817089975266,-13199.382910024731
cayirova::pasific_aura,1,65853.66,52672.26194221634,-13181.398057783663
kartepe::carpediem_kartepe,1,55000.0,41894.83348332689,-13105.16651667311
cayirova::gok_deniz,1,62941.18,50231.01323197971,-12710.166768020288
kartepe::1_69_kredi_icon,1,57600.0,45043.88657407302,-12556.113425926982
cayirova::palmiye,1,48571.43,36505.39524942136,-12066.034750578641
kartepe::ekomax_dan_e_gazi_asansrlu_havzlu,1,46333.33,34322.686059074775,-12010.643940925227
izmit::dora_hill,1,67934.78,56011.982268931475,-11922.797731068524
izmit::armonia,1,76785.71,65028.337847889125,-11757.372152110882
darica::manolya,1,67142.86,55395.56240507337,-11747.297594926633
derince::emay_dan_derince_60_evler_sahilde,1,44285.71,32856.59049780991,-11429.119502190086
cayirova::damla_su,1,40833.33,29559.040296558553,-11274.28970344145
izmit::tadu_concept,1,60000.0,48833.753312319444,-11166.246687680556
kartepe::atakent_evleri_152_ada,1,45652.17,34513.34115077323,-11138.828849226767
izmit::turkuaz_park,1,67647.06,56955.41765725214,-10691.642342747858
korfez::duru,1,44723.62,34090.97602735157,-10632.643972648431
basiskele::yagmurkent,1,57692.31,47213.59500909465,-10478.714990905348
izmit::umutkent,1,54285.71,43878.07880359452,-10407.631196405477
kartepe::vefakent_saklibahce,1,41333.33,31072.06496620001,-10261.265033799991
kartepe::sarimese_konaklari,2,47865.725000000006,37913.19170683964,-9952.533293160359
darica::bayramoglu_havuzlu,1,73684.21,63741.05229148394,-9943.157708516068
izmit::sehrin_yildizi,1,44545.45,34652.45804100516,-9892.99195899484
izmit::bagcesme_modern,1,50000.0,40134.07927752282,-9865.920722477182
cayirova::akse_life,2,66618.75,56828.698061003306,-9790.05193899669
basiskele::kolayli_kullar,1,48333.33,38824.15951966635,-9509.170480333654
gebze::safirpark,1,64000.0,54526.034811474485,-9473.965188525515
basiskele::villa_liva,1,55769.23,46334.80575267299,-9434.424247327013
golcuk::orcun_manzara,1,39666.67,30364.35596254713,-9302.314037452867
izmit::erenler_cedit,2,45868.965,36589.30849781227,-9279.656502187729
basiskele::zeray_kent,1,47368.42,38142.26285711223,-9226.157142887765
izmit::asrin_saraylari_2,1,42222.22,33082.32188676022,-9139.898113239782
darica::obitas_sahil,1,76666.67,67579.14865997386,-9087.521340026142
gebze::aden_park,1,40566.04,31668.43930855192,-8897.600691448082
golcuk::baris_vizyon_deluxe,1,45454.55,36584.21413821665,-8870.335861783351
cayirova::cayirova_kent,1,57058.82,48206.46879279605,-8852.351207203952
golcuk::vadi_degirmendere,2,42644.520000000004,33885.9687108727,-8758.5512891273
izmit::tuana_evleri_3,3,59819.486666666664,51088.216789677426,-8731.269876989236
gebze::gebze_toki,1,60555.56,51967.243735874355,-8588.316264125642
derince::olgun_kent,1,40000.0,31454.57219981263,-8545.427800187372
basiskele::secret_garden,1,43000.0,34531.0051651997,-8468.994834800302
cayirova::toki_bloklari,2,53849.899999999994,45397.57050029691,-8452.329499703086
golcuk::tasdan_premium_city,1,51666.67,43463.41010545645,-8203.259894543546
basiskele::pasadag_mah_full_deniz_manzarali,1,46470.59,38343.824974140254,-8126.765025859742
izmit::bagtepe,1,55625.0,47963.27128121842,-7661.728718781582
derince::emniyetciler,1,33478.26,25817.378890457872,-7660.88110954213
korfez::sumerbanklar,1,35217.39,27795.440580408045,-7421.949419591954
izmit::turkoz,1,56818.18,49579.3435197704,-7238.836480229598
derince::begonvil_konaklari,1,37631.58,30411.11031831018,-7220.469681689821
