district,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
Bademlidere Mah.,1,23.0,23.0,0,0,0.6067471520493425,35000.0
Fakülteler Mh.,2,14.0,14.0,0,0,0.747579603975908,45833.33
Korkutreis Mah.,2,14.0,14.0,0,0,0.8268359150771767,46310.74
Umut Mah.,3,13.666666666666666,18.0,0,0,0.5867127194814387,50200.16333333333
Kamil Ocak Mah.,2,13.0,13.0,0,0,1.7098456134983024,68583.33499999999
Yeni Mah.,4,12.75,14.0,0,0,0.6712402115461888,12595.185
Karaköy Mh.,1,12.0,12.0,0,0,1.2844822042099195,68750.0
Söğütözü Mh.,1,12.0,12.0,0,0,0.7508882854684931,76595.74
Kızılay Mh.,3,11.666666666666666,10.0,0,0,0.7768752962989179,53598.71666666667
Sancak Mah.,2,11.0,11.0,0,0,0.9656273646188065,70579.45
Şehit Cevdet Özdemir Mh.,5,10.8,18.0,0,0,0.5853406829769495,44540.42
Timurhan Mah.,5,10.0,10.0,0,0,0.7560727407532846,21750.998
Üreğil Mh.,2,10.0,10.0,0,0,1.4013466698356236,46981.29
Fidanlık Mh.,1,10.0,10.0,0,0,0.7561907678873534,41818.18
Çoğlu Mh.,1,10.0,10.0,0,0,1.053455156035983,38965.52
Yeşilevler Mh.,9,9.333333333333334,7.0,0,0,0.9299600115728924,40944.316666666666
Kültür Mh.,3,9.333333333333334,10.0,0,0,0.9336441059192954,55513.75
Kurtuluş Mh.,27,9.222222222222221,5.0,0,0,1.001641002495587,16852.165185185182
Aşağıyurtçu Mh.,4,9.0,6.5,0,0,0.7368478420732019,41030.5775
Fatih Sultan Mah.,4,9.0,6.5,0,0,1.6137140655609883,105920.3025
Akdere Mah.,3,9.0,10.0,0,0,0.8626576550985802,24899.36
Altınova Mh.,5,8.8,8.0,0,0,0.7031720486478737,29985.102000000003
Tulumtaş Mh.,3,8.666666666666666,8.0,0,0,0.6190971683286223,47670.94
Basrı Mh.,6,8.5,2.5,0,0,1.2037081211223333,25324.301666666666
Metin Oktay Mah.,4,8.5,8.0,0,0,0.6565372749191005,41271.38
Hürriyet Mh.,1,8.0,8.0,0,0,0.6016894010246756,18518.52
Keklik Pınarı Mh.,11,7.818181818181818,0.0,2,0,0.788663871173641,56950.46000000001
Yücetepe Mh.,4,7.75,6.5,0,0,1.14280659181847,92555.3625
Cebeci Mah.,3,7.666666666666667,5.0,0,0,1.122660128263443,63035.71333333334
Kayalar Mah.,5,7.6,5.0,0,0,0.7534343947145646,41591.428
Aşık Veysel Mh.,2,7.5,7.5,0,0,0.9425616805233022,28202.175
Etiler Mah.,2,7.5,7.5,0,0,0.9245492970362712,37634.72
Gökçek Mh.,7,7.428571428571429,8.0,0,0,1.6463536818519064,64750.94285714285
Maltepe Mah.,5,7.2,0.0,1,0,0.7742998285790628,68444.802
Kafkas Mah.,7,7.0,5.0,0,0,0.8784947085500667,29721.04857142857
Doğuş Mh.,4,7.0,5.0,0,0,0.8764420565480848,53354.835
Güzelyaka Mh.,4,7.0,6.5,0,0,0.7113088620863133,35003.4775
Şafak Mh.,19,6.894736842105263,5.0,0,0,0.9679806725047789,43299.3747368421
Özevler Mh.,6,6.833333333333333,0.0,0,0,0.8579097312583297,33526.895
Yapracık Mh.,9,6.555555555555555,0.0,0,0,0.8453811754771279,46579.39
Büyükesat Mh.,10,6.5,5.0,0,0,0.92987413738485,65032.6
Ahi Evran Mah.,6,6.5,4.0,0,0,0.7526616193678022,25587.766666666666
Üniversiteler Mh.,2,6.5,6.5,0,0,1.3015762993993656,85195.855
Demetlale Mah.,9,6.333333333333333,5.0,0,0,0.7995249216336001,31642.91777777778
Dumlupınar Mh.,31,6.161290322580645,5.0,0,0,0.9989339527425918,42477.77612903226
Kazım Özalp Mh.,5,6.0,0.0,1,0,1.1172930700679964,75413.602
Çamlıtepe Mh.,3,6.0,0.0,0,0,0.8526962911496624,52263.15
Sokullu Mehmet Paşa Mh.,7,5.857142857142857,0.0,0,0,0.9766630765455557,53243.531428571434
Güvenevler Mh.,6,5.833333333333333,5.0,0,0,0.9070753101271333,61027.041666666664
Saimekadın Mh.,4,5.75,2.5,0,0,0.9725260710669762,30268.72
Hacettepe Mah.,8,5.625,4.0,0,0,1.086340891124205,38061.8125
Mürsel Uluç Mh.,8,5.5,7.5,0,0,0.7103317187766979,46289.80875
Hürel Mh.,4,5.5,2.5,0,0,1.043215054050267,31520.3825
Ümit Mh.,5,5.4,7.0,0,0,1.2770187685403516,102786.21599999999
Adnan Menderes Mah.,9,5.333333333333333,7.0,0,0,0.8831622506922401,29793.36
Örnek Mh.,10,5.3,5.0,0,0,1.0527971928917754,36603.718
İstiklal Mh.,37,5.297297297297297,5.0,1,0,0.9917627437929383,25338.499459459457
Naci Çakır Mh.,7,5.285714285714286,8.0,0,0,0.6954367727398882,46603.29142857143
Emniyet Mah.,14,5.142857142857143,2.5,0,0,0.9742599441063357,90175.86
Zirvekent Mh.,8,5.125,0.0,0,0,0.8613405552908042,25147.6475
Kazım Karabekir Mh.,17,5.0,5.0,0,0,0.9719498292584221,30526.209411764707
Yaşamkent Mh.,12,5.0,5.0,0,0,0.9901418620081894,81846.99
Basınevleri Mh.,4,5.0,2.5,0,0,1.219543147748755,43515.935
Karapınar Mh.,4,5.0,5.0,0,0,0.8639037466843269,54598.1475
Bağcılar Mh.,2,5.0,5.0,0,0,0.7824524919691263,42948.72
Dilekler Mah.,1,5.0,5.0,0,0,1.4890682680722678,85714.29
Esentepe Mah.,1,5.0,5.0,0,0,1.5420186695123075,31538.46
Kızılırmak Mh.,1,5.0,5.0,0,0,1.1304223504654307,82258.06
Yukarı Öveçler Mh.,1,5.0,5.0,0,0,1.4985260870521082,152142.86
Üçpınar Mh.,1,5.0,5.0,0,0,1.0101420157569676,29495.0
Cumhuriyet Mah.,131,4.908396946564886,5.0,0,0,1.0307025452836052,23236.530992366414
Çiçekli Mh.,7,4.857142857142857,5.0,0,0,0.8853997797712637,34481.270000000004
Köşk Mh.,10,4.8,2.5,0,0,0.9530742508422202,29404.788
Çukurambar Mh.,5,4.8,0.0,0,0,1.1944992821488363,94052.348
Yeşilova Mh.,18,4.777777777777778,0.0,0,0,0.9895111972306423,64998.79111111111
Tevfik İleri Mh.,23,4.6521739130434785,5.0,0,0,0.9925787374806102,58242.41521739131
Şenyuva Mh.,5,4.6,0.0,0,0,0.8784737641308341,29547.102000000003
Bahçelievler Mh.,46,4.543478260869565,2.5,0,0,0.9649198386962768,65090.699347826085
Serhat,13,4.538461538461538,0.0,0,0,0.9742526724325674,56934.444615384615
Çaldıran Mh.,4,4.5,0.0,0,0,0.940203753372991,29081.18
Çiğdem Mh.,4,4.5,5.0,0,0,1.173563553902845,77967.995
İşçi Blokları Mh.,4,4.5,2.5,0,0,1.1696345430125499,99355.9125
Şafaktepe Mh.,6,4.333333333333333,4.0,0,0,1.2428281908473329,44078.91333333333
Güzelyurt Mh.,3,4.333333333333333,5.0,0,0,1.0489286584773472,35927.386666666665
Tuzluçayır Mh.,14,4.142857142857143,0.0,0,0,0.9963874268126488,27211.590714285714
Şehitlik Mh.,116,4.094827586206897,0.0,0,0,1.0217300250058503,28726.362844827585
Gaziosmanpaşa Mh.,15,4.066666666666666,0.0,0,0,0.8501915518954394,52220.996
Zafer Mah.,49,4.0,0.0,0,0,1.0066576978231452,17651.246530612243
İnönü Mh.,23,4.0,0.0,0,0,1.1142054769135747,63984.80565217391
Gülveren Mh.,9,4.0,0.0,0,0,1.003827930900168,29533.104444444445
Boğaziçi Mh.,3,4.0,0.0,0,0,1.2838288814434666,36774.723333333335
Hilal Mah.,2,4.0,4.0,0,0,0.79397307662416,58731.435
Cengizhan Mah.,19,3.9473684210526314,0.0,0,0,1.008466476148296,40309.525789473686
Balıkhisar Mh.,46,3.9347826086956523,0.0,0,0,0.9839623788028035,60285.458260869564
Yıldırım Beyazıt Mh.,143,3.895104895104895,0.0,0,0,1.0074685883002594,31374.99034965035
Çağlayan Mh.,6,3.8333333333333335,0.0,0,0,0.9655065493040467,30287.98833333333
Şentepe Mh.,78,3.8205128205128207,5.0,1,0,0.9935323277069285,26153.926794871797
Barbaros Mah.,11,3.727272727272727,5.0,0,0,0.9262574909134123,36361.43636363636
Alsancak Mah.,28,3.642857142857143,0.0,0,0,1.0273588242382177,39689.38428571429
Gazi Mah.,27,3.5555555555555554,0.0,0,0,1.0281368351293765,27502.83777777778
Yavuzselim Mh.,57,3.543859649122807,0.0,0,0,1.019188281405091,27396.421228070176
Uyanış Mh.,12,3.5,5.0,0,0,1.0311283269310885,39374.04
Koru Mah.,2,3.5,3.5,0,0,1.1315603709288564,81250.0
Prof. Dr. Ahmet Taner Kışlalı Mh.,2,3.5,3.5,0,0,1.0872184507928875,77732.92
Şehit Cengiz Topel Mh.,2,3.5,3.5,0,0,1.187547372930763,40625.0
Pınarbaşı Mh.,29,3.4827586206896552,0.0,0,0,0.9510532551895944,32217.71793103448
Karşıyaka Mh.,41,3.3902439024390243,0.0,0,0,0.9641759395525816,51858.558048780484
Atatürk Mh.,59,3.389830508474576,0.0,0,0,0.965991427227754,27475.156440677965
Emek Mah.,18,3.388888888888889,0.0,0,0,0.9802641187339096,82439.395
Bademlik Mah.,12,3.3333333333333335,5.0,0,0,1.0008264723666007,31787.489166666666
Demirlibahçe Mh.,9,3.3333333333333335,0.0,0,0,1.0244922872453157,33597.433333333334
Yavuz Selim Mah.,3,3.3333333333333335,0.0,0,0,1.027996546315149,51058.64333333333
Güventepe Mh.,16,3.3125,0.0,0,0,1.004981990649164,45390.14625
Kaletepe Mah.,7,3.2857142857142856,0.0,0,0,0.9245443060665893,41781.77714285714
Aziziye Mah.,4,3.25,2.5,0,0,1.4208927020449256,104967.3725
Huzur Mah.,4,3.25,0.0,0,0,0.7666038609928749,44622.755000000005
Şehit Cengiz Karaca Mh.,4,3.25,2.5,0,0,1.2721004522906298,72051.33499999999
Yenice Mah.,13,3.230769230769231,0.0,0,0,0.9827780690177084,43233.57307692307
Osman Temiz Mah.,9,3.2222222222222223,0.0,0,0,1.0486706581907181,55666.705555555556
Türközü Mh.,5,3.2,0.0,0,0,1.1863251899845308,44031.047999999995
Alacaatlı Mh.,31,3.193548387096774,0.0,0,0,1.0087987916341228,96859.27322580646
Akpınar Mh.,13,3.1538461538461537,0.0,0,0,0.9905416314331262,53265.11538461538
Seğmenler Mh.,33,3.0606060606060606,0.0,0,0,1.013500027956054,53712.56181818182
Çakırlar Mh.,18,3.0555555555555554,0.0,0,0,0.9990751143823123,61782.293333333335
Bahçelerüstü Mh.,8,3.0,2.5,0,0,0.8595887774138244,27451.61
Karacaören Mh.,6,3.0,0.0,0,0,0.9355807557902067,32214.516666666666
Yıldızevler Mh.,4,3.0,2.5,0,0,0.9768602197017631,93315.8575
Beytepe Mah.,17,2.9411764705882355,0.0,0,0,0.9991762361431036,112246.4088235294
Topçu Mh.,26,2.923076923076923,0.0,0,0,0.9440216616432947,35957.14615384616
Barıştepe Mh.,13,2.923076923076923,0.0,0,0,1.0226441409740206,42093.268461538464
Mehmet Akif Mah.,27,2.888888888888889,5.0,0,0,1.0258566594415899,26659.226666666666
Çiğdemtepe Mh.,9,2.888888888888889,0.0,0,0,0.7405556468419384,41470.11777777778
Cevizlidere Mah.,8,2.875,0.0,0,0,0.9436162041530793,63924.380000000005
Ekin Mah.,8,2.875,0.0,0,0,0.7961220997050844,24788.4825
Karapürçek Mh.,101,2.871287128712871,0.0,0,0,0.965861740039432,27702.644554455448
Baraj Mah.,23,2.869565217391304,0.0,0,0,0.9672359012570733,37756.306521739134
Osmangazi Mah.,21,2.857142857142857,0.0,0,0,1.0090800073678465,31694.949523809526
Tandoğan Mh.,21,2.857142857142857,0.0,0,0,0.9866377978562877,29761.110000000004
Kırkkonaklar Mh.,14,2.857142857142857,0.0,0,0,0.9874124525824634,53661.15642857143
Burç Mh.,6,2.8333333333333335,0.0,0,0,0.9325692432578967,42847.42
Saray Osmangazi Mah.,16,2.8125,2.5,0,0,1.0062173931224927,58782.3175
Kuşcağız Mh.,22,2.772727272727273,0.0,0,0,0.9546994846366403,38505.80454545454
Yayla Mah.,22,2.772727272727273,0.0,0,0,0.9705779674454091,35400.91545454546
Eymir Mah.,21,2.761904761904762,0.0,0,0,0.9964795778273098,56376.22619047619
Yeşiltepe Mh.,99,2.707070707070707,0.0,0,0,0.9850341181702239,26904.447575757575
30 Ağustos Mh.,19,2.6842105263157894,0.0,0,0,1.0088906660035992,32296.171578947367
Ayyıldız Mh.,19,2.6842105263157894,0.0,0,0,0.9934681667693834,52369.74894736842
Saray Fatih Mah.,66,2.6818181818181817,0.0,0,0,1.0124821311371464,41747.32272727272
Atakent Mah.,9,2.6666666666666665,0.0,0,0,0.7707683455237776,37599.17333333333
Beyazıt Mh.,31,2.6129032258064515,0.0,0,0,0.9769979751821215,28169.917741935482
23 Nisan Mah.,5,2.6,0.0,0,0,0.8356890525931115,27061.318
Kavaklıdere Mh.,5,2.6,0.0,0,0,0.9833570475663211,74929.826
Oğuzlar Mh.,5,2.6,0.0,0,0,0.8247006754470688,56550.364
Şirintepe Mh.,7,2.5714285714285716,0.0,0,0,0.8874198892772279,28236.06
Mehmet Akif Ersoy Mah.,16,2.5625,0.0,0,0,1.0277648761889608,83042.11625
