county,district,rows,matched_demo_rows,matched_county_demo_rows,avg_demo_coverage_score,match_rate,county_match_rate
Akyurt,Atatürk Mh.,18,18,18,0.875,1.0,1.0
Akyurt,Balıkhisar Mh.,47,47,47,0.875,1.0,1.0
Akyurt,Beyazıt Mh.,31,31,31,0.875,1.0,1.0
Akyurt,Saracalar Mah.,13,13,13,0.875,1.0,1.0
Akyurt,Timurhan Mah.,6,6,6,0.875,1.0,1.0
Akyurt,Yeşiltepe Mh.,98,98,98,0.875,1.0,1.0
Akyurt,Yıldırım Mh.,266,266,266,0.875,1.0,1.0
Altındağ,Aydınlıkevler Mh.,17,17,17,0.875,1.0,1.0
Altındağ,Baraj Mah.,23,23,23,0.875,1.0,1.0
Altındağ,Battalgazi Mh.,40,40,40,0.875,1.0,1.0
Altındağ,Başpınar Mh.,50,50,50,0.875,1.0,1.0
Altındağ,Beşikkaya Mh.,66,66,66,0.875,1.0,1.0
Altındağ,Doğantepe Mh.,12,12,12,0.875,1.0,1.0
Altındağ,Feridun Çelik Mh.,49,49,49,0.875,1.0,1.0
Altındağ,Gültepe Mh.,19,19,19,0.875,1.0,1.0
Altındağ,Güneşevler Mh.,43,43,43,0.875,1.0,1.0
Altındağ,Hacettepe Mah.,8,8,8,0.875,1.0,1.0
Altındağ,Kale Mah.,1,1,1,0.875,1.0,1.0
Altındağ,Karacaören Mh.,6,6,6,0.875,1.0,1.0
Altındağ,Karapürçek Mh.,101,101,101,0.875,1.0,1.0
Altındağ,Ulubey Mah.,5,5,5,0.875,1.0,1.0
Altındağ,Yıldıztepe Mh.,22,22,22,0.875,1.0,1.0
Altındağ,Zübeyde Hanım Mh.,6,6,6,0.875,1.0,1.0
Altındağ,Önder Mh.,4,4,4,0.875,1.0,1.0
Altındağ,Örnek Mh.,10,10,10,0.875,1.0,1.0
Etimesgut,30 Ağustos Mh.,19,19,19,0.875,1.0,1.0
Etimesgut,Ahi Mesut Mah.,18,18,18,0.875,1.0,1.0
Etimesgut,Alsancak Mah.,30,30,30,0.875,1.0,1.0
Etimesgut,Altay Mah.,7,7,7,0.875,1.0,1.0
Etimesgut,Atakent Mah.,10,10,10,0.875,1.0,1.0
Etimesgut,Atayurt Mh.,31,31,31,0.875,1.0,1.0
Etimesgut,Ayyıldız Mh.,17,17,17,0.875,1.0,1.0
Etimesgut,Aşağıyurtçu Mh.,4,4,4,0.875,1.0,1.0
