detail_konut_tipi_raw,title_raw,duplex_type,is_duplex,is_roof_duplex,is_garden_duplex,is_middle_floor_duplex,is_standard_duplex,duplex_match_source,duplex_source_conflict,extraction_notes,classified_id
Ara Kat,ÜMİTKÖY'DE ENDER SATILIK PANAROMİK MANZARALI PRESTİJLİ 4+1,none,0,0,0,0,0,none,0,,1320682529
,ÜMITKÖY MERKEZDE DORUKENT SITESINDE 3 + 1 SATILIK DAIRE,none,0,0,0,0,0,none,0,,1329517547
Ara Kat Dubleks,TURYAP'tan AKYILDIZ PRESTİJ de 1+1 GENİŞ BALKON K.GARAJ GÜVENLİK,middle_floor,1,0,0,1,0,detail,0,,1332697069
,ALACAATLI PRİMERA SATILIK 5+1 LÜKS DAİRE,none,0,0,0,0,0,none,0,,1304762757
Dubleks|En Üst Kat|Çatı Dubleksi,DİKMEN MÜRSEL ULUÇTA KOMPLE YAPILI DUBLEKS 3+1 MASRAFSIZ YAPILI,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1332709174
Ara Kat,TURYAP 'TAN VİOLE DE PEYZAJ MANZARALI OTURUMA HAZIR SIFIR 1+1,none,0,0,0,0,0,none,0,,1330032105
Ara Kat,SİNPAŞ EGE VADİSİ KULE BLOKTA SATILIK SIFIR 2+1 REZIDANS,none,0,0,0,0,0,none,0,,1318190440
,ATA EVİM|SİNAN CD VE VADİ YAKINI DÜZ GİRİŞ LÜX YAPILI 3+1SATILIK,none,0,0,0,0,0,none,0,,1315165130
En Üst Kat,HAZAR'DAN PANORAMİK VADİ MANZARALI ULTRA LÜKS YAPILI 2+1+2 BANYO,none,0,0,0,0,0,none,0,,1332745611
Ara Kat,"KORU MAHALLESİ BUTİK SİTEDE FERAH,HUZURLU YENİ YAPILI 3+1 ARAKAT",none,0,0,0,0,0,none,0,,1315736413
Ara Kat,ÇAYYOLU'NUN KALBİNDE YAPILI 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1332734139
Ara Kat,Çayyolu Konutkent 1 Sitesi'nde Taşınmaya Hazır 3+1 Boş Daire,none,0,0,0,0,0,none,0,,1329887457
Ara Kat,MEGAPOL'DEN 3+1 ASANSÖRLÜ LÜKS YAPILI KABİL CADDE YANI GENÇ BİNA,none,0,0,0,0,0,none,0,,1331422214
En Üst Kat,"ÇAMLI'DAN SATILIK 4+1,KAPALI DUBLEKS GÜNEY BATI CEPHE",standard,1,0,0,0,1,title,0,,1332797838
,GOP 'da Mahatma Gandhi 2+1 Fırsat Daire,none,0,0,0,0,0,none,0,,1329904584
Ara Kat,ANKARA'NIN EN GÖZDE PROJELERİNDEN NATURA VADİ'DE SÜPER LÜKS 4+1,none,0,0,0,0,0,none,0,,1320201258
Ara Kat,MENEKŞE SİTESİ ANKARA MANZARALI BÜYÜK TİP 3+1 FIRSAT DAİRE,none,0,0,0,0,0,none,0,,1327075611
Ara Kat,YAŞAMKENT DORLİN RESIDENCE 3.KATTA MANZARALI KÖŞE 2+1 LÜKS DAİRE,none,0,0,0,0,0,none,0,,1294994358
Ara Kat,"TURYAP 'TAN K.OTOPARKLI,CAM BALKONLU, SIFIR, 1+1, KÖŞE DAİRE",none,0,0,0,0,0,none,0,,1330036885
Ara Kat,CAFER'DEN FULL YAPILI ARA KATTA PARK MANZARALI G.BATI CEPHE 3+1,none,0,0,0,0,0,none,0,,1325713871
,İlker Cad. Yakını Tüm Bölümlerin Önü Açık Geniş Lüks Köşebaşı 3+,none,0,0,0,0,0,none,0,,1328721470
,Polat Emlak- 29 Mayıs Hastanesi Yakını Katta Full Yapılı 3+1,none,0,0,0,0,0,none,0,,1320791671
Dubleks|Çatı Dubleksi,NATURA VADİ YAKINI 5+1 SATILIK TERASLI DUBLEKS DAİRE - YENİ ORAN,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1302769538
,BEYTEPE İNCEK ALACATLI AKSINDA OTURUMA HAZIR 5+1 YÜKSEK KAT LÜKS,none,0,0,0,0,0,none,0,,1326295112
Ara Kat,Çankaya Gayrimenkul'den Yeni Binada Manzaralı 3+1 Boş Daire,none,0,0,0,0,0,none,0,,1309795676
,GÖRAL EMLAK TAN 2+1 BAĞIMSIZ SALON GENİŞ 1.KOT BAHÇE CIKIŞLI BOŞ,none,0,0,0,0,0,none,0,,1330221222
En Üst Kat,John F. Kennedy'de Gözde Lokasyonda Mantolamalı ve Asansörlü,none,0,0,0,0,0,none,0,,1318817928
Ara Kat,"İncek Icon A-Blok Tapulu ve Boş, Sahibinden",none,0,0,0,0,0,none,0,,918525291
Ara Kat,sahibinden satılık 4+1 daire,none,0,0,0,0,0,none,0,,1315887409
Ara Kat,ＥＶＡＬＯＦＴ⫸ARAKATTA DİKMEN VADİ MANZARALI 3+1 AÇIK CEPHELİ ISI YLTM,none,0,0,0,0,0,none,0,,1332502664
,ÇAĞLAYAN'DAN BOŞ SOKULLU CADDE YAKINI KATTA FULL YAPILI GENİŞ,none,0,0,0,0,0,none,0,,1332166929
Ara Kat,DİKMEN SOKULLUDA SATILIK DAİRE 3+1 ORTA KATTA PARK MANZARALI,none,0,0,0,0,0,none,0,,1329606605
Ara Kat|Ara Kat Dubleks|Dubleks,ÇUKURAMBAR GÖKTEŞEHİR EVLERİ SATILIK 5+1 DAİRE,middle_floor,1,0,0,1,0,detail,0,,1332935567
Ara Kat,"İŞÇİ BLOKLARI'NDA FERAH, KULLANIŞLI VE MANZARALI DAİRE",none,0,0,0,0,0,none,0,,1333099191
,"CADDE ÜZERİNDE SATILIK ARA KAT, ÖN CEPHE, GENİŞ VE FERAH DAİRE",none,0,0,0,0,0,none,0,,1275743104
Ara Kat,CUBES ANKARA PANORAMİK MANZARALI SIFIR BOŞ ŞEREFİYELİ 3+1,none,0,0,0,0,0,none,0,,1268940737
Ara Kat,EMEK 25. CADDEDE 2+1 | 75 M² NET | 1. KAT | SATILIK DAİRE,none,0,0,0,0,0,none,0,,1333133338
,SİNPAŞ EGE VADİSİ SATILIK 1+1 DAİRE YAŞARKENT'TEN,none,0,0,0,0,0,none,0,,1318328691
,HİÇ MASRAF ETMEDEN HEMEN TAŞININ! NACİ ÇAKIR'DA ÖZEL TASARIM 2+1,none,0,0,0,0,0,none,0,,1330806626
Dubleks|En Üst Kat,"Ankara Manzaralı, 5+1 Satılık Anahtar Teslim Dubleks Daire",standard,1,0,0,0,1,detail_and_title,0,,1319574841
,BİLKENT 1 ÇAMLIK SİTESİ D BLOKTA 3+1 ÇİFT BANYOLU TEMİZ,none,0,0,0,0,0,none,0,,1238458337
,Fakültelere hastanelere ulaşıma yakın satılık 2 + 1 daire,none,0,0,0,0,0,none,0,,1327497324
,"BALGAT EHLİBEYT'TE LOKASYON FIRSATI! İÇİ YENİLENMİŞ, 3+1 GİRİŞ",none,0,0,0,0,0,none,0,,1321444755
,ARAKAT ÖN CEPHE FULL YAPILI OTO PARKLI,none,0,0,0,0,0,none,0,,1321408771
Ara Kat,Çukurambar'da harika lokasyonda 4+1 Satılık Daire,none,0,0,0,0,0,none,0,,1314037807
Ara Kat,Hilal Şahin'den (Fırsat Fiyat) Koordinat Çayyolu Satılık 4+1,none,0,0,0,0,0,none,0,,1328314940
