duplex_type,is_large_home,n,median,mean,p10,p90
garden,0,11,31090.91,47267.28727272727,23285.71,97232.0
garden,1,4,57106.36,68509.2,30273.538,115867.13400000002
middle_floor,0,15,45562.5,49174.812000000005,25880.0,75690.844
middle_floor,1,18,34357.145000000004,57651.362222222226,25075.0,135079.255
none,0,4685,36095.24,42374.5946872999,22723.629999999997,72749.76800000004
none,1,574,47083.33,52249.825209059236,26384.998,83677.52000000003
roof,0,125,38750.0,43642.31015999999,28130.158,66745.456
roof,1,80,31741.4,36499.948875,21840.968,57203.57000000001
standard,0,126,57083.335,56022.12849206349,23949.05,85441.175
standard,1,148,27433.93,33130.50608108108,18237.722,56198.811
