county,group,feature,non_null_count,positive_count,positive_rate,missing_rate,reliability_status
Başiskele,front,front_east,944,425,0.4502118644067797,0.0,ok
Başiskele,front,front_north,944,293,0.3103813559322034,0.0,ok
Başiskele,front,front_south,944,449,0.475635593220339,0.0,ok
Başiskele,front,front_west,944,422,0.4470338983050847,0.0,ok
Başiskele,inside,in_air_conditioner,944,35,0.037076271186440676,0.0,ok
Başiskele,inside,in_builtin_kitchen,944,183,0.19385593220338984,0.0,ok
Başiskele,inside,in_dressing_room,944,49,0.05190677966101695,0.0,ok
Başiskele,inside,in_fiber,944,296,0.3135593220338983,0.0,ok
Başiskele,inside,in_glass_balcony,944,57,0.06038135593220339,0.0,ok
Başiskele,inside,in_heat_glass,944,416,0.4406779661016949,0.0,ok
Başiskele,inside,in_intercom,944,317,0.3358050847457627,0.0,ok
Başiskele,inside,in_laminate_floor,944,441,0.4671610169491525,0.0,ok
Başiskele,inside,in_pantry,944,58,0.0614406779661017,0.0,ok
Başiskele,inside,in_parent_bathroom,944,190,0.20127118644067796,0.0,ok
Başiskele,inside,in_pvc,944,321,0.3400423728813559,0.0,ok
Başiskele,inside,in_smart_home,944,27,0.028601694915254237,0.0,ok
Başiskele,inside,in_steel_door,944,534,0.565677966101695,0.0,ok
Başiskele,inside,in_terrace,944,123,0.13029661016949154,0.0,ok
Başiskele,nearby,near_city_center,944,402,0.4258474576271186,0.0,ok
Başiskele,nearby,near_hospital,944,556,0.5889830508474576,0.0,ok
Başiskele,nearby,near_lake_zero,944,6,0.006355932203389831,0.0,unreliable
Başiskele,nearby,near_mall,944,391,0.4141949152542373,0.0,ok
Başiskele,nearby,near_market,944,616,0.652542372881356,0.0,ok
Başiskele,nearby,near_mosque,944,575,0.6091101694915254,0.0,ok
Başiskele,nearby,near_park,944,522,0.5529661016949152,0.0,ok
Başiskele,nearby,near_pharmacy,944,528,0.559322033898305,0.0,ok
Başiskele,nearby,near_school,944,595,0.6302966101694916,0.0,ok
Başiskele,nearby,near_sea_zero,944,20,0.0211864406779661,0.0,ok
Başiskele,nearby,near_university,944,289,0.3061440677966102,0.0,ok
Başiskele,outside,out_camera,944,269,0.2849576271186441,0.0,ok
Başiskele,outside,out_children_playground,944,242,0.2563559322033898,0.0,ok
Başiskele,outside,out_closed_pool,944,40,0.0423728813559322,0.0,ok
Başiskele,outside,out_generator,944,22,0.023305084745762712,0.0,ok
Başiskele,outside,out_heat_insulation,944,484,0.5127118644067796,0.0,ok
Başiskele,outside,out_hydrofor,944,32,0.03389830508474576,0.0,ok
Başiskele,outside,out_open_pool,944,176,0.1864406779661017,0.0,ok
Başiskele,outside,out_pool,944,184,0.19491525423728814,0.0,ok
Başiskele,outside,out_sauna_hamam,944,67,0.07097457627118645,0.0,ok
Başiskele,outside,out_security,944,204,0.21610169491525424,0.0,ok
Başiskele,outside,out_sound_insulation,944,380,0.4025423728813559,0.0,ok
Başiskele,outside,out_sports_area,944,152,0.16101694915254236,0.0,ok
Başiskele,subtype,subtype_duplex,944,187,0.19809322033898305,0.0,unmapped_extra
Başiskele,subtype,subtype_garden_duplex,944,53,0.05614406779661017,0.0,unmapped_extra
Başiskele,subtype,subtype_middle_floor,944,377,0.399364406779661,0.0,unmapped_extra
Başiskele,subtype,subtype_reverse_duplex,944,9,0.009533898305084746,0.0,unmapped_extra+unreliable
Başiskele,subtype,subtype_roof_duplex,944,102,0.10805084745762712,0.0,unmapped_extra
Başiskele,subtype,subtype_top_floor,944,62,0.06567796610169492,0.0,unmapped_extra
Başiskele,subtype,subtype_triplex,944,0,0.0,0.0,unmapped_extra+unreliable
Başiskele,transport,transport_airport,944,18,0.019067796610169493,0.0,ok
Başiskele,transport,transport_bus_stop,944,544,0.576271186440678,0.0,ok
Başiskele,transport,transport_e5,944,227,0.24046610169491525,0.0,ok
Başiskele,transport,transport_main_road,944,490,0.5190677966101694,0.0,ok
Başiskele,transport,transport_metro,944,23,0.024364406779661018,0.0,ok
Başiskele,transport,transport_minibus,944,472,0.5,0.0,ok
Başiskele,transport,transport_tem,944,53,0.05614406779661017,0.0,ok
Başiskele,transport,transport_train,944,19,0.020127118644067795,0.0,ok
Başiskele,transport,transport_tram,944,17,0.018008474576271187,0.0,ok
Başiskele,view,view_bosphorus,944,6,0.006355932203389831,0.0,unreliable
Başiskele,view,view_city,944,374,0.3961864406779661,0.0,ok
Başiskele,view,view_lake,944,2,0.00211864406779661,0.0,unreliable
Başiskele,view,view_nature,944,406,0.4300847457627119,0.0,ok
Başiskele,view,view_park_green,944,447,0.4735169491525424,0.0,ok
Başiskele,view,view_pool,944,51,0.05402542372881356,0.0,ok
Başiskele,view,view_river,944,3,0.0031779661016949155,0.0,unreliable
Başiskele,view,view_sea,944,184,0.19491525423728814,0.0,ok
