feature,importance
num__basiskele_detail_group_bucket_median,0.1376275710072474
num__district_m2_group_target_median,0.0699801297787672
num__attr_total_quality_score,0.060936773885078524
num__attr_quality_x_county_income,0.03525574412602167
num__attr_m2_per_room,0.020173035247874782
num__site_project_oof_price_level,0.01704537842603429
num__detail_effect_inside_mean,0.014475780829318845
num__site_project_oof_residual_mean,0.01436759256477278
cat__elevator_Yok,0.011506769143690454
num__detail_effect_subtype_sum,0.011218498229482864
num__attr_has_elevator,0.009570940882964084
num__attr_quality_x_location_baseline,0.009214249983262663
num__detail_effect_total_mean,0.009120621207078976
num__basiskele_district_premium_bucket_mean,0.009010436677485236
num__attr_effect_elevator,0.00880582436376798
num__estimated_monthly_rent_gross,0.008731772861172236
num__basiskele_premium_x_location_baseline,0.008186092332083105
num__total_floors,0.007668632228552094
num__detail_effect_front_sum,0.007565329283485954
num__known_premium_x_district_code,0.00744481084686089
num__attr_effect_total_quality_bucket,0.007308494567546869
num__district_room_count_target_median,0.0071736858996542295
num__bearing_from_district_centroid_sin,0.006984839222508735
cat__elevator_Var,0.006639163094476241
num__basiskele_detail_subtype_premium_signal,0.0065241303769881815
num__attr_net_gross_ratio,0.006387721309923194
num__detail_effect_outside_sum,0.006178304579757533
num__location_baseline_log,0.006130225931990766
cat__site_id_bucket_x_district_b1__yesilyurt mh.,0.006029402134014102
num__detail_effect_front_mean,0.005958311887953609
num__basiskele_lat_lon_interaction,0.00587716507348311
num__location_baseline_m2,0.005804964487927363
num__detail_effect_total_x_attr_quality,0.005179244045473005
num__basiskele_premium_x_detail_view,0.004784347719189149
num__distance_to_district_centroid_m,0.004627686294086018
num__lat_centered_city,0.004458641689611339
num__gross_m2,0.004443428085486822
cat__floor_segment_Zemin/Giriş,0.004439286198670011
num__detail_effect_inside_x_attr_quality,0.004420245016740424
num__detail_effect_county_total_sum,0.00438541483931189
num__net_m2,0.004362743888030184
num__dues,0.004103899108670965
num__bearing_from_district_centroid_cos,0.004035619091203955
num__distance_to_geo_cluster_center_m,0.003987949374000567
num__detail_effect_subtype_mean,0.003984746004664948
num__basiskele_premium_x_detail_outside,0.00370435090093323
num__basiskele_premium_x_new_building,0.003695843588042708
num__detail_effect_outside_mean,0.0036884412926894592
num__basiskele_district_premium_bucket_median,0.0036467262879972297
num__attr_quality_x_district_median,0.0036175013497068437
