county,district,test_name,base_prediction_tl_m2,variant_prediction_tl_m2,difference_tl_m2,difference_pct,expected_direction,passed_direction_check
İzmit,missing,new_vs_old,641586.8300186194,439573.93883648305,-202012.89118213637,-0.31486446063157775,a > b,False
İzmit,missing,elevator,399422.328106189,408441.0707124105,9018.742606221524,0.022579465321788002,a > b,True
İzmit,missing,site_inside,399422.328106189,404135.10409656743,4712.775990378461,0.011798979823495344,a >= b,True
İzmit,missing,parking,399422.328106189,400809.73745087016,1387.4093446811894,0.003473539777456652,a > b,True
İzmit,missing,heating,477430.7290718914,400979.79353584826,-76450.93553604314,-0.16012990132549926,a > b,False
İzmit,missing,floor,380897.94659827073,399422.328106189,18524.38150791824,0.04863345070078763,a > b,True
İzmit,missing,net_gross,385659.7170810322,398945.9868249137,13286.26974388148,0.03445075841584424,a > b,True
İzmit,missing,total_quality,719828.6483401427,463510.3972832394,-256318.25105690327,-0.356082314378497,a > b,False
Başiskele,Yeşilyurt Mh.,new_vs_old,29860.446134100108,37957.76551411794,8097.319380017834,0.271172083084547,a > b,True
Başiskele,Yeşilyurt Mh.,elevator,35573.95807278187,36838.13675115006,1264.1786783681891,0.03553663260584517,a > b,True
Başiskele,Yeşilyurt Mh.,site_inside,35573.95807278187,37146.777046724776,1572.8189739429072,0.044212650465405845,a >= b,True
Başiskele,Yeşilyurt Mh.,parking,35573.958072781854,36158.54020138124,584.5821285993879,0.016432867194687006,a > b,True
Başiskele,Yeşilyurt Mh.,heating,34017.74375245926,35746.16337250949,1728.4196200502265,0.050809355042110135,a > b,True
Başiskele,Yeşilyurt Mh.,floor,33269.39790919592,35573.95807278187,2304.5601635859493,0.06926966847659576,a > b,True
Başiskele,Yeşilyurt Mh.,net_gross,34428.31622220317,35523.45387387665,1095.1376516734817,0.0318092132245264,a > b,True
Başiskele,Yeşilyurt Mh.,total_quality,32288.50408579762,41547.308293196955,9258.804207399335,0.2867523432735275,a > b,True
Gölcük,missing,new_vs_old,641586.8300186194,439573.93883648305,-202012.89118213637,-0.31486446063157775,a > b,False
Gölcük,missing,elevator,399422.328106189,408441.0707124105,9018.742606221524,0.022579465321788002,a > b,True
Gölcük,missing,site_inside,399422.328106189,404135.10409656743,4712.775990378461,0.011798979823495344,a >= b,True
Gölcük,missing,parking,399422.328106189,400809.73745087016,1387.4093446811894,0.003473539777456652,a > b,True
Gölcük,missing,heating,477430.7290718914,400979.79353584826,-76450.93553604314,-0.16012990132549926,a > b,False
Gölcük,missing,floor,380897.94659827073,399422.328106189,18524.38150791824,0.04863345070078763,a > b,True
Gölcük,missing,net_gross,385659.7170810322,398945.9868249137,13286.26974388148,0.03445075841584424,a > b,True
Gölcük,missing,total_quality,719828.6483401427,463510.3972832394,-256318.25105690327,-0.356082314378497,a > b,False
Karamürsel,missing,new_vs_old,641586.8300186194,439573.93883648305,-202012.89118213637,-0.31486446063157775,a > b,False
Karamürsel,missing,elevator,399422.328106189,408441.0707124105,9018.742606221524,0.022579465321788002,a > b,True
Karamürsel,missing,site_inside,399422.328106189,404135.10409656743,4712.775990378461,0.011798979823495344,a >= b,True
Karamürsel,missing,parking,399422.328106189,400809.73745087016,1387.4093446811894,0.003473539777456652,a > b,True
Karamürsel,missing,heating,477430.7290718914,400979.79353584826,-76450.93553604314,-0.16012990132549926,a > b,False
Karamürsel,missing,floor,380897.94659827073,399422.328106189,18524.38150791824,0.04863345070078763,a > b,True
Karamürsel,missing,net_gross,385659.7170810322,398945.9868249137,13286.26974388148,0.03445075841584424,a > b,True
Karamürsel,missing,total_quality,719828.6483401427,463510.3972832394,-256318.25105690327,-0.356082314378497,a > b,False
