feature,importance,rank
num__attr_quality_x_location_baseline,0.009214249983262663,1
num__basiskele_premium_x_location_baseline,0.008186092332083105,2
num__bearing_from_district_centroid_sin,0.006984839222508735,3
num__location_baseline_log,0.006130225931990766,4
num__basiskele_lat_lon_interaction,0.00587716507348311,5
num__location_baseline_m2,0.005804964487927363,6
num__distance_to_district_centroid_m,0.004627686294086018,7
num__lat_centered_city,0.004458641689611339,8
num__bearing_from_district_centroid_cos,0.004035619091203955,9
num__distance_to_geo_cluster_center_m,0.003987949374000567,10
num__lat,0.0035615487384705715,11
num__bearing_from_county_centroid_cos,0.0034174096326120723,12
num__location_baseline_vs_trend,0.0034096303812223266,13
num__distance_to_izmit_center_m,0.0030077600689489923,14
num__distance_to_sahil_m,0.0029954523289505786,15
num__distance_to_coast_x_site_inside,0.002972488920204501,16
num__distance_to_bahcecik_m,0.0029606688962483937,17
num__distance_to_kullar_m,0.0028300846935629927,18
num__distance_to_basiskele_coast_m,0.002730153580250424,19
num__location_baseline_level_code,0.0026323570707882074,20
num__lat_centered_county,0.002460675386058919,21
num__location_baseline_count,0.0023128035762090904,22
num__bearing_from_county_centroid_sin,0.002307621907202057,23
num__distance_to_yuvacik_m,0.0022804690670340543,24
cat__geo_cluster_x_room_count_city_0||3+1,0.002107251525480178,25
num__distance_to_golcuk_center_m,0.002074176295818598,26
num__basiskele_distance_to_coast_x_large_home,0.0020356398347725355,27
num__distance_to_coast_x_large_home,0.00203391374505025,28
num__distance_to_coast_x_view_sea,0.002023965823637447,29
num__distance_to_county_centroid_m,0.0019082795546378267,30
num__site_tier_x_coast_inv,0.0018965778901591883,31
num__distance_to_karamursel_center_m,0.0018264048623465286,32
num__distance_to_coastline_inv,0.001797041648121188,33
num__detail_effect_view_x_location_baseline,0.0017771477836488864,34
cat__geo_cluster_city_city_0,0.0017237971411195809,35
num__is_small_flat,0.0014493875287185899,36
cat__geo_cluster_city_city_1,0.0013517663874593822,37
num__distance_to_coastline_m,0.0012972517926421044,38
num__distance_to_coast_x_near_sea_zero,0.0011082521221949728,39
num__location_quality_x_detail_effect_total,0.0010279129759912763,40
num__transport_score,0.0010083020540631795,41
cat__coast_distance_bucket_1000_3000,0.0009635651945686769,42
cat__geo_cluster_city_city_9,0.0009463280733235546,43
num__is_large_flat,0.0009233406451436075,44
cat__coast_distance_bucket_0_500,0.0009098031317160911,45
num__lon,0.0008969081561678508,46
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||126-150,0.0008585379625180911,47
num__basiskele_distance_to_coast_x_quality,0.0008242065322260441,48
num__lon_centered_county,0.0008034122775867139,49
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||126-150,0.0007799332191034882,50
cat__basiskele_geo_cluster_x_m2_group_other||101-125,0.0007669297010765327,51
num__lon_centered_city,0.0007374757386944641,52
cat__geo_cluster_x_room_count_city_10||3+1,0.0006306275439822572,53
cat__geo_cluster_county_Başiskele_2,0.0006146237879444658,54
cat__geo_cluster_x_room_count_missing||3+1,0.0005957876341868993,55
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||101-125,0.0005952749920128828,56
cat__coast_distance_bucket_500_1000,0.000593285915287534,57
cat__geo_cluster_county_Başiskele_0,0.0005919435371992769,58
num__demo_population_density,0.000578131232175377,59
cat__geo_cluster_x_room_count_city_9||2+1,0.0005750249408042775,60
cat__geo_cluster_x_room_count_city_1||3+1,0.0005280581836869064,61
cat__geo_cluster_city_city_3,0.0005001496300836336,62
cat__basiskele_geo_cluster_Başiskele_2,0.0004990652182968097,63
num__demo_education_high_school_ratio,0.0004683892651501673,64
cat__geo_cluster_x_room_count_city_0||4+1,0.0004288527553308531,65
num__demo_high_school_diff_county,0.0004207146465215867,66
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||76-100,0.0004081593118576944,67
cat__geo_cluster_x_room_count_city_6||2+1,0.0003881267373946821,68
cat__basiskele_geo_cluster_x_m2_group_other||76-100,0.0003680918938044633,69
cat__geo_cluster_x_room_count_city_9||3+1,0.00035920706516642624,70
