model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.08700891848890793,1
gradient_boosting,num__attr_quality_x_county_income,0.04338973509571888,2
extra_trees,num__attr_total_quality_score,0.03203771390443724,3
gradient_boosting,num__attr_m2_per_room,0.029536762241150497,4
extra_trees,num__attr_quality_x_county_income,0.026336479203286772,5
extra_trees,num__attr_effect_elevator,0.017384774239219428,6
extra_trees,num__attr_has_elevator,0.01598817465386902,7
extra_trees,num__attr_effect_total_quality_bucket,0.014513131792790582,8
extra_trees,num__attr_m2_per_room,0.012763377593505968,9
gradient_boosting,num__attr_quality_x_location_baseline,0.009665490943959501,10
extra_trees,num__attr_compactness_score,0.0069938101098824465,11
gradient_boosting,num__attr_quality_x_district_median,0.00671728228644876,12
gradient_boosting,num__attr_net_gross_ratio,0.006614833549190235,13
extra_trees,num__attr_quality_x_location_baseline,0.00540271950582176,14
gradient_boosting,num__detail_effect_total_x_attr_quality,0.005206671730693263,15
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.004801684682661649,16
gradient_boosting,num__attr_quality_x_demo_income,0.0041901193693448194,17
extra_trees,num__attr_quality_x_demo_income,0.0039024880901403565,18
extra_trees,num__attr_net_gross_good,0.00385848954806009,19
extra_trees,num__detail_effect_total_x_attr_quality,0.003763293639609679,20
extra_trees,num__attr_net_gross_ratio,0.0037010496917856666,21
extra_trees,num__attr_compact_home_x_quality,0.0032933351366089543,22
extra_trees,num__detail_effect_outside_x_attr_quality,0.0032373454385524235,23
extra_trees,num__detail_effect_inside_x_attr_quality,0.0031650727663098217,24
extra_trees,num__attr_new_building_x_site_inside,0.002418313510830369,25
extra_trees,num__attr_floor_ratio,0.002202945854926845,26
extra_trees,num__attr_net_gross_bad,0.002090598536542425,27
extra_trees,num__attr_building_age_inverse,0.0020020032741635252,28
extra_trees,num__attr_large_home_x_quality,0.0019873142742207863,29
gradient_boosting,num__attr_building_age_inverse,0.0019650315075005567,30
extra_trees,num__attr_is_middle_floor,0.0019522917704589472,31
gradient_boosting,num__attr_old_building_x_no_elevator,0.0018166034789348152,32
extra_trees,num__attr_floor_quality_score,0.0017672573851399448,33
gradient_boosting,num__attr_compact_home_x_quality,0.0017124044879797036,34
gradient_boosting,num__attr_has_natural_gas_heating,0.0016826202663945361,35
gradient_boosting,num__detail_effect_outside_x_attr_quality,0.0015961178751539814,36
gradient_boosting,num__attr_new_building_x_site_inside,0.0015652849445826527,37
extra_trees,num__attr_amenity_score,0.0014132355523531611,38
extra_trees,num__attr_is_ground_or_below,0.001397430425860249,39
extra_trees,num__attr_heating_quality_score,0.00127160086787438,40
extra_trees,num__attr_is_young_building,0.0010370809438326482,41
extra_trees,num__attr_old_building_x_no_elevator,0.001004567885505136,42
extra_trees,num__attr_has_natural_gas_heating,0.000941152771957463,43
gradient_boosting,num__attr_large_home_x_quality,0.0009087373609356429,44
extra_trees,num__attr_building_age_score,0.0009051613363361028,45
extra_trees,num__attr_quality_x_district_median,0.0008771798962847085,46
gradient_boosting,num__attr_floor_ratio,0.0007478178184445279,47
extra_trees,num__attr_effect_site_inside,0.0007150886861764263,48
extra_trees,num__attr_is_old_building,0.0006846440494564848,49
extra_trees,num__attr_is_top_floor,0.0006835981791339136,50
gradient_boosting,num__attr_heating_quality_score,0.0006740473323421107,51
extra_trees,num__attr_effect_building_age_bucket,0.0006309616409765217,52
gradient_boosting,num__attr_effect_elevator,0.0006129636334404882,53
extra_trees,num__attr_is_new_building,0.0005967914206678235,54
extra_trees,num__attr_is_site_inside,0.0005779500408238589,55
extra_trees,num__attr_is_furnished,0.0005655987328433887,56
extra_trees,num__attr_has_parking,0.0005570972214685101,57
gradient_boosting,num__attr_floor_quality_score,0.0005417601294518531,58
extra_trees,num__attr_is_mid_age_building,0.0004980824822616078,59
extra_trees,num__attr_has_balcony,0.00046594222470769495,60
extra_trees,num__attr_effect_parking,0.0003939998735222729,61
gradient_boosting,num__attr_is_young_building,0.00025857458767824235,62
gradient_boosting,num__attr_net_gross_bad,0.00023393374856872773,63
extra_trees,num__attr_has_premium_heating,0.000182696425691755,64
extra_trees,cat__location_source_data_attr_map,0.0001743548319953134,65
gradient_boosting,num__attr_is_old_building,0.00014318719939982147,66
extra_trees,num__location_source_data_attr_map,0.00010718553767571756,67
extra_trees,num__attr_effect_heating_quality_bucket,0.00010384681514871755,68
extra_trees,num__attr_has_poor_heating,9.70830962048895e-05,69
extra_trees,num__attr_county_old_building_discount,0.0,70
extra_trees,num__attr_credit_eligible,0.0,71
extra_trees,num__attr_county_new_building_premium,0.0,72
gradient_boosting,num__attr_building_age_score,0.0,73
extra_trees,num__attr_county_high_quality_premium,0.0,74
extra_trees,num__attr_county_parking_premium,0.0,75
extra_trees,num__attr_county_site_inside_premium,0.0,76
gradient_boosting,num__attr_credit_eligible,0.0,77
gradient_boosting,num__attr_is_site_inside,0.0,78
gradient_boosting,num__attr_is_furnished,0.0,79
gradient_boosting,num__attr_has_balcony,0.0,80
gradient_boosting,num__attr_has_parking,0.0,81
gradient_boosting,num__attr_has_elevator,0.0,82
gradient_boosting,num__attr_compactness_score,0.0,83
gradient_boosting,num__attr_net_gross_good,0.0,84
gradient_boosting,num__attr_is_top_floor,0.0,85
gradient_boosting,num__attr_is_ground_or_below,0.0,86
gradient_boosting,num__attr_is_middle_floor,0.0,87
extra_trees,num__attr_county_good_heating_premium,0.0,88
extra_trees,num__attr_county_elevator_premium,0.0,89
gradient_boosting,num__attr_is_new_building,0.0,90
gradient_boosting,num__attr_is_mid_age_building,0.0,91
gradient_boosting,num__attr_has_poor_heating,0.0,92
gradient_boosting,num__attr_effect_building_age_bucket,0.0,93
gradient_boosting,num__attr_amenity_score,0.0,94
gradient_boosting,num__attr_has_premium_heating,0.0,95
gradient_boosting,num__attr_effect_site_inside,0.0,96
gradient_boosting,num__attr_county_new_building_premium,0.0,97
gradient_boosting,num__attr_effect_parking,0.0,98
gradient_boosting,num__attr_effect_heating_quality_bucket,0.0,99
gradient_boosting,num__attr_effect_total_quality_bucket,0.0,100
gradient_boosting,num__attr_county_site_inside_premium,0.0,101
gradient_boosting,num__attr_county_elevator_premium,0.0,102
gradient_boosting,num__attr_county_old_building_discount,0.0,103
gradient_boosting,num__attr_county_parking_premium,0.0,104
gradient_boosting,num__attr_county_high_quality_premium,0.0,105
gradient_boosting,num__attr_county_good_heating_premium,0.0,106
gradient_boosting,num__location_source_data_attr_map,0.0,107
gradient_boosting,cat__location_source_data_attr_map,0.0,108
