decile,n,mean_actual,mean_pred,mean_bias
0,96,28835.90302083333,33910.3800267698,5074.477005936471
1,93,32529.09139784946,36349.599605788295,3820.508207938837
2,95,34792.97578947368,36904.86351017829,2111.887720704607
3,94,36624.17212765957,38991.232370147736,2367.060242488165
4,95,38451.393052631574,39302.42173158504,851.0286789534656
5,93,40679.691720430106,40454.38986056089,-225.30185986921904
6,95,42821.69,41451.75541603463,-1369.9345839653677
7,94,45472.750744680845,42968.89404296492,-2503.8567017159244
8,94,49160.314680851065,44731.58992694841,-4428.7247539026575
9,95,57330.64536842106,46940.89560018815,-10389.749768232903
