model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.08431280715745622,1
gradient_boosting,num__attr_quality_x_county_income,0.04496226843275133,2
extra_trees,num__attr_total_quality_score,0.031008939327420947,3
extra_trees,num__attr_quality_x_county_income,0.03040968067804303,4
gradient_boosting,num__attr_m2_per_room,0.02995882357407533,5
extra_trees,num__attr_has_elevator,0.015429063627803037,6
extra_trees,num__attr_effect_elevator,0.014126576702201804,7
extra_trees,num__attr_effect_total_quality_bucket,0.013524433449653856,8
extra_trees,num__attr_m2_per_room,0.011485094983339692,9
gradient_boosting,num__attr_quality_x_location_baseline,0.009955667017199583,10
gradient_boosting,num__detail_effect_total_x_attr_quality,0.007543193972899438,11
extra_trees,num__attr_compactness_score,0.006346426663100199,12
gradient_boosting,num__attr_quality_x_district_median,0.006336707597198075,13
extra_trees,num__attr_quality_x_location_baseline,0.005395347993968109,14
extra_trees,num__detail_effect_total_x_attr_quality,0.004453607426527993,15
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.00393923915073816,16
gradient_boosting,num__attr_net_gross_ratio,0.003884351209469664,17
extra_trees,num__attr_compact_home_x_quality,0.003735201760252615,18
extra_trees,num__attr_net_gross_ratio,0.003614767995473352,19
extra_trees,num__attr_net_gross_good,0.0035829021054095333,20
extra_trees,num__detail_effect_inside_x_attr_quality,0.003520222407084037,21
gradient_boosting,num__attr_effect_elevator,0.003381607576797023,22
gradient_boosting,num__attr_quality_x_demo_income,0.0032779669848629783,23
extra_trees,num__detail_effect_outside_x_attr_quality,0.0029410979874840456,24
gradient_boosting,num__attr_old_building_x_no_elevator,0.002722147107657922,25
extra_trees,num__attr_quality_x_demo_income,0.0023359491993327924,26
extra_trees,num__attr_floor_ratio,0.0021975749852867644,27
gradient_boosting,num__attr_heating_quality_score,0.0020586222962940787,28
extra_trees,num__attr_net_gross_bad,0.002029192824863558,29
extra_trees,num__attr_is_middle_floor,0.002026895554239827,30
extra_trees,num__attr_new_building_x_site_inside,0.0018843590805466901,31
extra_trees,num__attr_large_home_x_quality,0.0018766821767200383,32
extra_trees,num__attr_building_age_inverse,0.001565035331472739,33
extra_trees,num__attr_amenity_score,0.0014660513949492386,34
extra_trees,num__attr_floor_quality_score,0.0014436048946945745,35
gradient_boosting,num__attr_has_natural_gas_heating,0.0013956353581839366,36
extra_trees,num__attr_heating_quality_score,0.0013113993808060928,37
gradient_boosting,num__attr_compact_home_x_quality,0.001181499836058649,38
gradient_boosting,num__attr_new_building_x_site_inside,0.0010940668574507169,39
extra_trees,num__attr_is_young_building,0.001082616261933639,40
extra_trees,num__attr_has_natural_gas_heating,0.0010171682823042268,41
extra_trees,num__attr_quality_x_district_median,0.0010163957258258682,42
extra_trees,num__attr_is_ground_or_below,0.001003618358306442,43
gradient_boosting,num__attr_floor_ratio,0.000969908820596714,44
gradient_boosting,num__attr_effect_total_quality_bucket,0.0009550948193808221,45
extra_trees,num__attr_old_building_x_no_elevator,0.0009231257275905715,46
extra_trees,num__attr_building_age_score,0.000901128639577768,47
