building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,8,0.1778097249950959,0.09327361488364719,4452.406671235927,2944.251025272333,28095.89875,31555.43572439369
26-30 arası,17,0.1416503056860759,0.11858857544041444,4234.901549543643,3402.976254836729,31985.22,33164.784498989764
16-20 arası,11,0.13584985641092634,0.0869552102783682,5579.807827976396,2540.899069397936,36433.91818181818,34703.72511972314
2,32,0.12562897492743716,0.08630550280194078,5327.326924860376,3547.997524702794,40643.1028125,39858.553080787395
4,17,0.12517853825530068,0.07295931461534287,5381.162150801644,3322.0455954605422,40888.98941176471,40276.66009487723
6-10 arası,162,0.12312208399910617,0.10917864017828205,4871.237383107558,4442.492817012717,39996.49635802469,39896.39073272172
5,44,0.11716099516006998,0.08976160545179512,5127.614742944268,3753.896104840689,43515.34159090909,42345.54337631729
3,28,0.11234578827747548,0.10801392420520538,4768.183070056997,4305.573808651632,43420.55678571429,42044.74419164392
0 (Yapım Aşamasında),77,0.1111681383751438,0.08413974866011653,4536.626314435425,3309.9980997959974,40720.08974025974,40522.340298937524
11-15 arası,79,0.10553666743955399,0.08390145436146593,3925.4617323980106,3526.5121907688517,37421.28367088608,37373.76050019045
0 (Oturuma Hazır),402,0.09999502151307693,0.08228138091850291,4266.196304101627,3385.1808066314916,41899.01303482587,41174.00876749892
1,48,0.09653558592715017,0.07903030446722958,4050.7206526318055,3056.1748919705133,42562.75770833334,41807.99423027652
21-25 arası,16,0.058729179760266634,0.03323767387034875,1839.433419273481,1047.9329230225667,31237.335625,31880.674027569134
missing,3,0.0374781277646523,0.04104114777824754,1614.2026597814645,2052.057388912377,44908.426666666666,43443.603583212614
