feature,importance,rank
num__attr_quality_x_location_baseline,0.007675507505583846,1
num__location_baseline_m2,0.007209734284674896,2
num__basiskele_premium_x_location_baseline,0.00701623697024863,3
num__bearing_from_district_centroid_sin,0.006492765658344939,4
num__location_baseline_log,0.004870384279899928,5
num__distance_to_district_centroid_m,0.004645746777150986,6
num__location_baseline_vs_trend,0.004542508332080034,7
num__location_baseline_level_code,0.004136009198306594,8
num__basiskele_lat_lon_interaction,0.004084850630355524,9
num__lat_centered_county,0.0035876180919680724,10
num__distance_to_coast_x_site_inside,0.003395472456164672,11
num__distance_to_geo_cluster_center_m,0.0031091021268779364,12
num__distance_to_yuvacik_m,0.003061604103049583,13
num__bearing_from_county_centroid_cos,0.0029500850288112874,14
num__bearing_from_district_centroid_cos,0.0025911507589974226,15
num__distance_to_sahil_m,0.00236023541184841,16
num__detail_effect_view_x_location_baseline,0.0023336402412304507,17
num__basiskele_distance_to_coast_x_large_home,0.002282466605330752,18
num__lat_centered_city,0.0022729529121961736,19
num__location_baseline_count,0.0022447717430763544,20
cat__geo_cluster_x_room_count_city_0||3+1,0.002056772698739012,21
num__distance_to_coast_x_view_sea,0.002047775040473917,22
num__distance_to_bahcecik_m,0.002018099568991254,23
num__bearing_from_county_centroid_sin,0.0019988377309204585,24
num__distance_to_kullar_m,0.0018874922501637965,25
num__lat,0.0017432323550637691,26
num__distance_to_izmit_center_m,0.0017124946160172916,27
num__distance_to_coast_x_large_home,0.0016911302229228504,28
cat__geo_cluster_city_city_0,0.0016442179389472102,29
num__distance_to_golcuk_center_m,0.001494703645818213,30
num__site_tier_x_coast_inv,0.001480311442318249,31
cat__geo_cluster_city_city_1,0.0014778925290779034,32
num__is_small_flat,0.001205001698087575,33
num__transport_score,0.001075000035020786,34
num__distance_to_karamursel_center_m,0.0010477674306937387,35
num__distance_to_county_centroid_m,0.0010278328903918035,36
num__distance_to_basiskele_coast_m,0.0010002736745247465,37
num__lon_centered_city,0.0009926468811997072,38
num__distance_to_coastline_inv,0.0009868771851968355,39
num__location_quality_x_detail_effect_total,0.0009510221406074753,40
num__lon_centered_county,0.0009293619676047178,41
num__is_large_flat,0.0009097476547093651,42
num__distance_to_coastline_m,0.0008789367342214131,43
cat__geo_cluster_city_city_9,0.0008350340795330982,44
cat__coast_distance_bucket_1000_3000,0.0008222241255671801,45
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||126-150,0.0007528777643930454,46
cat__basiskele_geo_cluster_x_m2_group_other||101-125,0.0007513922708488982,47
cat__coast_distance_bucket_0_500,0.0006644164500841415,48
cat__coast_distance_bucket_500_1000,0.000663987189816014,49
num__distance_to_coast_x_near_sea_zero,0.0006343734724161568,50
num__demo_population_density,0.0006115559991832658,51
cat__geo_cluster_x_room_count_city_9||2+1,0.0005840432569479598,52
cat__geo_cluster_x_room_count_city_1||3+1,0.0005734441887173961,53
cat__geo_cluster_x_room_count_missing||3+1,0.0005262010992013403,54
num__basiskele_distance_to_coast_x_quality,0.00046286784992931405,55
cat__geo_cluster_county_Başiskele_2,0.00045646615087860853,56
num__lon,0.00044075765971622925,57
cat__geo_cluster_x_room_count_city_7||3+1,0.0004288496167887321,58
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||126-150,0.0004278966445920112,59
cat__basiskele_geo_cluster_Başiskele_2,0.00041871353141896794,60
cat__geo_cluster_x_room_count_city_10||3+1,0.000417512455528788,61
cat__geo_cluster_city_city_7,0.0004082418500938089,62
cat__geo_cluster_x_room_count_city_0||4+1,0.0004077482629029107,63
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||126-150,0.00039628338546772955,64
cat__geo_cluster_x_room_count_city_9||3+1,0.0003923227586777713,65
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||101-125,0.00038610672783861457,66
cat__geo_cluster_city_city_3,0.00038215049282763736,67
cat__geo_cluster_x_room_count_city_9||4+1,0.0003685369137086757,68
num__demo_high_school_diff_county,0.00035865042507141407,69
cat__coast_distance_bucket_3000_plus,0.00034955497116350966,70
num__demo_pharmacy_count,0.00032281776004357954,71
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||76-100,0.00032262041818385785,72
cat__geo_cluster_x_room_count_missing||2+1,0.0003203754045990872,73
cat__geo_cluster_x_room_count_city_6||2+1,0.000318224602248469,74
cat__geo_cluster_city_city_10,0.00031808146488855263,75
cat__basiskele_geo_cluster_Başiskele_5,0.00031323369750608875,76
cat__geo_cluster_x_room_count_city_11||4+1,0.00029144112734098767,77
cat__geo_cluster_county_Başiskele_5,0.0002850404802433247,78
cat__basiskele_geo_cluster_x_m2_group_other||76-100,0.0002731085403110096,79
num__demo_education_primary_school_ratio,0.000258873462468776,80
num__demo_education_high_school_ratio,0.00025775693563871824,81
cat__basiskele_geo_cluster_x_m2_group_other||151-200,0.0002573263202474581,82
cat__geo_cluster_county_Başiskele_4,0.00025597319923967234,83
cat__basiskele_geo_cluster_Başiskele_3,0.0002431509816708576,84
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||126-150,0.0002342073827566401,85
cat__geo_cluster_city_city_11,0.00022210158383279197,86
num__demo_education_middle_school_ratio,0.00021463120307338134,87
cat__geo_cluster_x_room_count_missing||4+1,0.00021365096062874253,88
cat__geo_cluster_county_Başiskele_0,0.00021087448166180387,89
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||101-125,0.0002106300907482872,90
cat__geo_cluster_county_Başiskele_1,0.00020091506136127036,91
cat__basiskele_geo_cluster_x_m2_group_other||126-150,0.00019843978315321983,92
cat__geo_cluster_x_room_count_city_0||2+1,0.00019650075916535336,93
cat__basiskele_geo_cluster_Başiskele_0,0.0001957648629019877,94
cat__geo_cluster_x_room_count_city_7||2+1,0.00018938576605766734,95
cat__geo_cluster_county_Başiskele_3,0.0001859980178780382,96
cat__geo_cluster_x_room_count_city_6||3+1,0.00018539147381195533,97
cat__geo_cluster_x_room_count_city_5||3+1,0.0001730159069625947,98
num__demo_education_middle_school_count,0.00017111599849788572,99
cat__geo_cluster_city_city_6,0.0001681987209732028,100
cat__basiskele_geo_cluster_Başiskele_1,0.00016454897463080283,101
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||200+,0.0001521986911630825,102
cat__geo_cluster_x_room_count_city_3||2+1,0.00014935961101578105,103
num__demo_education_high_school_count,0.00014883062145596646,104
num__demo_pharmacy_per_10k,0.00014861538170266402,105
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||76-100,0.00014162379735712657,106
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||200+,0.00013561282218528181,107
cat__geo_cluster_city_city_5,0.00013268610079829145,108
num__demo_education_primary_school_count,0.00013037226376552395,109
cat__geo_cluster_x_room_count_city_10||2+1,0.00012851478123673493,110
cat__geo_cluster_x_room_count_city_3||3+1,0.00012191795136001879,111
cat__basiskele_geo_cluster_Başiskele_4,0.00011987717647935454,112
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||76-100,0.00011028722022571106,113
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||101-125,0.00010553962164906882,114
cat__location_precision_missing,9.756593975402145e-05,115
num__demo_population_female,9.446361495454645e-05,116
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||151-200,9.268717680138629e-05,117
cat__geo_cluster_x_room_count_city_11||3+1,9.113526870337597e-05,118
num__demo_population_total,8.960732643026061e-05,119
num__location_precision_missing,8.684590987807002e-05,120
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||101-125,8.669408671036409e-05,121
num__demo_population_male,8.597920764751616e-05,122
num__geo_context_has_approx_location,7.832245250587336e-05,123
num__location_backfill_ok,7.756117383137587e-05,124
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||151-200,7.714333483973061e-05,125
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||101-125,7.596716182653786e-05,126
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||0-75,7.438147186213054e-05,127
num__location_backfill_listing_removed,7.35416919602999e-05,128
cat__location_source_missing,6.928580903995429e-05,129
cat__coast_distance_bucket_missing,6.902496544564194e-05,130
cat__geo_cluster_city_missing,6.79264731891642e-05,131
cat__geo_cluster_x_room_count_city_0||1+1,6.741467731940875e-05,132
cat__geo_cluster_x_room_count_city_4||2+1,6.687379621033399e-05,133
cat__geo_cluster_city_city_4,6.34085010117185e-05,134
num__coast_distance_bucket_code,6.234618803521753e-05,135
num__location_source_data_attr_map,6.170743505655e-05,136
cat__geo_cluster_x_room_count_city_5||2+1,5.991719980550198e-05,137
cat__geo_cluster_x_room_count_city_4||3+1,5.6741921220232114e-05,138
num__location_precision_exact,5.5760324888994744e-05,139
cat__geo_cluster_county_other,5.358226384376553e-05,140
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||200+,5.351842586088228e-05,141
cat__location_precision_exact_map,5.324768114836089e-05,142
cat__location_source_data_attr_map,5.062288288738087e-05,143
num__has_lat_lon,5.012516675183201e-05,144
num__geo_context_has_exact_location,4.992077799995142e-05,145
num__location_quality_score,4.446230828368618e-05,146
cat__geo_cluster_x_room_count_city_1||2+1,4.439707710360242e-05,147
cat__geo_cluster_x_room_count_city_2||3+1,4.214852542369382e-05,148
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||76-100,4.2029772913325424e-05,149
num__geo_context_missing,4.141468411869472e-05,150
cat__geo_cluster_x_room_count_city_8||3+1,4.0265917301243375e-05,151
cat__basiskele_geo_cluster_other,3.936468166159672e-05,152
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||76-100,3.8255816726633696e-05,153
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||151-200,3.716060543790945e-05,154
cat__geo_cluster_x_room_count_city_10||4+1,3.650212644610345e-05,155
cat__geo_cluster_city_city_2,3.109891856844185e-05,156
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||0-75,2.892522729779534e-05,157
cat__geo_cluster_x_room_count_missing||1+1,2.882154472875452e-05,158
cat__geo_cluster_city_city_8,2.7762419401293056e-05,159
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||151-200,2.671610376247639e-05,160
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||200+,1.9849026549535634e-05,161
cat__basiskele_geo_cluster_x_m2_group_Başiskele_2||101-125,1.9319700677868637e-05,162
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||0-75,1.912025315306089e-05,163
cat__basiskele_geo_cluster_x_m2_group_other||0-75,1.8174033175365215e-05,164
cat__geo_cluster_x_room_count_city_5||4+1,1.7651669008946976e-05,165
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||126-150,1.6221946214511044e-05,166
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||151-200,1.3645174265706455e-05,167
cat__basiskele_geo_cluster_x_m2_group_other||200+,1.3545889812190638e-05,168
cat__geo_cluster_x_room_count_city_1||4+1,1.2876091848872663e-05,169
cat__geo_cluster_x_room_count_city_7||4+1,1.2252598424692546e-05,170
cat__geo_cluster_x_room_count_city_6||1+1,1.1733274648455921e-05,171
cat__geo_cluster_x_room_count_city_11||2+1,1.1713656823508558e-05,172
cat__basiskele_geo_cluster_x_m2_group_Başiskele_2||76-100,5.717445155097324e-06,173
cat__geo_cluster_x_room_count_city_3||4+1,4.697084908101118e-06,174
cat__geo_cluster_x_room_count_city_2||2+1,4.5223248233154595e-06,175
cat__basiskele_geo_cluster_x_m2_group_Başiskele_2||126-150,4.347117212528038e-06,176
cat__site_project_id_ustpark_afraze,3.6232644772846267e-06,177
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||0-75,3.09738167391505e-06,178
cat__site_project_id_alizepark_city,1.397913386649897e-06,179
cat__basiskele_geo_cluster_x_m2_group_Başiskele_2||151-200,1.3825724266581806e-06,180
cat__geo_cluster_x_room_count_city_8||2+1,1.1659219185968207e-06,181
cat__basiskele_geo_cluster_x_m2_group_Başiskele_2||0-75,9.562429176309855e-07,182
cat__geo_cluster_x_room_count_city_6||4+1,5.4944429780417955e-08,183
cat__geo_cluster_x_room_count_city_8||1+1,2.7910843439665362e-08,184
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||200+,0.0,185
cat__basiskele_geo_cluster_x_m2_group_Başiskele_2||200+,0.0,186
cat__geo_cluster_x_room_count_city_4||4+1,0.0,187
cat__geo_cluster_x_room_count_city_4||1+1,0.0,188
cat__geo_cluster_x_room_count_city_3||3+2,0.0,189
cat__geo_cluster_x_room_count_city_3||5+1,0.0,190
cat__geo_cluster_x_room_count_city_2||4+1,0.0,191
cat__geo_cluster_x_room_count_city_2||5+1,0.0,192
cat__geo_cluster_x_room_count_city_10||3.5+1,0.0,193
cat__geo_cluster_x_room_count_city_1||1+1,0.0,194
cat__geo_cluster_x_room_count_city_10||1+1,0.0,195
cat__geo_cluster_x_room_count_city_0||6+1,0.0,196
cat__geo_cluster_x_room_count_city_0||5+1,0.0,197
cat__geo_cluster_x_room_count_city_0||4.5+1,0.0,198
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||0-75,0.0,199
cat__location_source_district_text,0.0,200
cat__geo_cluster_x_room_count_city_8||4+1,0.0,201
cat__geo_cluster_x_room_count_city_5||1+1,0.0,202
num__county_demo_population_density_median,0.0,203
num__county_demo_population_total_sum,0.0,204
num__county_demo_pharmacy_count_sum,0.0,205
num__county_demo_population_density_mean,0.0,206
num__county_demo_education_high_school_ratio_mean,0.0,207
num__coastal_access_score,0.0,208
num__bsk_distance_to_sea_x_site_inside,0.0,209
num__bsk_distance_to_sea_x_view_sea,0.0,210
num__bsk_coastal_x_room_4p1,0.0,211
num__bsk_distance_to_sea_x_large_home,0.0,212
num__bsk_distance_to_sea_x_quality,0.0,213
num__bsk_distance_to_sea_x_near_sea_zero,0.0,214
num__bsk_coastal_x_large_home,0.0,215
cat__site_project_id_ust_park_yuvacik,0.0,216
cat__site_project_id_ust_park_atakent,0.0,217
num__bsk_coastal_x_geo_cluster,0.0,218
cat__site_project_id_ustpark_yuvacik,0.0,219
cat__geo_cluster_x_room_count_city_5||4+2,0.0,220
cat__geo_cluster_x_room_count_city_9||1+1,0.0,221
cat__geo_cluster_x_room_count_city_9||2.5+1,0.0,222
cat__geo_cluster_x_room_count_missing||2+2,0.0,223
cat__geo_cluster_x_room_count_missing||5+1,0.0,224
cat__location_precision_district_only,0.0,225
num__demo_market_activity_available,0.0,226
num__distance_to_sea_m,0.0,227
num__is_coastal_2000m,0.0,228
num__is_coastal_250m,0.0,229
num__is_coastal_500m,0.0,230
num__is_coastal_1000m,0.0,231
