feature,importance_mean,n_models
sat_ndwi_mean_100m,0.007994706509714549,2
sat_brightness_mean_100m,0.0059893475406915,2
sat_ndvi_std_250m,0.00461685938090455,2
sat_texture_proxy_250m,0.0030278124926954,2
sat_ndvi_mean_100m,0.0029537690052778,2
sat_ndbi_mean_250m,0.00283254550223515,2
sat_ndwi_mean_250m,0.00273644808879245,2
sat_ndvi_mean_250m,0.0024626785278685,2
sat_ndbi_mean_100m,0.0022384173611773002,2
sat_ndwi_mean_500m,0.00203716704270805,2
sat_brightness_mean_250m,0.00200979807421665,2
sat_ndbi_mean_500m,0.00166802303432815,2
sat_ndvi_mean_500m,0.0015722126155374501,2
sat_brightness_mean_500m,0.0007012321085431,2
sat_green_share_250m,0.00065028674089115,2
sat_has_features,6.600443434675e-05,2
