raw_name,proposed_canonical_id,reason,frequency,mean_residual,needs_manual_review,mean_price,median_price
Pera Park Evleri,pera_park,low_freq_kept_separate_review,1,,True,38518.52,38518.52
basiskele yesilkent kalici konutlari,yesilkent_kalici,low_freq_kept_separate_review,2,,True,29979.165,29979.165
basiskele kullar tepecik de site,kullar_tepecik_de,low_freq_kept_separate_review,1,,True,38952.38,38952.38
basiskele barbaros mh site,barbaros_mh,low_freq_kept_separate_review,1,,True,42253.52,42253.52
basiskele barbaros site,barbaros,low_freq_kept_separate_review,1,,True,41588.79,41588.79
ceneviz adalari projesi,ceneviz_adalari,low_freq_kept_separate_review,2,,True,48076.925,48076.925
Kolaylı Kullar Sitesi,kolayli_kullar,low_freq_kept_separate_review,1,,True,48333.33,48333.33
basiskele'de site,basiskele_de,low_freq_kept_separate_review,1,,True,34682.08,34682.08
ceneviz adalari projesi,ceneviz_adalari,low_freq_kept_separate_review,2,,True,48076.925,48076.925
kocaeli basiskele seyri vadi sitesi,seyri_vadi,low_freq_kept_separate_review,1,,True,38148.15,38148.15
Rose Garden Evleri,rose_garden,low_freq_kept_separate_review,1,,True,36363.64,36363.64
basiskele kullar yaylacik mahallesi site,kullar_yaylacik_mahallesi,low_freq_kept_separate_review,1,,True,54780.82,54780.82
Kardelen Sitesi,kardelen,low_freq_kept_separate_review,1,,True,36896.55,36896.55
Bizim Evler Sitesi,bizim_evler,low_freq_kept_separate_review,1,,True,38750.0,38750.0
Elitium Park Evleri,elitium_park,low_freq_kept_separate_review,2,,True,43901.1,43901.1
bahama proje,bahama,low_freq_kept_separate_review,1,,True,38571.43,38571.43
basiskele kullar'da prestijli yasam projesi,kullar_da_prestijli_yasam,low_freq_kept_separate_review,1,,True,29629.63,29629.63
Yağmurkent Sitesi,yagmurkent,low_freq_kept_separate_review,1,,True,57692.31,57692.31
Altın Vadi Evleri Sitesi,altin_vadi,low_freq_kept_separate_review,2,,True,30801.08,30801.08
basiskele kullar tepecik mah. site,kullar_tepecik_mah,low_freq_kept_separate_review,1,,True,30937.5,30937.5
Altın Vadi Evleri Sitesi,altin_vadi,low_freq_kept_separate_review,2,,True,30801.08,30801.08
Altınkent Kalıcı Konutları 7 Ada,altinkent_kalici_konutlari_7_ada,low_freq_kept_separate_review,1,,True,34782.61,34782.61
Elitium Park Evleri,elitium_park,low_freq_kept_separate_review,2,,True,43901.1,43901.1
Altınkent Kalıcı Konutları 6 Ada Sitesi,altinkent_kalici_konutlari_6_ada,low_freq_kept_separate_review,1,,True,28695.65,28695.65
basiskele kullar'da ultra luks ebeveyn banyolu site,kullar_da_ultra_ebeveyn_banyolu,low_freq_kept_separate_review,1,,True,35555.56,35555.56
Mehmet Akif Ersoy Sitesi,mehmet_akif_ersoy,low_freq_kept_separate_review,1,,True,22500.0,22500.0
basiskele altinkent site,altinkent,low_freq_kept_separate_review,1,,True,36153.85,36153.85
Altınkent Kalıcı Konutları 5 Ada,altinkent_kalici_konutlari_5_ada,low_freq_kept_separate_review,1,,True,30833.33,30833.33
Ertürk Sitesi,erturk,low_freq_kept_separate_review,1,,True,42400.0,42400.0
Marmara Elit Yapı Kooperatifi,marmara_elit_yapi_kooperatifi,low_freq_kept_separate_review,1,,True,40347.83,40347.83
Altınkent Kalıcı Konutları 3 Ada,altinkent_kalici_konutlari_3_ada,low_freq_kept_separate_review,1,,True,32083.33,32083.33
İşkar Elit Kent,iskar_elit_kent,low_freq_kept_separate_review,2,,True,36703.020000000004,36703.020000000004
Casaba Suite Sitesi,casaba_suite,low_freq_kept_separate_review,1,,True,39610.39,39610.39
Dream Gardens Sitesi,dream_gardens,low_freq_kept_separate_review,1,,True,27954.55,27954.55
tanta emlak'tan site,tanta_emlak_tan,low_freq_kept_separate_review,1,,True,30357.14,30357.14
ara kat daire site,ara,low_freq_kept_separate_review,1,,True,55312.5,55312.5
Oluklu Life Sitesi,oluklu_life,low_freq_kept_separate_review,2,,True,38349.36,38349.36
Naturapark Evleri,naturapark,low_freq_kept_separate_review,1,,True,25294.12,25294.12
Kolaylı Sitesi,kolayli,low_freq_kept_separate_review,1,,True,50000.0,50000.0
Oksijen Konakları,oksijen_konaklari,low_freq_kept_separate_review,1,,True,41818.18,41818.18
My Yaka Sitesi,my_yaka,low_freq_kept_separate_review,2,,True,38444.445,38444.445
Oluklu Life Sitesi,oluklu_life,low_freq_kept_separate_review,2,,True,38349.36,38349.36
Kolaylı Karşıyaka Sitesi,kolayli_karsiyaka,low_freq_kept_separate_review,1,,True,42424.24,42424.24
ust kat deniz manzarali asansorlu site,ust_deniz_manzarali_asansorlu,low_freq_kept_separate_review,1,,True,32379.31,32379.31
Yakut Konakları Sitesi,yakut_konaklari,low_freq_kept_separate_review,2,,True,35731.979999999996,35731.979999999996
Üst Park Atakent,ust_park_atakent,low_freq_kept_separate_review,1,,True,37241.38,37241.38
basiskele fatih mahallesinde site,fatih_mahallesinde,low_freq_kept_separate_review,2,,True,44005.715,44005.715
May Kent 2 Sitesi,may_kent_2,low_freq_kept_separate_review,1,,True,30625.0,30625.0
Armoni 2 Evleri,armoni_2,low_freq_kept_separate_review,1,,True,49583.33,49583.33
Mavi - Yeşil Park,mavi_yesil_park,low_freq_kept_separate_review,1,,True,28361.34,28361.34
Üstpark Yuvacık Sitesi,ustpark_yuvacik,low_freq_kept_separate_review,2,,True,42667.46,42667.46
Manar Yuvacık 3,manar_yuvacik_3,low_freq_kept_separate_review,2,,True,40111.365000000005,40111.365000000005
basiskele fatih mah. site,fatih_mah,low_freq_kept_separate_review,1,,True,28275.86,28275.86
Doğa Evleri,doga,low_freq_kept_separate_review,2,,True,35457.425,35457.425
Çağlayan Modern Yuvacık,caglayan_modern_yuvacik,low_freq_kept_separate_review,1,,True,41900.0,41900.0
vadi yuvacik sitesi,vadi_yuvacik,low_freq_kept_separate_review,1,,True,37142.86,37142.86
Aydınkent Kalıcı Konutları 20 Ada,aydinkent_kalici_konutlari_20_ada,low_freq_kept_separate_review,1,,True,34000.0,34000.0
Manar Terrace,manar_terrace,low_freq_kept_separate_review,2,,True,40307.92,40307.92
yuvacik pasadagi mh. site,yuvacik_pasadagi_mh,low_freq_kept_separate_review,1,,True,57241.38,57241.38
Üst Park Yuvacık,ust_park_yuvacik,low_freq_kept_separate_review,1,,True,36750.0,36750.0
Panoramakent 4,panoramakent_4,low_freq_kept_separate_review,2,,True,46300.425,46300.425
Panoramakent 4,panoramakent,near_dict_not_merged_conservative,2,,True,,
Paşadağı Evleri,pasadagi,low_freq_kept_separate_review,1,,True,36756.76,36756.76
basiskele fatih mahallesinde site,fatih_mahallesinde,low_freq_kept_separate_review,2,,True,44005.715,44005.715
acil basiskele'fatih mah site,basiskele_fatih,low_freq_kept_separate_review,1,,True,43062.5,43062.5
Üstgrup Lifeside,ustgrup_lifeside,low_freq_kept_separate_review,1,,True,64685.31,64685.31
lotus evleri,lotus,low_freq_kept_separate_review,1,,True,52380.95,52380.95
basiskele vadi,vadi,low_freq_kept_separate_review,1,,True,41842.11,41842.11
basiskele vadi,ritim_vadi_evleri,near_dict_not_merged_conservative,1,,True,33227.01,32557.47
Doğa Evleri,doga,low_freq_kept_separate_review,2,,True,35457.425,35457.425
Manar Yuvacık,manar_yuvacik,low_freq_kept_separate_review,2,,True,40638.57,40638.57
Akasya Modern Evleri,akasya_modern,low_freq_kept_separate_review,1,,True,28250.0,28250.0
Zeray Kent,zeray_kent,low_freq_kept_separate_review,1,,True,47368.42,47368.42
invest globalden zeray kent,invest_globalden_zeray_kent,low_freq_kept_separate_review,1,,True,33333.33,33333.33
aydinkent konutlari,aydinkent,low_freq_kept_separate_review,1,,True,27727.27,27727.27
Secret Garden,secret_garden,low_freq_kept_separate_review,1,,True,43000.0,43000.0
Üstpark Yuvacık Sitesi,ustpark_yuvacik,low_freq_kept_separate_review,2,,True,42667.46,42667.46
Terra Nova Evleri,terra_nova,low_freq_kept_separate_review,2,,True,47045.455,47045.455
May City Sitesi,may_city,low_freq_kept_separate_review,1,,True,33148.15,33148.15
Lotus Mahza,lotus_mahza,low_freq_kept_separate_review,1,,True,44512.2,44512.2
kw arven'den ted kolejine komsu havuzlu site,kw_arven_den_ted_kolejine_komsu_havuzlu,low_freq_kept_separate_review,1,,True,30937.5,30937.5
vizyon'dan site,vizyon_dan,low_freq_kept_separate_review,1,,True,44142.86,44142.86
