model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.08708944117114503,1
gradient_boosting,num__attr_quality_x_county_income,0.044959424273446603,2
extra_trees,num__attr_total_quality_score,0.0328452556262532,3
extra_trees,num__attr_quality_x_county_income,0.02889503866713412,4
gradient_boosting,num__attr_m2_per_room,0.02821567919474143,5
extra_trees,num__attr_has_elevator,0.015292118639108355,6
extra_trees,num__attr_effect_elevator,0.014110722773227993,7
extra_trees,num__attr_effect_total_quality_bucket,0.013820000299958106,8
extra_trees,num__attr_m2_per_room,0.011597363726232258,9
gradient_boosting,num__attr_quality_x_location_baseline,0.01041610503340135,10
extra_trees,num__attr_compactness_score,0.006649162878999236,11
extra_trees,num__attr_quality_x_location_baseline,0.0062329654967944155,12
gradient_boosting,num__attr_net_gross_ratio,0.0061001229197741366,13
gradient_boosting,num__attr_quality_x_district_median,0.005015033305842862,14
gradient_boosting,num__detail_effect_total_x_attr_quality,0.004683951182744178,15
extra_trees,num__attr_net_gross_good,0.00422451992114981,16
extra_trees,num__detail_effect_total_x_attr_quality,0.0040234189839784785,17
extra_trees,num__attr_net_gross_ratio,0.003848865543271227,18
gradient_boosting,num__attr_quality_x_demo_income,0.003813375005721833,19
extra_trees,num__attr_compact_home_x_quality,0.003807260014774907,20
extra_trees,num__detail_effect_outside_x_attr_quality,0.0036078782075768933,21
extra_trees,num__detail_effect_inside_x_attr_quality,0.0035031193205347175,22
extra_trees,num__attr_quality_x_demo_income,0.003464415717662594,23
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.0033790587771386138,24
gradient_boosting,num__attr_has_elevator,0.0028769427663457663,25
extra_trees,num__attr_is_middle_floor,0.0024776502928938273,26
gradient_boosting,num__attr_old_building_x_no_elevator,0.0023288175043043335,27
extra_trees,num__attr_floor_ratio,0.002143574912255246,28
extra_trees,num__attr_large_home_x_quality,0.0021032192851789863,29
extra_trees,num__attr_new_building_x_site_inside,0.0020372165996262624,30
extra_trees,num__attr_net_gross_bad,0.0019118086343242492,31
gradient_boosting,num__attr_heating_quality_score,0.0019051659146423704,32
extra_trees,num__attr_building_age_inverse,0.0018443759569984754,33
extra_trees,num__attr_floor_quality_score,0.0015381595977467732,34
extra_trees,num__attr_amenity_score,0.0014745357922283165,35
extra_trees,num__attr_old_building_x_no_elevator,0.0013141806355079749,36
