building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,8,0.1763175536614274,0.09456879782074745,4409.92873921562,2957.7980184316075,28095.89875,31650.826834739564
16-20 arası,11,0.14188312407477405,0.08354358068490993,5805.088752177573,2441.2085916060023,36433.91818181818,34787.474459929595
26-30 arası,17,0.14070528562334486,0.11328499060112218,4236.295014968463,3250.786440543092,31985.22,33095.269020522144
2,32,0.12703186878150105,0.08378216848093284,5383.750894030194,3318.8006166380546,40643.1028125,39881.09311447866
4,17,0.12317511518857037,0.07960423213358152,5319.891214611339,3217.151579476522,40888.98941176471,40137.49468755831
6-10 arası,162,0.12148899885057927,0.10407383026735828,4804.737516228841,4170.722320280342,39996.49635802469,39867.85855049957
5,44,0.11774606718532943,0.09131420516904401,5145.020086965571,3961.228854251145,43515.34159090909,42375.8341565262
3,28,0.11197998512008474,0.10210925890235181,4739.68801902322,4656.306893139346,43420.55678571429,42103.63104150803
0 (Yapım Aşamasında),77,0.11196063212177068,0.08873684359037229,4578.704306745588,3523.0818083548293,40720.08974025974,40453.837995549606
11-15 arası,79,0.10444117463772727,0.08601017978487724,3887.26079815997,3287.682975946962,37421.28367088608,37367.682458498944
0 (Oturuma Hazır),402,0.10036293231280352,0.0830391939129117,4286.100067726472,3437.885973191471,41899.01303482587,41132.39462230114
1,48,0.09765904197795348,0.07831739945634311,4101.506551289304,3047.2529402809305,42562.75770833334,41781.74339733479
21-25 arası,16,0.058595989456447055,0.03821122220935863,1829.5419145100163,1175.1877281822854,31237.335625,31779.19725767962
missing,3,0.04246307840114635,0.04129139329085301,1826.8952919311341,2064.5696645426506,44908.426666666666,43467.84740049654
