district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Sepetlipınar Mh.,1,0.2941155883533394,0.2941155883533394,7352.889708833485,7352.889708833485,25000.0,32352.889708833485
Seymen Mah.,10,0.20514499459200328,0.11390617521454761,8227.159442027041,4522.5159073141185,44081.542,41565.58844813075
Bahçecik Kılıçaslan Mh.,11,0.20428263201853156,0.19271827431211289,7902.372677405463,7161.314993532898,42051.83090909091,40639.401302436876
Atakent Mah.,5,0.18112044079224435,0.25567283030805965,8984.289105503176,10389.388419142022,47155.418,43263.06812270151
Sahil Mah.,3,0.1630743811571126,0.1306979227048163,5563.47805327645,3984.6921278398986,35550.026666666665,39898.060678607835
Döngel Mh.,41,0.13411281294538127,0.11003945465728107,5631.08030484331,4248.443932848844,39830.82365853659,38571.4754562495
Bahçecik Şehitekrem Mh.,3,0.13387023476874135,0.13001709556491245,4811.497221716233,4388.076975315795,35035.18666666667,35186.95875558913
Kullar Tepecik Mh.,11,0.1273714088006976,0.07984491695329365,4780.356182776369,3248.236539408841,38974.27636363636,38503.77832872017
Barbaros Mah.,111,0.1175512519092976,0.0899053338357951,4792.540396822821,3787.84184495901,40588.76837837838,40231.89542468404
Kullar Yakacık Mh.,24,0.11565417333577244,0.09538055257142677,4622.04812265802,4087.848606541058,39630.2175,39440.60288247227
Paşadağ Mh.,114,0.11012614966994971,0.08561347241315584,4526.614147825766,3592.3358131700734,41537.009122807016,41055.486153732134
Serdar Mah.,38,0.10813781725391665,0.09753465963861424,4211.096975511684,3819.4707193515023,37623.35236842106,36601.915519343034
Fatih Mah.,200,0.10752588137761755,0.09149340213020704,4345.945094253726,3690.1124220680704,41530.4947,41435.333079963246
Karşıyaka Mh.,4,0.10682783897413654,0.08796360870838611,7441.57017901801,5732.606408187741,67031.82,60439.44298368857
Körfez Mh.,13,0.10296363620646681,0.07484727708338172,3948.2052504486387,2228.4909276013386,35555.35692307692,34306.40988870701
Yeşilyurt Mh.,206,0.09980312438948405,0.08498529104681837,4269.312782571575,3477.6469944206474,41282.921844660195,40396.51119654062
Mahmutpaşa Mh.,27,0.09965328931959133,0.0845909011076446,4193.252956877888,4113.047994371365,43650.23074074074,44200.965303793135
Aydınkent Mh.,21,0.09189808478312576,0.09083601906048162,3523.662300965353,3643.4425703571105,37026.04285714286,37105.961536778006
Kullar Merkez Mh.,7,0.08763093145750031,0.07704091841038883,3160.563670723039,2821.9408837174997,38300.97571428572,38624.98222233213
Altınkent Mh.,25,0.08698932078388286,0.06713480122408091,3186.7553701083116,2254.78003503981,35165.5192,34429.6167833648
Yaylacık Mh.,37,0.08582796362149357,0.06744045333799031,3576.3567086694798,2685.2261873175667,42317.49945945946,41870.83913396665
Damlar Mah.,5,0.08043906979585128,0.06158959114275053,3148.24656281628,2636.8043707990073,39906.932,40960.889150551906
Havuzlubahçe Mh.,10,0.07570054281017595,0.06541063844910933,2372.593483862299,2112.509215583066,31740.775,31855.532010719202
Yeşilkent Mh.,6,0.07316810574970024,0.07195321828114387,2181.468735516011,2240.205323463755,29750.125,30147.573334042478
Yeniköy Merkez Mh.,10,0.06608303708318218,0.057165742500678574,2553.1224647068316,2507.2333966747574,38734.704,38957.925523629245
Vezirçiftliği Mh.,1,0.03989540277110781,0.03989540277110781,1429.5851329800207,1429.5851329800207,35833.33,37262.91513298002
