room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
6+1,1,0.3712433394251648,0.3712433394251648,19593.399294646675,19593.399294646675,52777.78,33184.380705353324
4.5+1,2,0.27786243154298446,0.27786243154298446,9617.131423045854,9617.131423045854,34219.0,43836.13142304585
5+1,6,0.17973043200750083,0.1677140611820209,7202.377741172163,5880.338783147003,36316.30333333334,35118.32605936215
3.5+1,1,0.154727000676597,0.154727000676597,8216.537544079634,8216.537544079634,53103.45,44886.91245592036
4+1,84,0.1267121022641769,0.11068738189180405,4941.124886842141,3622.088529771965,37769.13130952381,36675.347502298595
1+1,39,0.11836545165348557,0.11675594183987216,5936.007389244465,5045.089981370271,49346.523589743585,47226.88340911264
3+1,417,0.11700435382444811,0.09502111303413659,4577.694256536008,3693.1197348742644,39052.329112709835,38739.984863994854
2+1,390,0.09269756926354689,0.07400545418701435,3935.863840845826,3140.28102453682,42197.53007692308,41794.866783594975
2+2,1,0.05190310411496439,0.05190310411496439,2200.69161447449,2200.69161447449,42400.0,40199.30838552551
4+2,1,0.03437052622310949,0.03437052622310949,1191.511690302883,1191.511690302883,34666.67,33475.158309697115
3+2,1,0.03323022287819175,0.03323022287819175,1205.180763559336,1205.180763559336,36267.61,35062.429236440665
2.5+1,1,0.007486692483471923,0.007486692483471923,321.9277767892927,321.9277767892927,43000.0,43321.92777678929
