county,district,test_name,base_prediction_tl_m2,variant_prediction_tl_m2,difference_tl_m2,difference_pct,expected_direction,passed_direction_check
İzmit,missing,new_vs_old,41282.01909619949,45898.46520761342,4616.446111413934,0.11182704268064578,a > b,True
İzmit,missing,elevator,42751.847651300675,43746.73262459926,994.8849732985836,0.023271157340689002,a > b,True
İzmit,missing,site_inside,42751.847651300675,43317.695141785945,565.8474904852701,0.013235626565207758,a >= b,True
İzmit,missing,parking,42751.847651300675,43105.87188633685,354.0242350361732,0.008280910755570641,a > b,True
İzmit,missing,heating,44717.453482403136,43071.91206435819,-1645.5414180449443,-0.03679863878412676,a > b,False
İzmit,missing,floor,41150.886715021814,42751.847651300675,1600.9609362788615,0.03890465222209764,a > b,True
İzmit,missing,net_gross,41714.10122968204,42732.57041276859,1018.4691830865486,0.02441546510803996,a > b,True
İzmit,missing,total_quality,43787.62916097968,48250.34811562491,4462.718954645228,0.10191734606682189,a > b,True
Başiskele,Yeşilyurt Mh.,new_vs_old,29942.625546786963,38126.38216129602,8183.756614509053,0.27331459633429583,a > b,True
Başiskele,Yeşilyurt Mh.,elevator,35601.70222302521,36852.10245347221,1250.4002304469977,0.03512192261521439,a > b,True
Başiskele,Yeşilyurt Mh.,site_inside,35601.70222302521,37405.472632930556,1803.7704099053444,0.05066528556993451,a >= b,True
Başiskele,Yeşilyurt Mh.,parking,35601.70222302521,35940.67973766742,338.97751464221074,0.009521385031499388,a > b,True
Başiskele,Yeşilyurt Mh.,heating,34096.46649714442,35841.0283754923,1744.5618783478785,0.05116547424332036,a > b,True
Başiskele,Yeşilyurt Mh.,floor,32940.24141851913,35601.70222302521,2661.4608045060813,0.08079663930482907,a > b,True
Başiskele,Yeşilyurt Mh.,net_gross,34656.14366781308,35597.08140793004,940.9377401169622,0.027150676345760273,a > b,True
Başiskele,Yeşilyurt Mh.,total_quality,32124.40106963845,41783.76348617452,9659.362416536067,0.30068614806535227,a > b,True
Gölcük,missing,new_vs_old,41282.01909619949,45898.46520761342,4616.446111413934,0.11182704268064578,a > b,True
Gölcük,missing,elevator,42751.847651300675,43746.73262459926,994.8849732985836,0.023271157340689002,a > b,True
Gölcük,missing,site_inside,42751.847651300675,43317.695141785945,565.8474904852701,0.013235626565207758,a >= b,True
Gölcük,missing,parking,42751.847651300675,43105.87188633685,354.0242350361732,0.008280910755570641,a > b,True
Gölcük,missing,heating,44717.453482403136,43071.91206435819,-1645.5414180449443,-0.03679863878412676,a > b,False
Gölcük,missing,floor,41150.886715021814,42751.847651300675,1600.9609362788615,0.03890465222209764,a > b,True
Gölcük,missing,net_gross,41714.10122968204,42732.57041276859,1018.4691830865486,0.02441546510803996,a > b,True
Gölcük,missing,total_quality,43787.62916097968,48250.34811562491,4462.718954645228,0.10191734606682189,a > b,True
Karamürsel,missing,new_vs_old,41282.01909619949,45898.46520761342,4616.446111413934,0.11182704268064578,a > b,True
Karamürsel,missing,elevator,42751.847651300675,43746.73262459926,994.8849732985836,0.023271157340689002,a > b,True
Karamürsel,missing,site_inside,42751.847651300675,43317.695141785945,565.8474904852701,0.013235626565207758,a >= b,True
Karamürsel,missing,parking,42751.847651300675,43105.87188633685,354.0242350361732,0.008280910755570641,a > b,True
Karamürsel,missing,heating,44717.453482403136,43071.91206435819,-1645.5414180449443,-0.03679863878412676,a > b,False
Karamürsel,missing,floor,41150.886715021814,42751.847651300675,1600.9609362788615,0.03890465222209764,a > b,True
Karamürsel,missing,net_gross,41714.10122968204,42732.57041276859,1018.4691830865486,0.02441546510803996,a > b,True
Karamürsel,missing,total_quality,43787.62916097968,48250.34811562491,4462.718954645228,0.10191734606682189,a > b,True
