building_age_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
31 ve üzeri,8,5.375,5.0,0,0,0.7419687229029104,28095.89875
16-20 arası,11,4.7272727272727275,5.0,0,0,0.8125959368691957,36433.91818181818
0 (Yapım Aşamasında),77,2.5714285714285716,0.0,0,0,1.0198330421693529,40720.08974025974
4,17,2.411764705882353,0.0,0,0,0.9654341868799492,40888.98941176471
26-30 arası,17,2.0,0.0,0,0,0.8977931533939575,31985.22
11-15 arası,79,1.7848101265822784,0.0,0,0,0.9293419421232836,37421.28367088608
0 (Oturuma Hazır),402,1.6791044776119404,0.0,0,0,1.018410841092165,41899.01303482587
1,48,1.4791666666666667,0.0,0,0,1.0296739539415167,42562.75770833334
3,28,1.4642857142857142,0.0,0,0,1.0831121414430052,43420.55678571429
2,32,1.40625,0.0,0,0,0.9800605308108572,40643.1028125
6-10 arası,162,1.3148148148148149,0.0,0,0,0.973817062480337,39996.49635802469
5,44,1.2045454545454546,0.0,0,0,1.0833480498886094,43515.34159090909
21-25 arası,16,1.125,0.0,0,0,0.8515140509124688,31237.335625
missing,3,0.0,0.0,0,0,1.0489483488126112,44908.426666666666
