building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,8,0.1778262967303848,0.09847188423979308,4451.619661531711,3100.9476353406935,28095.89875,31632.42330018199
26-30 arası,17,0.1398196201354776,0.11467295163529588,4210.486049945468,3290.6148845933785,31985.22,33079.96450921934
16-20 arası,11,0.1393729188079407,0.09574625932586807,5691.315075384757,2797.780379584139,36433.91818181818,34816.3168981009
4,17,0.12687972058987618,0.0789069702464028,5486.237110800887,3334.8104697082454,40888.98941176471,40238.40627626117
2,32,0.12665557632952515,0.08543212851406828,5343.943339676253,3539.4658903861855,40643.1028125,39974.678801452974
6-10 arası,162,0.12266753460083113,0.10932844429827734,4857.177968555396,4465.441423547976,39996.49635802469,39895.74767172957
5,44,0.11579028282892746,0.09030189321482097,5079.270703714774,3909.123521575759,43515.34159090909,42286.46391859517
0 (Yapım Aşamasında),77,0.11107839959920164,0.08557038136982738,4533.2723148855985,3316.9902224472244,40720.08974025974,40573.35189950726
3,28,0.11021733557422216,0.09845911741614616,4689.013695672576,4233.475673028377,43420.55678571429,42052.11810060235
11-15 arası,79,0.10477135443083092,0.08687121916462132,3899.575053203542,3285.1790297774205,37421.28367088608,37380.730955220286
0 (Oturuma Hazır),402,0.09987789437063918,0.08281154135791285,4260.335976353191,3405.6046622115573,41899.01303482587,41163.010878721805
1,48,0.09709237816823525,0.07847760476772903,4081.4727583298168,2917.781704413821,42562.75770833334,41822.03663024058
21-25 arası,16,0.05882702126595181,0.032450252094346446,1841.4965910288693,1027.6046508672498,31237.335625,31850.768653032163
missing,3,0.03922034311817124,0.04661219262368395,1704.7400200760846,2330.6096311841975,44908.426666666666,43378.80914186738
