room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
6+1,1,0.3636083556495608,0.3636083556495608,19190.441800634275,19190.441800634275,52777.78,33587.338199365724
4.5+1,2,0.2639971864599745,0.2639971864599745,9110.44551118052,9110.44551118052,34219.0,43329.445511180515
5+1,6,0.18069534261725498,0.16905405808514226,7228.16258382334,5940.477783915732,36316.30333333334,35188.569070101796
3.5+1,1,0.14611785951282852,0.14611785951282852,7759.362446746512,7759.362446746512,53103.45,45344.087553253485
4+1,84,0.12686247158364178,0.10788726934580836,4943.426850854377,3783.543682741816,37769.13130952381,36692.0783273479
3+1,417,0.11655111300671137,0.09376534950336066,4554.165664114401,3700.4137404978974,39052.329112709835,38796.921152547424
1+1,39,0.11542170678681152,0.11234985230088168,5773.885612706691,5156.4686420533835,49346.523589743585,47328.582164882595
2+1,390,0.09302419564774583,0.07537716276784837,3955.41642392499,3206.7306728241165,42197.53007692308,41796.26729421608
2+2,1,0.07621286216851314,0.07621286216851314,3231.425355944957,3231.425355944957,42400.0,39168.57464405504
4+2,1,0.0360140528584384,0.0360140528584384,1248.4872858060407,1248.4872858060407,34666.67,33418.18271419396
3+2,1,0.01988263480689625,0.01988263480689625,721.0956449489386,721.0956449489386,36267.61,35546.51435505106
2.5+1,1,0.002646191597295699,0.002646191597295699,113.78623868371506,113.78623868371506,43000.0,43113.786238683715
