model,feature,importance
extra_trees,num__basiskele_detail_group_bucket_median,0.07402918261933245
extra_trees,num__district_m2_group_target_median,0.054739215198337944
extra_trees,num__attr_total_quality_score,0.03355665052930305
extra_trees,num__attr_quality_x_county_income,0.025181999503387963
extra_trees,cat__elevator_Yok,0.01932277873286709
extra_trees,num__attr_has_elevator,0.018563345982853738
extra_trees,num__attr_effect_elevator,0.01745125632295336
extra_trees,num__attr_effect_total_quality_bucket,0.013808879811349881
extra_trees,cat__elevator_Var,0.013278326188952482
extra_trees,num__attr_m2_per_room,0.012909659522197124
extra_trees,num__site_project_oof_price_level,0.012359844990707535
extra_trees,num__detail_effect_subtype_sum,0.011310724812047424
extra_trees,num__site_project_oof_residual_mean,0.010425617545957808
extra_trees,num__basiskele_district_premium_bucket_mean,0.00989270376065697
extra_trees,num__basiskele_detail_subtype_premium_signal,0.00890555867728498
extra_trees,num__attr_quality_x_location_baseline,0.008618115375306164
extra_trees,num__attr_compactness_score,0.006710996888929423
extra_trees,num__basiskele_district_premium_bucket_median,0.006166502515555281
extra_trees,cat__floor_segment_Zemin/Giriş,0.005965985572836574
extra_trees,cat__site_id_bucket_x_district_b1__yesilyurt mh.,0.005818743105992557
extra_trees,num__detail_effect_subtype_mean,0.005714053865517262
extra_trees,num__total_floors,0.0056876309715710215
extra_trees,num__detail_effect_front_sum,0.005391565393676077
extra_trees,num__detail_effect_total_sum,0.005289189671250607
extra_trees,num__location_baseline_level_code,0.005264714141576415
extra_trees,num__detail_effect_total_x_attr_quality,0.0052631944736865974
extra_trees,num__gross_m2,0.005218112347594156
extra_trees,cat__site_tier_x_district_premium__pasadag mh.,0.005101154646238514
extra_trees,num__detail_effect_outside_x_attr_quality,0.0048671761264016304
extra_trees,num__district_room_count_target_median,0.004672361642884988
extra_trees,num__bearing_from_district_centroid_cos,0.004547720556005776
extra_trees,num__detail_effect_county_total_sum,0.004518857581717124
extra_trees,num__net_m2,0.004432474749624092
extra_trees,num__estimated_monthly_rent_gross,0.004429253753548971
extra_trees,num__detail_effect_outside_mean,0.004369453646388136
extra_trees,num__detail_effect_inside_mean,0.004266721966239481
extra_trees,cat__geo_cluster_x_room_count_city_0||3+1,0.004214503050960356
extra_trees,num__attr_net_gross_good,0.004078188454634785
extra_trees,num__bathroom_count,0.00406984191630516
extra_trees,cat__usage_status_Mülk Sahibi,0.004003161891879701
extra_trees,num__detail_effect_inside_x_attr_quality,0.00397888291696049
extra_trees,num__attr_net_gross_ratio,0.003961465129822066
extra_trees,cat__detail_cephe_Batı|Doğu|Güney,0.003940338614419905
extra_trees,num__distance_to_coast_x_large_home,0.003927008420038288
extra_trees,num__detail_effect_total_mean,0.003925266414711277
extra_trees,cat__parking_Açık & Kapalı Otopark,0.0039176272345862895
extra_trees,num__net_gross_ratio,0.003912161258164218
extra_trees,num__detail_effect_front_mean,0.0038839375546954546
extra_trees,num__attr_compact_home_x_quality,0.003697064059660506
extra_trees,cat__building_age_group_0 (Oturuma Hazır),0.0035672894287241156
extra_trees,num__dues,0.0035595731947114097
extra_trees,num__basiskele_detail_inside_premium_signal,0.0035458730661575167
extra_trees,cat__parking_Açık Otopark,0.003520178059571045
extra_trees,cat__usage_status_Boş,0.0035013599114416755
extra_trees,num__basiskele_distance_to_coast_x_large_home,0.0034937091217648736
extra_trees,num__basiskele_detail_total_premium_signal,0.003470327165946013
extra_trees,cat__detail_konut_tipi_Ara Kat,0.0034582535741745878
extra_trees,num__detail_effect_inside_sum,0.003390299331167007
extra_trees,num__basiskele_premium_x_gross_m2,0.0033750142789097616
extra_trees,cat__m2_group_0-75,0.0033323019449111656
extra_trees,num__is_old_building,0.0033101306729177607
extra_trees,num__detail_effect_outside_sum,0.003303187518927357
extra_trees,num__bearing_from_district_centroid_sin,0.003300212933365015
extra_trees,num__basiskele_premium_x_location_baseline,0.0032802178775973375
extra_trees,num__known_premium_x_district_code,0.003237991787839887
extra_trees,num__distance_to_geo_cluster_center_m,0.00323088169651488
extra_trees,cat__kitchen_Açık (Amerikan),0.0031967320766121106
extra_trees,num__is_new_building,0.003011484338427748
extra_trees,num__detail_effect_district_total_sum,0.0029696001205352205
extra_trees,num__attr_quality_x_demo_income,0.002936522825289023
extra_trees,num__detail_effect_negative_count,0.0029151920451364996
extra_trees,num__is_small_flat,0.0028987750574371797
extra_trees,num__floor_num,0.0028966805633857838
