model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.11984204228044482,1
gradient_boosting,num__attr_m2_per_room,0.02785191366005472,2
extra_trees,num__attr_total_quality_score,0.022680433077064098,3
extra_trees,num__attr_quality_x_county_income,0.022148633600916366,4
gradient_boosting,num__attr_quality_x_county_income,0.020150223761466704,5
extra_trees,num__attr_effect_total_quality_bucket,0.019963505717254422,6
extra_trees,num__attr_effect_elevator,0.01988355619899803,7
extra_trees,num__attr_has_elevator,0.016008787524222013,8
extra_trees,num__attr_m2_per_room,0.01159002675801767,9
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.009560245101092917,10
gradient_boosting,num__attr_quality_x_location_baseline,0.00739547854955982,11
extra_trees,num__attr_compactness_score,0.005814376362985357,12
extra_trees,num__detail_effect_outside_x_attr_quality,0.005653582747379243,13
extra_trees,num__attr_quality_x_location_baseline,0.005550408139048449,14
extra_trees,num__detail_effect_total_x_attr_quality,0.005026405717902337,15
extra_trees,num__attr_net_gross_good,0.0040307090303196395,16
extra_trees,num__attr_compact_home_x_quality,0.003992155557323272,17
extra_trees,num__attr_net_gross_ratio,0.003912463176119951,18
extra_trees,num__detail_effect_inside_x_attr_quality,0.0038441102458874297,19
gradient_boosting,num__attr_quality_x_demo_income,0.0033480017844732587,20
extra_trees,num__attr_large_home_x_quality,0.0031444263731256034,21
gradient_boosting,num__attr_net_gross_ratio,0.0028928059948413825,22
extra_trees,num__attr_is_middle_floor,0.002813592958446389,23
extra_trees,num__attr_floor_ratio,0.0027879266479277545,24
extra_trees,num__attr_new_building_x_site_inside,0.0026260495407724243,25
gradient_boosting,num__detail_effect_total_x_attr_quality,0.0025609816499059953,26
extra_trees,num__attr_net_gross_bad,0.002446940413427369,27
extra_trees,num__attr_quality_x_demo_income,0.0024068228628818596,28
gradient_boosting,num__attr_quality_x_district_median,0.002218365883465745,29
extra_trees,num__attr_building_age_inverse,0.0020076479093896213,30
gradient_boosting,num__attr_new_building_x_site_inside,0.0019799776822767685,31
gradient_boosting,num__attr_has_elevator,0.0016732083539845507,32
extra_trees,num__attr_floor_quality_score,0.0016403581864377673,33
gradient_boosting,num__attr_building_age_inverse,0.0015157206486498607,34
extra_trees,num__attr_is_ground_or_below,0.0014453154571175215,35
extra_trees,num__attr_amenity_score,0.001437275965476686,36
extra_trees,num__attr_has_natural_gas_heating,0.0013940683688602018,37
extra_trees,num__attr_heating_quality_score,0.001273420712355581,38
extra_trees,num__attr_effect_building_age_bucket,0.001202163175106879,39
extra_trees,num__attr_is_young_building,0.0011428520461826222,40
extra_trees,num__attr_quality_x_district_median,0.001108592426542944,41
gradient_boosting,num__detail_effect_outside_x_attr_quality,0.0011029651055107104,42
gradient_boosting,num__attr_old_building_x_no_elevator,0.0010772215903300652,43
gradient_boosting,num__attr_floor_ratio,0.0008762717083389862,44
extra_trees,num__attr_old_building_x_no_elevator,0.0007753423014080314,45
extra_trees,num__attr_effect_site_inside,0.0007643485718631024,46
extra_trees,num__attr_is_mid_age_building,0.0007420806223666041,47
extra_trees,num__attr_is_furnished,0.0007013713472094779,48
extra_trees,num__attr_building_age_score,0.0006753211818286099,49
extra_trees,num__attr_is_top_floor,0.0006729413145165899,50
extra_trees,num__attr_is_new_building,0.0006287295463652394,51
extra_trees,num__attr_is_old_building,0.0005905639834012606,52
gradient_boosting,num__attr_effect_total_quality_bucket,0.0005075135996049009,53
extra_trees,num__attr_is_site_inside,0.0004974145306684975,54
extra_trees,num__attr_effect_parking,0.00045364769794154397,55
extra_trees,num__attr_has_balcony,0.0003839608029395014,56
gradient_boosting,num__attr_large_home_x_quality,0.00029072158097108333,57
gradient_boosting,num__attr_is_middle_floor,0.00019639367338425594,58
extra_trees,num__attr_has_parking,0.00018605520956768712,59
gradient_boosting,num__attr_compact_home_x_quality,0.00015260514380930886,60
gradient_boosting,num__attr_net_gross_good,0.00015260163751027494,61
