feature,group,basiskele_positive_count,basiskele_negative_count,basiskele_effect,global_effect,smoothed_effect,abs_effect,direction,reliability_level
out_closed_pool,outside,41,,0.1889654476074334,0.1889654476074334,0.1889654476074334,0.1889654476074334,premium,county
out_sauna_hamam,outside,68,,0.14544358912533184,0.14544358912533184,0.14544358912533184,0.14544358912533184,premium,county
out_open_pool,outside,173,,0.13330400375498463,0.13330400375498463,0.13330400375498463,0.13330400375498463,premium,county
out_pool,outside,181,,0.13268382198081952,0.13268382198081952,0.13268382198081952,0.13268382198081952,premium,county
view_pool,view,52,,0.12616773624844502,0.12616773624844502,0.12616773624844502,0.12616773624844502,premium,county
out_generator,outside,22,,0.11743828090084563,0.11743828090084563,0.11743828090084563,0.11743828090084563,premium,county
view_bosphorus,view,6,,-0.10292038407945016,-0.10292038407945014,-0.10292038407945016,0.10292038407945016,discount,unreliable
out_security,outside,201,,0.10032890318668386,0.10032890318668386,0.10032890318668386,0.10032890318668386,premium,county
out_sports_area,outside,149,,0.08863181462782954,0.08863181462782954,0.08863181462782954,0.08863181462782954,premium,county
subtype_duplex,subtype,173,,-0.08738395161756607,-0.08738395161756607,-0.08738395161756607,0.08738395161756607,discount,county
subtype_roof_duplex,subtype,94,,-0.08343900040773011,-0.08343900040773011,-0.08343900040773011,0.08343900040773011,discount,county
subtype_garden_duplex,subtype,49,,-0.08178287750391178,-0.08178287750391178,-0.08178287750391178,0.08178287750391178,discount,county
in_smart_home,inside,26,,0.07532338552879203,0.07532338552879203,0.07532338552879203,0.07532338552879203,premium,county
in_air_conditioner,inside,36,,0.07336006552237873,0.07336006552237873,0.07336006552237873,0.07336006552237873,premium,county
transport_tram,transport,17,,-0.0726078088811608,-0.0726078088811608,-0.0726078088811608,0.0726078088811608,discount,county
in_parent_bathroom,inside,184,,0.06049387542731832,0.06049387542731832,0.06049387542731832,0.06049387542731832,premium,county
subtype_middle_floor,subtype,372,,0.05939419054634687,0.05939419054634687,0.05939419054634687,0.05939419054634687,premium,county
in_glass_balcony,inside,56,,0.0503839443007843,0.0503839443007843,0.0503839443007843,0.0503839443007843,premium,county
in_builtin_kitchen,inside,179,,0.04901603429416746,0.049016034294167454,0.04901603429416746,0.04901603429416746,premium,county
out_camera,outside,260,,0.04477415984488253,0.04477415984488253,0.04477415984488253,0.04477415984488253,premium,county
in_intercom,inside,305,,0.03679753292106369,0.03679753292106369,0.03679753292106369,0.03679753292106369,premium,county
out_hydrofor,outside,29,,-0.0364911428980772,-0.0364911428980772,-0.0364911428980772,0.0364911428980772,discount,county
subtype_top_floor,subtype,60,,0.03642262710424227,0.03642262710424227,0.03642262710424227,0.03642262710424227,premium,county
in_terrace,inside,116,,-0.030199962348310905,-0.030199962348310905,-0.030199962348310905,0.030199962348310905,discount,county
front_north,front,287,,0.02742930646232189,0.02742930646232189,0.02742930646232189,0.02742930646232189,premium,county
transport_bus_stop,transport,527,,-0.027362382178111485,-0.02736238217811149,-0.027362382178111485,0.027362382178111485,discount,county
out_children_playground,outside,239,,0.023492894976092416,0.023492894976092416,0.023492894976092416,0.023492894976092416,premium,county
near_lake_zero,nearby,6,,0.022965242675554443,0.022965242675554443,0.022965242675554443,0.022965242675554443,premium,unreliable
near_sea_zero,nearby,20,,-0.021424768810613948,-0.021424768810613948,-0.021424768810613948,0.021424768810613948,discount,county
transport_e5,transport,220,,-0.020689494658204133,-0.020689494658204133,-0.020689494658204133,0.020689494658204133,discount,county
in_heat_glass,inside,406,,0.018151330282707434,0.018151330282707434,0.018151330282707434,0.018151330282707434,premium,county
in_dressing_room,inside,50,,0.01784819131164017,0.01784819131164017,0.01784819131164017,0.01784819131164017,premium,county
transport_metro,transport,23,,-0.01681025425297733,-0.01681025425297733,-0.01681025425297733,0.01681025425297733,discount,county
front_south,front,433,,-0.016068073603259236,-0.016068073603259236,-0.016068073603259236,0.016068073603259236,discount,county
near_school,nearby,578,,-0.015460774172113112,-0.015460774172113112,-0.015460774172113112,0.015460774172113112,discount,county
in_fiber,inside,286,,0.015346839285935054,0.015346839285935054,0.015346839285935054,0.015346839285935054,premium,county
in_steel_door,inside,518,,0.014805043662298623,0.014805043662298623,0.014805043662298623,0.014805043662298623,premium,county
out_heat_insulation,outside,473,,0.014620412346999956,0.014620412346999956,0.014620412346999956,0.014620412346999956,premium,county
front_east,front,414,,-0.014072169658063238,-0.014072169658063238,-0.014072169658063238,0.014072169658063238,discount,county
near_mosque,nearby,559,,-0.01403554006751584,-0.01403554006751584,-0.01403554006751584,0.01403554006751584,discount,county
transport_tem,transport,53,,0.013352059620116208,0.013352059620116208,0.013352059620116208,0.013352059620116208,premium,county
near_city_center,nearby,390,,-0.013101265624714031,-0.013101265624714031,-0.013101265624714031,0.013101265624714031,discount,county
transport_score,transport,612,,-0.012740294589938193,-0.012740294589938195,-0.012740294589938193,0.012740294589938193,discount,county
transport_main_road,transport,473,,-0.012731300724894368,-0.012731300724894368,-0.012731300724894368,0.012731300724894368,discount,county
near_market,nearby,600,,-0.01101346674351067,-0.01101346674351067,-0.01101346674351067,0.01101346674351067,discount,county
out_sound_insulation,outside,368,,0.010555603247420109,0.010555603247420109,0.010555603247420109,0.010555603247420109,premium,county
view_nature,view,393,,0.00991236230604109,0.00991236230604109,0.00991236230604109,0.00991236230604109,premium,county
view_score,view,604,,0.009873000769302642,0.009873000769302642,0.009873000769302642,0.009873000769302642,premium,county
view_park_green,view,430,,0.009698763462648865,0.009698763462648863,0.009698763462648865,0.009698763462648865,premium,county
in_pantry,inside,56,,-0.00928937217833603,-0.00928937217833603,-0.00928937217833603,0.00928937217833603,discount,county
near_mall,nearby,378,,0.009111317266815355,0.009111317266815355,0.009111317266815355,0.009111317266815355,premium,county
near_park,nearby,506,,-0.008337001510969166,-0.008337001510969166,-0.008337001510969166,0.008337001510969166,discount,county
transport_minibus,transport,459,,0.007660795824540045,0.007660795824540045,0.007660795824540045,0.007660795824540045,premium,county
near_pharmacy,nearby,513,,0.007660795824540045,0.007660795824540045,0.007660795824540045,0.007660795824540045,premium,county
near_hospital,nearby,540,,-0.006431258842862775,-0.006431258842862775,-0.006431258842862775,0.006431258842862775,discount,county
in_laminate_floor,inside,430,,0.006430574025177549,0.006430574025177549,0.006430574025177549,0.006430574025177549,premium,county
transport_airport,transport,17,,-0.006282847703197092,-0.006282847703197092,-0.006282847703197092,0.006282847703197092,discount,county
view_river,view,3,,-0.006282847703197092,-0.006282847703197092,-0.006282847703197092,0.006282847703197092,discount,unreliable
transport_train,transport,19,,-0.006282847703197092,-0.006282847703197092,-0.006282847703197092,0.006282847703197092,discount,county
front_score,front,633,,0.004438298946881859,0.004438298946881858,0.004438298946881859,0.004438298946881859,premium,county
view_city,view,363,,-0.004029886842063846,-0.004029886842063846,-0.004029886842063846,0.004029886842063846,discount,county
in_pvc,inside,310,,0.003551415062030827,0.003551415062030827,0.003551415062030827,0.003551415062030827,premium,county
front_west,front,406,,-0.002010072624288206,-0.002010072624288206,-0.002010072624288206,0.002010072624288206,discount,county
near_university,nearby,279,,0.00040864212704505576,0.00040864212704505576,0.00040864212704505576,0.00040864212704505576,premium,county
subtype_reverse_duplex,subtype,9,,-0.0003330951070914523,-0.0003330951070914523,-0.0003330951070914523,0.0003330951070914523,discount,unreliable
view_sea,view,180,,5.9010888006305606e-05,5.9010888006305606e-05,5.9010888006305606e-05,5.9010888006305606e-05,premium,county
subtype_triplex,subtype,0,,0.0,0.0,0.0,0.0,neutral,unreliable
view_lake,view,2,,0.0,0.0,0.0,0.0,neutral,unreliable
