model_scope,county,feature,importance,rank
gradient_boosting,,num__detail_effect_front_sum,0.029657735349111695,1
gradient_boosting,,num__detail_effect_inside_mean,0.02928852304264425,2
gradient_boosting,,num__detail_effect_total_mean,0.026437522020011966,3
gradient_boosting,,num__detail_effect_subtype_sum,0.00977502900112493,4
extra_trees,,num__detail_effect_subtype_sum,0.009620755976533111,5
gradient_boosting,,num__detail_effect_inside_x_attr_quality,0.009560245101092917,6
gradient_boosting,,num__detail_effect_outside_mean,0.009481560559535036,7
gradient_boosting,,num__detail_effect_subtype_mean,0.006689238444271844,8
extra_trees,,num__detail_effect_outside_x_attr_quality,0.005653582747379243,9
extra_trees,,num__detail_effect_front_sum,0.005438960671022739,10
extra_trees,,num__detail_effect_total_mean,0.005398579190007012,11
extra_trees,,num__detail_effect_total_sum,0.005313200043578244,12
extra_trees,,num__detail_effect_subtype_mean,0.005103053201001746,13
extra_trees,,num__detail_effect_total_x_attr_quality,0.005026405717902337,14
extra_trees,,num__detail_effect_front_mean,0.0043515209658975765,15
gradient_boosting,,num__detail_effect_outside_sum,0.004229576940510234,16
extra_trees,,num__detail_effect_county_total_sum,0.004181393852357119,17
extra_trees,,num__detail_effect_inside_mean,0.004116135009324109,18
gradient_boosting,,num__detail_effect_front_mean,0.0040178612565070155,19
extra_trees,,num__detail_effect_inside_x_attr_quality,0.0038441102458874297,20
extra_trees,,num__detail_effect_outside_mean,0.003696210987194768,21
extra_trees,,num__detail_effect_district_total_sum,0.0036639252694508776,22
extra_trees,,num__detail_effect_outside_sum,0.0035290495904632966,23
extra_trees,,num__detail_effect_inside_sum,0.0034317399478592616,24
gradient_boosting,,num__detail_effect_total_sum,0.002666184666502376,25
gradient_boosting,,num__detail_effect_total_x_attr_quality,0.0025609816499059953,26
extra_trees,,num__detail_effect_negative_count,0.0023918111641586916,27
extra_trees,,num__detail_effect_level_code,0.0023713816974642275,28
extra_trees,,num__detail_effect_transport_sum,0.002176987456328382,29
gradient_boosting,,num__detail_effect_view_sum,0.002137303571838694,30
gradient_boosting,,num__detail_effect_view_x_location_baseline,0.0020629244958390615,31
gradient_boosting,,num__detail_effect_nearby_sum,0.0020425623091646574,32
extra_trees,,num__detail_effect_nearby_sum,0.0019748236000258833,33
extra_trees,,num__location_quality_x_detail_effect_total,0.0019497111812493376,34
extra_trees,,num__detail_effect_view_x_location_baseline,0.001940804136506821,35
extra_trees,,num__detail_effect_view_mean,0.0018743211976342965,36
extra_trees,,num__detail_effect_nearby_mean,0.0018701086461880207,37
gradient_boosting,,num__detail_effect_negative_count,0.0017757945043552234,38
extra_trees,,num__detail_effect_positive_count,0.0015299018849041018,39
extra_trees,,num__detail_effect_transport_mean,0.0015086186204893266,40
extra_trees,,num__detail_effect_total_abs_sum,0.0014972704757400897,41
gradient_boosting,,num__detail_effect_transport_sum,0.0014039503214354635,42
extra_trees,,num__detail_effect_view_sum,0.0013065145119284236,43
extra_trees,,num__detail_effect_used_count,0.0011640991530024254,44
gradient_boosting,,num__detail_effect_outside_x_attr_quality,0.0011029651055107104,45
gradient_boosting,,num__detail_effect_view_mean,0.0010687388966907569,46
gradient_boosting,,num__detail_effect_positive_count,0.000930748838643324,47
gradient_boosting,,num__detail_effect_total_abs_sum,0.0009221862349928007,48
gradient_boosting,,num__detail_effect_level_code,0.0008019479443860065,49
gradient_boosting,,num__detail_effect_inside_sum,0.0006979316907245204,50
gradient_boosting,,num__detail_effect_transport_mean,0.0006062506344111341,51
gradient_boosting,,num__detail_effect_district_total_sum,0.0003396260176954236,52
gradient_boosting,,num__detail_effect_used_count,0.00032648167230695023,53
gradient_boosting,,num__detail_effect_county_total_sum,0.00031628855989177754,54
gradient_boosting,,num__detail_effect_nearby_mean,0.0,55
gradient_boosting,,num__location_quality_x_detail_effect_total,0.0,56
