building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,8,0.20841813481953342,0.07884818994222495,5056.125909018491,2404.425876170644,28095.89875,32884.813236728514
26-30 arası,16,0.14700813902164214,0.10697574364578395,4464.496422641501,3323.933776532789,32057.213125000002,33440.30476102454
16-20 arası,11,0.14298457044895885,0.08126375458749424,5867.287090299902,2659.5408375986626,36433.91818181818,34556.50552027826
4,17,0.1366613736585439,0.11247852803382595,5783.032448449836,3953.7912277515934,40888.98941176471,40862.527226128244
2,30,0.130076155703435,0.10706560335052098,5496.435970042934,3945.2556162435176,41055.965,40319.32025702724
6-10 arası,158,0.12152497922668884,0.0988390351049053,4937.451266687366,4079.0850418161535,40460.17386075949,40200.6847936077
5,43,0.12079521737361573,0.09017876641765032,5309.200405997654,4442.726883765194,43811.04720930233,42539.23657485663
3,26,0.1166048787002468,0.1031415900224307,5010.701574611569,4453.976990778388,43607.786538461536,42606.43736836734
0 (Yapım Aşamasında),77,0.11198565025520751,0.0935100812439945,4547.981595504142,3576.7786191497144,40720.08974025974,40694.68605094453
0 (Oturuma Hazır),391,0.10561446308563943,0.0838891848235194,4539.713182622012,3467.573931165556,42072.52690537084,41253.38890918422
1,47,0.10027954566020224,0.07440715811292972,4210.71393845822,3159.3486477335027,42601.52404255319,41794.81977817135
11-15 arası,79,0.09904230830763187,0.08501954301029138,3684.4124557144382,3459.478700705411,37421.28367088608,37581.116291334496
21-25 arası,16,0.07018950325866195,0.05359269576244631,2208.8076788784833,1731.965814288329,31237.335625,32488.503858948054
missing,3,0.052966284567055065,0.04768063031785619,2429.9733280724854,1839.1100946610677,44908.426666666666,42478.45333859418
