district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Sepetlipınar Mh.,1,0.39575170257811026,0.39575170257811026,9893.792564452757,9893.792564452757,25000.0,34893.79256445276
Seymen Mah.,10,0.2509057318815434,0.14550855754046588,9408.386014364549,7187.008064371541,44081.542,42929.79453062171
Atakent Mah.,5,0.19967976674467192,0.24356669754435484,10150.951829589245,9669.945229044592,47155.418,42394.0446668002
Bahçecik Kılıçaslan Mh.,11,0.19222879814869306,0.13203728907416662,7421.2192161975545,5802.691596739358,42051.83090909091,41033.706594790216
Bahçecik Şehitekrem Mh.,2,0.16639251768678112,0.16639251768678112,6096.212377371237,6096.212377371237,37152.78,37522.63824911065
Döngel Mh.,39,0.1422375761197034,0.11673306744310047,5915.970492739403,4369.05186952572,40185.3958974359,39387.6059398007
Sahil Mah.,3,0.13540487803359633,0.1353061348670642,4571.9800392147745,4125.1863786000795,35550.026666666665,39243.009475779705
Kullar Yakacık Mh.,24,0.12057032583286233,0.11113505543144982,4840.5359812039305,4093.1381918475927,39630.2175,39202.91795673094
Kullar Tepecik Mh.,11,0.11904693067566025,0.07368613977858919,4484.059321306928,2846.1931415905565,38974.27636363636,38622.15066633883
Barbaros Mah.,109,0.11704614568389957,0.0797411199154369,4812.160072754804,3407.068730760693,40717.99266055046,40321.90181825787
Fatih Mah.,194,0.1123920810136038,0.09313048470658716,4569.629398329618,3910.6784723809506,41636.47659793814,41520.6543529246
Körfez Mh.,12,0.11180639052070214,0.0878916774855969,4393.509402488358,3215.261358318454,35554.385833333334,34134.20091872081
Aydınkent Mh.,21,0.11109877211151119,0.08787393077044554,4139.596832521049,3377.817955897044,37026.04285714286,38114.70434087756
Paşadağ Mh.,113,0.11050227000958704,0.09049061073364811,4570.56739269157,3772.7422210816803,41525.32654867257,41077.79106950737
Serdar Mah.,38,0.11014581663459228,0.10192720156081544,4459.510996164042,3499.9407538383,37623.35236842106,36024.69185101052
Karşıyaka Mh.,4,0.10706919205405692,0.09378507334507771,7481.483134474582,6102.48225835813,67031.82,59550.336865525416
Yeşilyurt Mh.,202,0.10323486100134492,0.08363654433825415,4488.321773214226,3324.9515106605068,41621.51821782178,40715.29688301351
Mahmutpaşa Mh.,26,0.10028062764421639,0.08504958626755858,4262.368919629387,3850.2907413380854,43813.14692307693,44246.25658747459
Kullar Merkez Mh.,7,0.0945506483084736,0.07018550506850896,3375.933001168617,2910.130372712665,38300.97571428572,38982.00739947725
Yaylacık Mh.,35,0.09170269083845278,0.07211302634419095,3800.908910754659,3502.554500500737,42852.42228571429,42695.88031230519
Altınkent Mh.,24,0.07832388857979629,0.0636628943550496,2866.820764367752,2420.0821570656226,35407.8325,35217.274805383866
Damlar Mah.,5,0.07215798744981439,0.08074666393457779,2837.8352308808157,3376.678526815682,39906.932,41394.09582015454
Havuzlubahçe Mh.,10,0.06802514450227848,0.03281969616681069,2137.8173259906243,1021.9391900947794,31740.775,31806.634050855042
Yeniköy Merkez Mh.,10,0.05880448571922999,0.05257852939597601,2275.840080162786,2128.027487183477,38734.704,38744.739543597265
Yeşilkent Mh.,5,0.05332857086207554,0.03925170306350384,1554.0193041602913,1213.234422643116,29533.484000000004,29464.63683938815
Vezirçiftliği Mh.,1,0.029961539815486455,0.029961539815486455,1073.6217435164654,1073.6217435164654,35833.33,36906.95174351647
