room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
6+1,1,0.34361982244466316,0.34361982244466316,18135.491392623495,18135.491392623495,52777.78,34642.288607376504
4.5+1,2,0.3162021265098958,0.3162021265098958,11091.196129942406,11091.196129942406,34219.0,45310.1961299424
5+1,6,0.14508424851660087,0.12298470887104582,6125.6208549456705,4341.060384039134,36316.30333333334,33930.30942425541
3.5+1,2,0.13645771673124257,0.13645771673124257,8965.574458860265,8965.574458860265,61497.96,52532.38554113974
1+1,39,0.1245860130119221,0.0956713013058098,6172.120216934844,4612.594114137559,49346.523589743585,47686.56575518735
4+1,80,0.12418367124111418,0.09992063983593469,4964.65973822142,3585.855948760407,38162.069875,36809.378800729115
3+1,403,0.12087347816856503,0.09622565186168906,4726.800631947662,3771.1111240738464,39150.73022332506,39005.5449306885
2+1,385,0.09668332310034175,0.07688163469127571,4135.088997452733,3210.189115292451,42287.90896103896,41835.25166574737
2+2,1,0.08274837732329804,0.08274837732329804,3508.531198507837,3508.531198507837,42400.0,38891.46880149216
3+2,1,0.025696069198425202,0.025696069198425202,931.9350162214978,931.9350162214978,36267.61,35335.6749837785
4+2,1,0.024346852401916075,0.024346852401916075,844.0242977559319,844.0242977559319,34666.67,33822.645702244066
2.5+1,1,0.0013879552687266856,0.0013879552687266856,59.68207655524748,59.68207655524748,43000.0,42940.31792344475
