feature,importance,rank
num__basiskele_lat_lon_interaction,0.007237538098066741,1
num__attr_quality_x_location_baseline,0.006472943344304134,2
num__location_baseline_m2,0.005312305068023398,3
num__bearing_from_district_centroid_cos,0.005197296999608502,4
num__location_baseline_log,0.004739131659804684,5
num__lat,0.004320647319981465,6
num__bearing_from_district_centroid_sin,0.004274636547389327,7
num__distance_to_coast_x_site_inside,0.004029112095446471,8
num__location_baseline_vs_trend,0.0038629243476418313,9
num__lat_centered_city,0.0038061722419979738,10
num__lat_centered_county,0.003509890326602262,11
num__distance_to_izmit_center_m,0.0029352409568226064,12
num__bearing_from_county_centroid_cos,0.0028418655229435026,13
num__distance_to_county_centroid_m,0.00278648432767276,14
num__basiskele_distance_to_coast_x_large_home,0.0026782862779726217,15
cat__geo_cluster_x_room_count_city_7||3+1,0.0026718019513296038,16
num__distance_to_yuvacik_m,0.0026710135913300993,17
cat__basiskele_geo_cluster_Başiskele_5,0.002574263476493535,18
cat__geo_cluster_county_Başiskele_5,0.002519696986606655,19
num__location_baseline_level_code,0.0024893287234744642,20
num__distance_to_coast_x_view_sea,0.002459134045898518,21
num__distance_to_kullar_m,0.0023330944198221917,22
cat__geo_cluster_city_city_7,0.0022630065933157656,23
num__distance_to_coast_x_large_home,0.0021611554245285747,24
num__distance_to_sahil_m,0.0020307472659023777,25
num__detail_effect_view_x_location_baseline,0.002001864316172941,26
num__site_tier_x_coast_inv,0.0019329384983067805,27
num__location_baseline_count,0.0019152009165977106,28
num__distance_to_basiskele_coast_m,0.0017932809774256762,29
num__distance_to_golcuk_center_m,0.0016878243054948045,30
num__distance_to_district_centroid_m,0.0015412783062054782,31
num__basiskele_premium_x_location_baseline,0.001452051546982291,32
num__distance_to_geo_cluster_center_m,0.001385582996523343,33
num__is_large_flat,0.0013377951314285613,34
num__bearing_from_county_centroid_sin,0.0012825820153678402,35
num__distance_to_coastline_m,0.0011863419332667365,36
num__demo_population_density,0.0011392755551319213,37
num__transport_score,0.0010821779107795834,38
num__distance_to_bahcecik_m,0.001060839583214974,39
num__location_quality_x_detail_effect_total,0.0009748555906246688,40
num__lon,0.000844902345089469,41
cat__coast_distance_bucket_1000_3000,0.0008412965212406117,42
num__lon_centered_city,0.0008168734799697709,43
num__distance_to_coastline_inv,0.0008083988286069761,44
cat__geo_cluster_city_city_10,0.0007588227828174317,45
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||101-125,0.0007508130820337781,46
cat__geo_cluster_city_city_1,0.0007430846439087345,47
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||126-150,0.0007278055051782022,48
cat__geo_cluster_x_room_count_city_8||2+1,0.0007081246308101207,49
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||200+,0.0007076707916596236,50
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||76-100,0.0007038379531521338,51
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||126-150,0.0006939324713770449,52
cat__geo_cluster_x_room_count_city_1||3+1,0.0005983076386217157,53
cat__geo_cluster_x_room_count_city_7||4+1,0.0005920595575352632,54
cat__geo_cluster_county_Başiskele_1,0.0005814277257880564,55
cat__geo_cluster_x_room_count_missing||3+1,0.0005756214076018027,56
num__distance_to_karamursel_center_m,0.0005732098894286476,57
num__distance_to_coast_x_near_sea_zero,0.0005713009016802504,58
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||101-125,0.0005332210802501843,59
cat__geo_cluster_x_room_count_city_10||2+1,0.0005331830697726655,60
