site_project_id,n,mean_actual,mean_pred,mean_residual
natura_life_yuvacik,1,63186.81,40924.20047510245,-22262.609524897547
merkezde_essiz_bir,1,56666.67,36769.361718608336,-19897.308281391663
yuvacik_pasadagi_mh,1,57241.38,38145.36620133241,-19096.01379866759
temizel_tepe_loft,1,52777.78,34642.288607376504,-18135.491392623495
ustgrup_lifeside,1,64685.31,47004.90499912186,-17680.405000878134
erenoglu_gm_den,1,60185.19,44309.7807664664,-15875.409233533603
ara,1,55312.5,41426.62160173991,-13885.878398260087
yuvacikta,1,57500.0,44393.74936139247,-13106.250638607533
kolayli,1,50000.0,37621.719966865,-12378.280033135
panoramakent_3,2,58273.81,46866.51864829891,-11407.29135170109
orka_life,3,56599.920000000006,45265.02681732264,-11334.89318267736
bulvar,2,51688.655,40521.39182306765,-11167.263176932353
panoramakent_2,2,57160.0,46906.24225203508,-10253.757747964919
anatolia,1,45112.78,35041.607677114676,-10071.172322885323
yagmurkent,1,57692.31,48065.22161213706,-9627.08838786294
basiskele_de_asev_muhit,1,53333.33,43920.31390391303,-9413.016096086969
mahall_yuvacik_2,1,47849.46,38514.24787019945,-9335.212129800551
royal_life,2,54451.415,45163.951292764046,-9287.463707235955
pasadag_mh_de_konsept_talha_park,1,41807.91,33675.80808421106,-8132.101915788946
zeray_korupark,5,53095.166000000005,45268.22220680297,-7826.943793197027
yuvacik_eksioglu_metsan,1,54597.7,47137.48430175385,-7460.215698246146
basiskele_fatih,1,43062.5,36167.08012172021,-6895.41987827979
parla_100_yil,3,49074.073333333334,42958.71045368317,-6115.3628796501625
yesilyurt_mah_durupark,1,48058.25,42440.62905673476,-5617.6209432652395
vadi,1,41842.11,36252.38324065978,-5589.726759340221
kullar_yakacik_ta_kacirilmayacak_butik,1,44285.71,38923.31085912413,-5362.399140875867
kolayli_karsiyaka,1,42424.24,37236.319940150235,-5187.920059849763
ust_park_yuvacik,1,36750.0,31802.884262210035,-4947.115737789965
kredili_dusuk_faiz_yuksek_konforlu,1,50000.0,45189.493385537484,-4810.506614462516
zeray_perla,8,55492.5925,50718.162175080965,-4774.43032491904
zeray_kent,1,47368.42,42796.031379821026,-4572.388620178972
orka_life_2,6,55923.60333333333,51417.7861315518,-4505.817201781533
oluklu_life,2,38349.36,34067.327552537245,-4282.032447462758
altinkent_kalici_konutlari_7_ada,1,34782.61,30506.23865235343,-4276.371347646571
basiskele_de_butik,1,41903.23,37628.85412832828,-4274.37587167172
kolayli_kullar,1,48333.33,44212.123359799676,-4121.206640200326
armoni_2,1,49583.33,45600.40990869235,-3982.9200913076493
panoramakent_1,1,45208.33,41271.64429305491,-3936.6857069450925
asrin,1,37666.67,34017.09632332517,-3649.5736766748305
tinaztepede,1,48843.28,45315.82989086806,-3527.45010913194
erturk,1,42400.0,38891.46880149216,-3508.531198507837
pera_park,1,38518.52,35083.16457398515,-3435.355426014845
secret_garden,1,43000.0,39622.182044102956,-3377.817955897044
oksijen_konaklari,1,41818.18,38441.50147318432,-3376.678526815682
manar_yuvacik_3,2,40111.365000000005,36796.686217014925,-3314.67878298508
