county,district,rows,matched_demo_rows,matched_county_demo_rows,avg_demo_coverage_score,match_rate,county_match_rate
Başiskele,Altınkent Mh.,25,25,25,0.875,1.0,1.0
Başiskele,Atakent Mah.,5,5,5,0.875,1.0,1.0
Başiskele,Aydınkent Mh.,21,21,21,0.875,1.0,1.0
Başiskele,Bahçecik Kılıçaslan Mh.,11,0,0,0.0,0.0,0.0
Başiskele,Bahçecik Şehitekrem Mh.,3,0,0,0.0,0.0,0.0
Başiskele,Barbaros Mah.,111,111,111,0.875,1.0,1.0
Başiskele,Damlar Mah.,5,5,5,0.875,1.0,1.0
Başiskele,Döngel Mh.,41,41,41,0.875,1.0,1.0
Başiskele,Fatih Mah.,202,202,202,0.875,1.0,1.0
Başiskele,Havuzlubahçe Mh.,10,10,10,0.875,1.0,1.0
Başiskele,Karşıyaka Mh.,6,6,6,0.875,1.0,1.0
Başiskele,Kullar Merkez Mh.,7,0,0,0.0,0.0,0.0
Başiskele,Kullar Tepecik Mh.,11,11,11,0.875,1.0,1.0
Başiskele,Kullar Yakacık Mh.,24,24,24,0.875,1.0,1.0
Başiskele,Körfez Mh.,13,13,13,0.875,1.0,1.0
Başiskele,Mahmutpaşa Mh.,27,27,27,0.875,1.0,1.0
Başiskele,Paşadağ Mh.,115,115,115,0.875,1.0,1.0
Başiskele,Sahil Mah.,3,3,3,0.875,1.0,1.0
Başiskele,Sepetlipınar Mh.,1,1,1,0.875,1.0,1.0
Başiskele,Serdar Mah.,38,38,38,0.875,1.0,1.0
Başiskele,Seymen Mah.,10,10,10,0.875,1.0,1.0
Başiskele,Vezirçiftliği Mh.,1,1,1,0.875,1.0,1.0
Başiskele,Yaylacık Mh.,37,37,37,0.875,1.0,1.0
Başiskele,Yeniköy Merkez Mh.,10,10,10,0.875,1.0,1.0
Başiskele,Yeşilkent Mh.,6,6,6,0.875,1.0,1.0
Başiskele,Yeşilyurt Mh.,208,208,208,0.875,1.0,1.0
