district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Sepetlipınar Mh.,1,0.3066308888974329,0.3066308888974329,7665.772222435822,7665.772222435822,25000.0,32665.772222435822
Seymen Mah.,10,0.20411568795682342,0.11699370749649055,8161.10982107325,5008.743850326988,44081.542,41450.27030953362
Bahçecik Kılıçaslan Mh.,11,0.1999381462292156,0.1560346027363317,7626.433748123212,7164.33278484155,42051.83090909091,40946.44415976445
Atakent Mah.,5,0.17930082719424775,0.2504466021972125,8906.22800578811,9895.99094354987,47155.418,43322.425760043836
Sahil Mah.,3,0.15814009209767307,0.13289640122387883,5375.046551707775,4051.718901233373,35550.026666666665,39885.39291154125
Bahçecik Şehitekrem Mh.,3,0.1423828505355682,0.1491342464989146,5112.358283614012,5033.280819338368,35035.18666666667,35322.58076184218
Döngel Mh.,41,0.13642690815951253,0.10619081372887192,5724.797233515789,4372.706144913354,39830.82365853659,38704.74401202104
Kullar Tepecik Mh.,11,0.12612968432005972,0.0738456436993211,4723.486887100453,3004.1751847599153,38974.27636363636,38551.693346068874
Barbaros Mah.,111,0.11774758503426162,0.09010095442550384,4790.1290452136955,3788.5498496830623,40588.76837837838,40284.21543500567
Kullar Yakacık Mh.,24,0.11542682783819898,0.09827584938755729,4618.38561181835,3814.362896231931,39630.2175,39421.139713280405
Paşadağ Mh.,114,0.11173456019735614,0.08654206390616068,4591.053955734698,3589.9544558006273,41537.009122807016,41092.63308962106
Körfez Mh.,13,0.10761070929084952,0.07620929423905524,4097.229894320544,2818.1934439874603,35555.35692307692,34404.07714571546
Fatih Mah.,200,0.10728942853135379,0.0906501159294763,4328.837544916449,3814.9029423760603,41530.4947,41497.9387432069
Serdar Mah.,38,0.1038477426911509,0.08871855573748719,4042.1346859685987,3604.8032704980324,37623.35236842106,36623.80541290758
Yeşilyurt Mh.,206,0.09889408347098318,0.08203492691218167,4237.506926833021,3224.4324661648097,41282.921844660195,40396.67452170078
Mahmutpaşa Mh.,27,0.09875606278626921,0.09297130273803285,4185.04201339259,4429.0196481113235,43650.23074074074,44122.01766837342
Aydınkent Mh.,21,0.09621923942267192,0.10527114064088068,3680.645165958643,3589.310255139404,37026.04285714286,37174.00835928605
Kullar Merkez Mh.,7,0.09159103919081624,0.07684594585537073,3299.788657913473,3170.5902495324335,38300.97571428572,38924.172040713536
Karşıyaka Mh.,4,0.0899263689235863,0.07252856379944364,6304.90256414985,4734.941990611747,67031.82,61147.321253593254
Altınkent Mh.,25,0.08614525976702819,0.060493282433340144,3143.9860088877667,2474.436745197596,35165.5192,34573.30433557551
Yaylacık Mh.,37,0.08341023875713598,0.06651133701301906,3485.0762808288146,2774.0227562626824,42317.49945945946,41833.395561704034
Damlar Mah.,5,0.07895617512695884,0.061464514717905656,3097.74268185494,2491.6271918152997,39906.932,41096.398382081024
Havuzlubahçe Mh.,10,0.077675691702498,0.06266109874974465,2435.113789541495,2073.76911641848,31740.775,31934.83180188959
Yeşilkent Mh.,6,0.07239102961972264,0.07552150892484308,2152.4477876369733,2351.884925441351,29750.125,30149.634070091877
Yeniköy Merkez Mh.,10,0.06440785495958337,0.0579252625636541,2489.1259552510223,2408.41050668155,38734.704,38734.9372896072
Vezirçiftliği Mh.,1,0.02350578618061524,0.02350578618061524,842.2905931194255,842.2905931194255,35833.33,36675.62059311943
