room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
6+1,1,0.36976734094714514,0.36976734094714514,19515.49937169342,19515.49937169342,52777.78,33262.28062830658
4.5+1,2,0.26395903277510746,0.26395903277510746,9117.793232368329,9117.793232368329,34219.0,43336.79323236833
5+1,6,0.17839369106253652,0.1618543288950175,7135.348430247349,5684.967048418308,36316.30333333334,35146.37152933666
3.5+1,1,0.15181709713761396,0.15181709713761396,8062.011626992426,8062.011626992426,53103.45,45041.43837300757
4+1,84,0.1261177146468454,0.105818598434467,4914.202600679813,3786.3613977145633,37769.13130952381,36687.86955334227
3+1,417,0.11686957490536208,0.09553931400623071,4563.319921589137,3607.0718988081935,39052.329112709835,38803.72782182159
1+1,39,0.11589431819018828,0.11431902844790895,5796.593246582881,5348.496912445618,49346.523589743585,47287.33498870734
2+1,390,0.09271250723850336,0.07578539087139353,3937.238670981274,3225.7673469089605,42197.53007692308,41821.012028708115
2+2,1,0.07620929423905524,0.07620929423905524,3231.2740757359425,3231.2740757359425,42400.0,39168.72592426406
4+2,1,0.04247694028580308,0.04247694028580308,1472.534071497641,1472.534071497641,34666.67,33194.13592850236
3+2,1,0.02739452713029114,0.02739452713029114,993.5340260958183,993.5340260958183,36267.61,35274.07597390418
2.5+1,1,0.008232814184894419,0.008232814184894419,354.01100995046,354.01100995046,43000.0,43354.01100995046
